"Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name"
"Huperzia selago","Huperzia selago",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,10,1,"wfo-0001110254","urn:lsid:ipni.org:names:1140250-2","26603630","Huperzia selago","species","wfo-4000018438","(L.) Bernh. ex Schrank & Mart.","Lycopodiaceae","Huperzioideae","",NA,"Huperzia","","selago","","species","Valid","Hort. Reg. Monac. : 3 (1829)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Hort. Reg. Monac. 3. 1829  to Hort. Reg. Monac. : 3 (1829), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26","http://www.theplantlist.org/tpl1.1/record/tro-26603630","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26603630","",FALSE,"","",""
"Huperzia appressa","Huperzia appressa",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,11,1,"wfo-0001274871","urn:lsid:ipni.org:names:124840-2","50276001","Huperzia appressa","species","wfo-4000018438","(Desv.) Á.Löve & D.Löve","Lycopodiaceae","Huperzioideae","",NA,"Huperzia","","appressa","","species","Valid","Bot. Not. 114: 34 (1961)","Accepted","","",NA,"Source in seed data: tro Updated scientificnameAuthorship from (Bach.Pyl. ex Desv.) Á.Löve & D.Löve to (Desv.) Á.Löve & D.Löve, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:124840-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-50276001","",FALSE,"","",""
"Huperzia arctica","Huperzia arctica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,12,1,"wfo-0001274871","urn:lsid:ipni.org:names:124840-2","50276001","Huperzia appressa","species","wfo-4000018438","(Desv.) Á.Löve & D.Löve","Lycopodiaceae","Huperzioideae","",NA,"Huperzia","","appressa","","species","Valid","Bot. Not. 114: 34 (1961)","Accepted","","",NA,"Source in seed data: tro Updated scientificnameAuthorship from (Bach.Pyl. ex Desv.) Á.Löve & D.Löve to (Desv.) Á.Löve & D.Löve, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:124840-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-50276001","",TRUE,"Synonym","wfo-0001118015","Huperzia arctica"
"Huperzia haleakalae","Huperzia haleakalae",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,13,1,"wfo-0001116187","urn:lsid:ipni.org:names:1133697-2","26610795","Huperzia haleakalae","species","wfo-4000018438","(Brack.) Holub","Lycopodiaceae","Huperzioideae","",NA,"Huperzia","","haleakalae","","species","Valid","Folia Geobot. Phytotax. 20: 73 (1985)","Accepted","","wfo-0001108994",NA,"Source in seed data: tro Update namepublishedIn from Folia Geobot. Phytotax. 20: 73. 1985  to Folia Geobot. Phytotax. 20: 73 (1985), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/","http://www.theplantlist.org/tpl1.1/record/tro-26610795","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26610795","",FALSE,"","",""
"Selaginella selaginoides","Selaginella selaginoides",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,14,1,"wfo-0001118733","urn:lsid:ipni.org:names:60452842-2","26613766","Selaginella selaginoides","species","wfo-4000034966","(L.) P.Beauv. ex Schrank & Mart.","Selaginellaceae","","",NA,"Selaginella","","selaginoides","","species","Valid","Hort. Reg. Monac. : 3 (1829)","Accepted","","wfo-0001109686",NA,"Source in seed data: tro Update namepublishedIn from Hort. Reg. Monac. 3. 1829  to Hort. Reg. Monac. : 3 (1829), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26","http://www.theplantlist.org/tpl1.1/record/tro-26613766","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26613766","",FALSE,"","",""
"Selaginella sibirica","Selaginella sibirica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,15,1,"wfo-0001109666","urn:lsid:ipni.org:names:77186666-1","26602898","Selaginella sibirica","species","wfo-4000034966","(Milde) Hieron.","Selaginellaceae","","",NA,"Selaginella","","sibirica","","species","Valid","Hedwigia 39: 290 (1900)","Accepted","","wfo-0001111138",NA,"Source in seed data: tro Update namepublishedIn from Hedwigia 39(6): 290 1900  to Hedwigia 39: 290 (1900), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26602898","http://www.theplantlist.org/tpl1.1/record/tro-26602898","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26602898","",FALSE,"","",""
"Selaginella rupestris","Selaginella rupestris",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,16,1,"wfo-0001109663","urn:lsid:ipni.org:names:30039470-2","26602894","Selaginella rupestris","species","wfo-4000034966","(L.) Spring","Selaginellaceae","","",NA,"Selaginella","","rupestris","","species","Valid","Flora 21(1): 182 (1838)","Accepted","","wfo-0001110664",NA,"Source in seed data: tro Update namepublishedIn from Flora 21(1): 182. 1838  to Flora 21(1): 182 (1838), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26602894 >","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30039470-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26602894","",FALSE,"","",""
"Isoetes lacustris","Isoetes lacustris",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,17,1,"wfo-0001108956","urn:lsid:ipni.org:names:310437-2","26602046","Isoetes lacustris","species","wfo-4000019273","L.","Isoetaceae","","",NA,"Isoetes","","lacustris","","species","Valid","Sp. Pl. : 1100 (1753)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 2: 1100 1753  to Sp. Pl. : 1100 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26602046 >The ","http://www.theplantlist.org/tpl1.1/record/tro-26602046","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26602046","",FALSE,"","",""
"Isoetes echinospora","Isoetes echinospora",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,18,1,"wfo-0001107321","urn:lsid:ipni.org:names:30014870-2","26600171","Isoetes echinospora","species","wfo-4000019273","Durieu","Isoetaceae","","",NA,"Isoetes","","echinospora","","species","Valid","Bull. Soc. Bot. France 8: 164 (1861)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Bull. Soc. Bot. France 8: 164 1861  to Bull. Soc. Bot. France 8: 164 (1861), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl","http://www.theplantlist.org/tpl1.1/record/tro-26600171","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26600171","",FALSE,"","",""
"Isoetes muricata","Isoetes muricata",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,19,1,"wfo-0001110942","urn:lsid:ipni.org:names:77097996-1","26604519","Isoetes setacea","species","wfo-4000019273","Lam.","Isoetaceae","","",NA,"Isoetes","","setacea","","species","Valid","Encycl. 3: 314 (1789)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from Encycl. 3(1): 314 1789  to Encycl. 3: 314 (1789), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26604519 >Th","http://www.theplantlist.org/tpl1.1/record/tro-26604519","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","P","tro-26604519","",TRUE,"Synonym","wfo-0001109695","Isoetes muricata"
