"","Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name"
"86","Euphorbia discolor","Euphorbia discolor ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,75,3,"wfo-0000962344","urn:lsid:ipni.org:names:101568-2","79923","Euphorbia graminea","species","wfo-4000014224","Jacq.","Euphorbiaceae","","",NA,"Euphorbia","","graminea","","species","Valid","Select. Stirp. Amer. Hist. : 151 (1763)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Select. Stirp. Amer. Hist. 151 1763  to Select. Stirp. Amer. Hist. : 151 (1763), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org","http://www.theplantlist.org/tpl1.1/record/kew-79923","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-79923","",TRUE,"Synonym","wfo-0000961767","Euphorbia discolor"
"87","Euphorbia esula","Euphorbia esula ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,76,1,"wfo-0000961974","urn:lsid:ipni.org:names:346448-1","79567","Euphorbia esula","species","wfo-4000014224","L.","Euphorbiaceae","","",NA,"Euphorbia","","esula","","species","Valid","Sp. Pl. : 461 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 461 1753  to Sp. Pl. : 461 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-79567 >The Plant Li","http://www.theplantlist.org/tpl1.1/record/kew-79567","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-79567","",FALSE,"","",""
"88","Viola uniflora","Viola uniflora ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,77,1,"wfo-0000424778","urn:lsid:ipni.org:names:869463-1","598901","Viola uniflora","species","wfo-4000040312","L.","Violaceae","","",NA,"Viola","","uniflora","","species","Valid","Sp. Pl. : 936 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 936 1753  to Sp. Pl. : 936 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2461422 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2461422","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2461422","",FALSE,"","",""
"89","Viola tricolor","Viola tricolor ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,78,1,"wfo-0000424643","urn:lsid:ipni.org:names:869428-1","598680","Viola tricolor","species","wfo-4000040312","L.","Violaceae","","",NA,"Viola","","tricolor","","species","Valid","Sp. Pl. : 935 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 935 1753  to Sp. Pl. : 935 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2461201 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2461201","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2461201","",FALSE,"","",""
"90","Salix pentandra","Salix pentandra ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,79,1,"wfo-0000928687","urn:lsid:ipni.org:names:312506-2","1032638","Salix pentandra","species","wfo-4000033844","L.","Salicaceae","","",NA,"Salix","","pentandra","","species","Valid","Sp. Pl. : 1016 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1016 1753  to Sp. Pl. : 1016 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-5000982 >The Plan","http://www.theplantlist.org/tpl1.1/record/kew-5000982","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-5000982","",FALSE,"","",""
"91","Salix pseudopentandra","Salix pseudopentandra ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,80,1,"wfo-0000930339","urn:lsid:ipni.org:names:77209681-1","1035048","Salix pseudopentandra","species","wfo-4000033844","Flod.","Salicaceae","","",NA,"Salix","","pseudopentandra","","species","Valid","Ark. Bot. 25A(10): 12. 1933","Accepted","","",NA,"Source in seed data: cmp Updated scientificnameAuthorship from (Flod.) Flod. to Flod., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-5003404 >The Plant List v.1.","http://www.theplantlist.org/tpl1.1/record/kew-5003404","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-5003404","",FALSE,"","",""
"92","Salix serissima","Salix serissima ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,81,1,"wfo-0000930298","urn:lsid:ipni.org:names:310173-2","1034999","Salix serissima","species","wfo-4000033844","Fernald","Salicaceae","","",NA,"Salix","","serissima","","species","Valid","Rhodora 6: 6 (1903)","Accepted","","wfo-0000930645",NA,"Source in seed data: cmp Updated scientificnameAuthorship from (L.H.Bailey ex Arthur) Fernald to Fernald, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-5003354 >","http://www.theplantlist.org/tpl1.1/record/kew-5003354","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-5003354","",FALSE,"","",""
"93","Alnus incana incana","Alnus incana incana",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,7,82,1,"wfo-0000945749","urn:lsid:ipni.org:names:30106706-2","6417","Alnus incana","species","wfo-4000001331","(L.) Moench","Betulaceae","","",NA,"Alnus","","incana","","species","Valid","Methodus : 424 (1794)","Accepted","","wfo-0000331015",NA,"Source in seed data: wcs Update namepublishedIn from Methodus (Moench) 424. 1794  to Methodus : 424 (1794), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-6417 >T","http://www.theplantlist.org/tpl1.1/record/kew-6417","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-6417","",FALSE,"","",""
"94","Alnus incana kolaensis","Alnus incana kolaensis",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,10,83,1,"wfo-0000945749","urn:lsid:ipni.org:names:30106706-2","6417","Alnus incana","species","wfo-4000001331","(L.) Moench","Betulaceae","","",NA,"Alnus","","incana","","species","Valid","Methodus : 424 (1794)","Accepted","","wfo-0000331015",NA,"Source in seed data: wcs Update namepublishedIn from Methodus (Moench) 424. 1794  to Methodus : 424 (1794), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-6417 >T","http://www.theplantlist.org/tpl1.1/record/kew-6417","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-6417","",FALSE,"","",""
"95","Alnus incana rugosa","Alnus incana rugosa",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,7,84,1,"wfo-0000945749","urn:lsid:ipni.org:names:30106706-2","6417","Alnus incana","species","wfo-4000001331","(L.) Moench","Betulaceae","","",NA,"Alnus","","incana","","species","Valid","Methodus : 424 (1794)","Accepted","","wfo-0000331015",NA,"Source in seed data: wcs Update namepublishedIn from Methodus (Moench) 424. 1794  to Methodus : 424 (1794), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-6417 >T","http://www.theplantlist.org/tpl1.1/record/kew-6417","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-6417","",FALSE,"","",""
