"","Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name"
"60","Chenopodium album L.","Chenopodium album L.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,8,42,1,"wfo-0000600897","urn:lsid:ipni.org:names:55993-2","847395","Chenopodium album","species","wfo-4000007814","L.","Amaranthaceae","","",NA,"Chenopodium","","album","","species","Valid","Sp. Pl. : 219 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 219 1753  to Sp. Pl. : 219 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2716945 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2716945","The Caryophyllales Taxonomic Expert Network","A","kew-2716945","",TRUE,"Synonym","wfo-0000600917","Chenopodium album f. dubium"
"61","Chenopodium album L.","Chenopodium album L.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,8,42,2,"wfo-0000601580","urn:lsid:ipni.org:names:60447126-2","848053","Chenopodium opulifolium","species","wfo-4000007814","Schrad. ex W.D.J.Koch & Ziz","Amaranthaceae","","",NA,"Chenopodium","","opulifolium","","species","Valid","Cat. Pl. Palat. : 6 (1814)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Cat. Pl. 6 1814  to Cat. Pl. Palat. : 6 (1814), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2717608 >The P","http://www.theplantlist.org/tpl1.1/record/kew-2717608","The Caryophyllales Taxonomic Expert Network","A","kew-2717608","",TRUE,"Synonym","wfo-0000600965","Chenopodium album f. viride"
"62","Chenopodium prostratum Bunge ex Herder","Chenopodium prostratum Bunge ex Herder",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,16,43,1,"wfo-0000437616","urn:lsid:ipni.org:names:1071140-2","620894","Suaeda maritima","species","wfo-4000037035","(L.) Dumort.","Amaranthaceae","","",NA,"Suaeda","","maritima","","species","Valid","Fl. Belg. : 22 (1827)","Accepted","","wfo-0000601502",NA,"Source in seed data: cmp Update namepublishedIn from Fl. Belg. 22 1827  to Fl. Belg. : 22 (1827), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2484020 >The Plan","http://www.theplantlist.org/tpl1.1/record/kew-2484020","The Caryophyllales Taxonomic Expert Network","A","kew-2484020","",TRUE,"Synonym","wfo-0000601676","Chenopodium prostratum"
"63","Chenopodium prostratum Bunge ex Herder","Chenopodium prostratum Bunge ex Herder",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,16,43,2,"wfo-0000601315","urn:lsid:ipni.org:names:164954-1","847800","Chenopodium glaucum","species","wfo-4000007814","L.","Amaranthaceae","","",NA,"Chenopodium","","glaucum","","species","Valid","Sp. Pl. : 220 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 220 1753  to Sp. Pl. : 220 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2717355 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2717355","The Caryophyllales Taxonomic Expert Network","A","kew-2717355","",TRUE,"Synonym","wfo-0000601680","Chenopodium prostratum"
"64","Chenopodium prostratum Bunge ex Herder","Chenopodium prostratum Bunge ex Herder",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,16,43,3,"wfo-0000601681","urn:lsid:ipni.org:names:165153-1","848146","Chenopodium prostratum","species","","Roxb. ex Hook.f.","Amaranthaceae","","",NA,"Chenopodium","","prostratum","","species","","Fl. Brit. India [J. D. Hooker] 5(13): 14. 1886 [Aug 1886]","Unchecked","","",NA,"Source in seed data: cmp Updated namepublishedIn from Fl. Brit. India 5: 14 1886  to Fl. Brit. India [J. D. Hooker] 5(13): 14. 1886 [Aug 1886] , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.thepl","http://www.theplantlist.org/tpl1.1/record/kew-2717701","The Caryophyllales Taxonomic Expert Network","A","kew-2717701","",FALSE,"","",""
"65","Chenopodium prostratum Bunge ex Herder","Chenopodium prostratum Bunge ex Herder",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,16,43,4,"wfo-0000601435","urn:lsid:ipni.org:names:165006-1","847920","Chenopodium karoi","species","wfo-4000007814","(Murr) Aellen","Amaranthaceae","","",NA,"Chenopodium","","karoi","","species","Valid","Repert. Spec. Nov. Regni Veg. 26: 149 (1929)","Accepted","","wfo-0000600923",NA,"Source in seed data: cmp Update namepublishedIn from Repert. Spec. Nov. Regni Veg. 26: 149 1929  to Repert. Spec. Nov. Regni Veg. 26: 149 (1929), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.thep","http://www.theplantlist.org/tpl1.1/record/kew-2717475","The Caryophyllales Taxonomic Expert Network","A","kew-2717475","",TRUE,"Synonym","wfo-0000601682","Chenopodium prostratum"
"66","Cirsium arvense","Cirsium arvense (L.) Scop.",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,44,1,"wfo-0000006870","urn:lsid:ipni.org:names:195034-1","GCC-7D643E5A-5D28-475F-AB44-A84067BA0168","Cirsium arvense","species","wfo-4000008373","(L.) Scop.","Asteraceae","","",NA,"Cirsium","","arvense","","species","Valid","Fl. Carniol. , ed. 2, 2: 126 (1772)","Accepted","","wfo-0000074013",NA,"Source in seed data: gcc Update namepublishedIn from Flora Carniolica 2 (1772) 126 1772  to Fl. Carniol. , ed. 2, 2: 126 (1772), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1","http://www.theplantlist.org/tpl1.1/record/gcc-106632","The Asteraceaae TEN","A","gcc-106632","",FALSE,"","",""
"67","Cirsium arvense subsp. setosum","Cirsium arvense subsp. setosum (Willd.) Iljin",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,45,1,"wfo-0000006870","urn:lsid:ipni.org:names:195034-1","GCC-7D643E5A-5D28-475F-AB44-A84067BA0168","Cirsium arvense","species","wfo-4000008373","(L.) Scop.","Asteraceae","","",NA,"Cirsium","","arvense","","species","Valid","Fl. Carniol. , ed. 2, 2: 126 (1772)","Accepted","","wfo-0000074013",NA,"Source in seed data: gcc Update namepublishedIn from Flora Carniolica 2 (1772) 126 1772  to Fl. Carniol. , ed. 2, 2: 126 (1772), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1","http://www.theplantlist.org/tpl1.1/record/gcc-106632","The Asteraceaae TEN","A","gcc-106632","",TRUE,"Synonym","wfo-0000107256","Cirsium arvense subsp. setosum"
"68","Crepis tectorum L.","Crepis tectorum L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,10,46,1,"wfo-0000137047","urn:lsid:ipni.org:names:199863-1","GCC-3EFEE232-214D-4903-9766-94976431D04B","Crepis foliosa","species","wfo-4000009682","Babc.","Asteraceae","","",NA,"Crepis","","foliosa","","species","Valid","Univ. Calif. Publ. Bot. xxiii. 389 (1951).","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Univ. Calif. Publ. Bot. 23: 389. 1951  to Univ. Calif. Publ. Bot. xxiii. 389 (1951). , information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantli","http://www.theplantlist.org/tpl1.1/record/gcc-97743","The Asteraceaae TEN","A","gcc-97743","",TRUE,"Synonym","wfo-0000097031","Crepis tectorum var. pumila"
"69","Dactylis glomerata L.","Dactylis glomerata L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,47,1,"wfo-0000861498","urn:lsid:ipni.org:names:397309-1","406640","Dactylis glomerata","species","wfo-4000010628","L.","Poaceae","","",NA,"Dactylis","","glomerata","","species","Valid","Sp. Pl. : 71 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 71 1753  to Sp. Pl. : 71 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-406640 >The Plant Lis","http://www.theplantlist.org/tpl1.1/record/kew-406640","The Poaceae TEN","A","kew-406640","",FALSE,"","",""
