"","X","Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"11",11,"Butomus umbellatus","Butomus umbellatus ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,11,1,"wfo-0000762573","urn:lsid:ipni.org:names:58290-1","301538","Butomus umbellatus","species","wfo-4000005835","L.","Butomaceae","","",NA,"Butomus",NA,"umbellatus","","species","Valid","Sp. Pl. : 372 (1753)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 1: 372. 1753 [1 May 1753]  to Sp. Pl. : 372 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-30","http://www.theplantlist.org/tpl1.1/record/kew-301538","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-301538",NA,FALSE,"","","",""
"12",12,"Alisma lanceolatum","Alisma lanceolatum ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,12,1,"wfo-0000755439","urn:lsid:ipni.org:names:1047073-2","294813","Alisma lanceolatum","species","wfo-4000001209","With.","Alismataceae","","",NA,"Alisma",NA,"lanceolatum","","species","Valid","Bot. Arr. Brit. Pl. ed. 3 , 2: 362 (1796)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Bot. Arr. Brit. Pl. ed. 3 2: 362 1796  to Bot. Arr. Brit. Pl. ed. 3 , 2: 362 (1796), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist","http://www.theplantlist.org/tpl1.1/record/kew-294813","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-294813",NA,FALSE,"","","",""
"13",13,"Sagittaria cuneata","Sagittaria cuneata ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,13,1,"wfo-0000736504","urn:lsid:ipni.org:names:225232-2","287210","Sagittaria cuneata","species","wfo-4000033782","E.Sheld.","Alismataceae","","",NA,"Sagittaria",NA,"cuneata","","species","Valid","Bull. Torrey Bot. Club 20: 283 (1893)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Bull. Torrey Bot. Club 20: 283 1893  to Bull. Torrey Bot. Club 20: 283 (1893), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/t","http://www.theplantlist.org/tpl1.1/record/kew-287210","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-287210",NA,FALSE,"","","",""
"15",15,"Sagittaria natans","Sagittaria natans ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,14,2,"wfo-0000770337","urn:lsid:ipni.org:names:58534-1","309058","Sagittaria natans","species","wfo-4000033782","Pall.","Alismataceae","","",NA,"Sagittaria",NA,"natans","","species","Valid","Reise Russ. Reich. 3: 757 (1776)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Reise Russ. Reich. 3(2): App. 757. 1776  to Reise Russ. Reich. 3: 757 (1776), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tp","http://www.theplantlist.org/tpl1.1/record/kew-309058","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-309058",NA,FALSE,"","","","Not a synonym"
"16",16,"Scheuchzeria palustris americanus","Scheuchzeria palustris americanus",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,11,15,1,"wfo-0000770094","urn:lsid:ipni.org:names:603500-1","308817","Scheuchzeria palustris","species","wfo-4000034314","L.","Scheuchzeriaceae","","",NA,"Scheuchzeria",NA,"palustris","","species","Valid","Sp. Pl. : 338 (1753)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 338 1753  to Sp. Pl. : 338 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-308817 >The Plant L","http://www.theplantlist.org/tpl1.1/record/kew-308817","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-308817",NA,FALSE,"","","",""
"17",17,"Potamogeton epihydrus","Potamogeton epihydrus ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,16,1,"wfo-0000769805","urn:lsid:ipni.org:names:30070809-2","308552","Potamogeton epihydrus","species","wfo-4000031022","Raf.","Potamogetonaceae","","",NA,"Potamogeton",NA,"epihydrus","","species","Valid","Med. Repos. , ser. 2, 5: 354 (1808)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Med. Repos. 5: 354 1808  to Med. Repos. , ser. 2, 5: 354 (1808), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/k","http://www.theplantlist.org/tpl1.1/record/kew-308552","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-308552",NA,FALSE,"","","",""
"18",18,"Potamogeton lucens","Potamogeton lucens ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,17,1,"wfo-0000769883","urn:lsid:ipni.org:names:208858-2","308622","Potamogeton lucens","species","wfo-4000031022","L.","Potamogetonaceae","","",NA,"Potamogeton",NA,"lucens","","species","Valid","Sp. Pl. : 126 (1753)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 126 1753  to Sp. Pl. : 126 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-308622 >The Plant L","http://www.theplantlist.org/tpl1.1/record/kew-308622","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-308622",NA,FALSE,"","","",""
"19",19,"Potamogeton compressus","Potamogeton compressus ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,18,1,"wfo-0000769769","urn:lsid:ipni.org:names:323118-2","308518","Potamogeton compressus","species","wfo-4000031022","L.","Potamogetonaceae","","",NA,"Potamogeton",NA,"compressus","","species","Valid","Sp. Pl. : 127 (1753)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 127 1753  to Sp. Pl. : 127 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-308518 >The Plant L","http://www.theplantlist.org/tpl1.1/record/kew-308518","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-308518",NA,FALSE,"","","",""
"20",20,"Potamogeton foliosus foliosus","Potamogeton foliosus  foliosus",TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,9,19,1,"wfo-0000769825","urn:lsid:ipni.org:names:208806-2","308570","Potamogeton foliosus","species","wfo-4000031022","Raf.","Potamogetonaceae","","",NA,"Potamogeton",NA,"foliosus","","species","Valid","Med. Repos. , ser. 2, 5: 354 (1808)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from Med. Repos. 5: 354 1808  to Med. Repos. , ser. 2, 5: 354 (1808), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/k","http://www.theplantlist.org/tpl1.1/record/kew-308570","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-308570",NA,FALSE,"","","",""
"21",21,"Potamogeton sibiricus","Potamogeton sibiricus ",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,20,1,"wfo-0000769993","urn:lsid:ipni.org:names:603414-1","308721","Potamogeton sibiricus","species","wfo-4000031022","A.Benn.","Potamogetonaceae","","",NA,"Potamogeton",NA,"sibiricus","","species","Valid","J. Bot. 28: 300 (1890)","Accepted",NA,"",NA,"Source in seed data: wcs Update namepublishedIn from J. Bot. 28: 300 1890  to J. Bot. 28: 300 (1890), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-308721 >The P","http://www.theplantlist.org/tpl1.1/record/kew-308721","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-308721",NA,FALSE,"","","",""
