"","scientificName"
"168","Festuca richardsonii"
"169","Gastrolychnis macrosperma"
"170","Silene uralensis  subsp. porsildii"
"171","Taraxacum korjakorum"
"172","Arnica angustifolia  subsp. iljinii"
"173","Anthoxanthum arcticum"
"174","Ranunculus bulbosus  subsp. aleae"
"175","Ranunculus occidentalis"
"176","Ranunculus occidentalis  var. nelsonii"
"177","Carex glareosa  subsp. pribylovensis"
"178","Carex glareosa  subsp. glareosa"
"179","Oxytropis ajanensis"
"180","Rhodiola rosea subsp. integrifolia"
"181","Phanera integrifolia"
"182","Grevillea integrifolia subsp. integrifolia"
"183","Luzula melanocarpa"
"184","Luzula parviflora  subsp. parviflora"
"185","Saxifraga rivularis  subsp. arctolitoralis"
"186","Saxifraga rivularis var. stricta"
"187","Ranunculus cardiophyllus"
"188","Androsace rotundifolia"
"189","Alnus alnobetula  subsp. crispa"
"190","Ranunculus gmelinii f. hookeri"
"191","Primula cuneifolia  subsp. saxifragifolia"
"192","Lathyrus vestitus  var. vestitus"
"193","Saxifraga tenuis"
"194","Iris setosa  var. setosa"
"195","Myosotis asiatica"
"196","Cystopteris fragilis  subsp. dickieana"
"197","Aster alpinus  var. serpentimontanus"
"198","Saxifraga flagellaris"
"199","Arenaria obtusiloba"
"200","Cardamine obliqua"
"201","Artemisia globularia subsp. lutea"
"202","Cardaminopsis kamtschatica"
"203","Ranunculus gelidus"
"204","Pyrola minor f. brevis"
"205","Cardamine oligosperma  var. kamtschatica"
"206","Pulsatilla nuttalliana"
"207","Senecio tundricola subsp. lindstroemii"
"208","Tephroseris tundricola subsp. lindstroemii"
"209","Carex nardina  var. hepburnii"
"210","Antennaria monocephala  subsp. angustata"
"211","Antennaria monocephala  subsp. monocephala"
"212","Veronica stelleri"
"213","Solidago compacta"
"214","Polygonum ellipticum"
"215","Pinguicula leptoceras"
"216","Salix lanata f. barrattiana"
"217","Juncus arcticus  subsp. arcticus"
"218","Cerastium bialynickii"
"219","Trichophorum cespitosum  subsp. cespitosum"
"220","Elymus sajanensis"
"221","Empetrum nigrum  subsp. hermaphroditum"
"222","Gentianella propinqua  subsp. aleutica"
"223","Boschniakia rossica"
"224","Myosotis suaveolens"
"225","Rumex pseudoxyria"
"226","Acetosa pseudoxyria"
"227","Rumex alpestris  subsp. lapponicus"
"228","Braya purpurascens"
"229","Sabulina verna"
"230","Packera cymbalaria"
"231","Argentina anserina  subsp. groenlandica"
"232","Argentina pacifica"
"233","Erigeron peregrinus  subsp. peregrinus"
"234","Pedicularis chamissonis"
"235","Athyrium alpestre"
"236","Athyrium filix-femina  subsp. filix-femina"
"237","Platanthera convallariifolia"
"238","Galium trifidum  subsp. halophilum"
"239","Galium trifidum  subsp. trifidum"
"240","Galium trifidum  subsp. columbianum"
"241","Rosa acicularis  subsp. sayi"
"242","Veronica serpyllifolia var. repens"
"243","Callitriche palustris  subsp. palustris"
"244","Callitriche palustris var. dubia"
"245","Callitriche palustris  subsp. subanceps"
"246","Pilosella magellanica"
"247","Epilobium glandulosum"
"248","Platanthera dilatata  var. albiflora"
"249","Potentilla stipularis var. groenlandica"
"250","Ligusticum scoticum  subsp. hultenii"
"251","Ligusticum scothicum subsp. hultenii"
"252","Ligusticum hultenii"
"253","Pinguicula vulgaris var. minor"
"254","Taraxacum pseudoalaskanum"
"255","Ranunculus trichophyllus var. hispidulus"
"256","Mertensia kamczatica"
"257","Carex borealipolaris"
"258","Erophila verna  subsp. macrocarpa"
"259","Antennaria dioiciformis"
"260","Carex marina  subsp. marina"
"261","Aconogonon ochreatum"
"262","Polygonum ochreatum"
"263","Polygonum riparium"
"264","Lycopodium lagopus"
"265","Poa pattersonii"
"266","Physaria arctica"
"267","Polypodium glycyrrhiza"
"268","Taraxacum tamarae"
"269","Carex circinnata"
"270","Carex supina  var. spaniocarpa"
"271","Pinguicula ramosa"
"272","Ranunculus altaicus"
"273","Anthoxanthum nitens"
"274","Ranunculus uncinatus"
