"species"
"Moehringia lateriflora"
"Hieracium floccinops"
"Hieracium pseudobipes"
"Hieracium bimanum"
"Hieracium vaidae"
"Hieracium atratulum"
"Hieracium ovaliceps"
"Hieracium ulothrix"
"Hieracium pereffusum"
"Hieracium murmanense"
"Hieracium scotaiolepis"
"Pilosella onegensis"
"Arenaria serpyllifolia"
"Arenaria pseudofrigida"
"Hieracium derivatum"
"Hieracium pseudoboreum"
"Hieracium decurrens"
"Hieracium finmarkicum"
"Hieracium incomptum"
"Hieracium tuadaschense"
"Hieracium lignyotum"
"Lathyrus pratensis"
"Hieracium leptopholis"
"Hieracium fuliginosum"
"Lathyrus palustris"
"Hieracium pseudolatypeum"
"Hieracium petiolatum"
"Hieracium pseudophyllodes"
"Lathyrus pisiformis"
"Hieracium subchlorophaeum"
"Hieracium issatchenkoi"
"Cherleria biflora"
"Vicia cracca"
"Sagina saginoides"
"Sagina nodosa"
"Hieracium pseudoomangii"
"Hieracium glabriligulatum"
"Hieracium folioliferum"
"Hieracium teligerum"
"Hieracium alpinum"
"Vicia sepium"
"Cerastium alpinum"
"Hieracium subflexicaule"
"Hieracium atriplicifolium"
"Hieracium linahamariense"
"Hieracium bifidum"
"Oxytropis sordida"
"Hieracium kabanovii"
"Vicia hirsuta"
"Hieracium riparium"
"Hieracium livescens"
"Cerastium beeringianum"
"Cerastium fontanum"
"Cerastium holosteoides"
"Cerastium cerastoides"
"Stellaria longifolia"
"Stellaria palustris"
"Stellaria graminea"
"Stellaria calycantha"
"Gentianella aurea"
"Astragalus frigidus"
"Pyrola media"
"Trifolium hybridum"
"Trifolium spadiceum"
"Trifolium pratense"
"Lomatogonium rotatum"
"Gentianopsis detonsa"
"Lotus corniculatus"
"Armeria maritima"
"Gentiana nivalis"
"Medicago lupulina"
"Melilotus albus"
"Trifolium montanum"
"Melilotus officinalis"
"Medicago falcata"
"Orthilia secunda"
"Trifolium repens"
"Elymus repens"
"Elymus mutabilis"
"Elymus caninus"
"Nardus stricta"
"Primula nutans"
"Moneses uniflora"
"Lysimachia thyrsiflora"
"Rosa acicularis"
"Rosa majalis"
"Primula stricta"
"Bromus hordeaceus"
"Bromus secalinus"
"Bromus arvensis"
"Festuca myuros"
"Lolium temulentum"
"Lolium pratense"
"Cochlearia arctica"
"Camelina microcarpa"
"Thlaspi arvense"
"Capsella bursa-pastoris"
"Camelina sativa"
"Subularia aquatica"
"Lepidium ruderale"
"Festuca airoides"
"Festuca brachyphylla"
"Lepidium latifolium"
"Raphanus sativus"
"Heracleum sphondylium"
"Conioselinum tataricum"
"Puccinellia distans"
"Puccinellia tenella"
"Glyceria fluitans"
"Phippsia algida"
"Ligusticum scoticum"
"Draba lanceolata"
"Draba norvegica"
"Draba alpina"
"Draba incana"
"Pinguicula alpina"
"Brassica rapa"
"Cakile arctica"
"Sinapis arvensis"
"Raphanus raphanistrum"
"Angelica sylvestris"
"Poa nemoralis"
"Carum carvi"
"Poa compressa"
"Anthriscus sylvestris"
"Poa palustris"
"Chaerophyllum prescottii"
"Arabis alpina"
"Arabidopsis lyrata"
"Hippuris tetraphylla"
"Turritis glabra"
"Berteroa incana"
"Alyssum turkestanicum"
"Draba fladnizensis"
"Pimpinella saxifraga"
"Draba glabella"
"Poa alpigena"
"Poa humilis"
"Poa angustifolia"
"Hippuris vulgaris"
"Cardamine bellidifolia"
"Hippuris lanceolata"
"Poa pratensis"
"Rorippa brachycarpa"
"Rorippa islandica"
"Pedicularis palustris"
"Pedicularis lapponica"
"Cardamine dentata"
"Cardamine pratensis"
"Pedicularis sudetica"
"Poa trivialis"
"Poa annua"
"Cynosurus echinatus"
"Melica nutans"
"Carex vaginata"
"Molinia caerulea"
"Silene latifolia"
"Silene apetala"
"Potentilla inclinata"
"Phragmites australis"
"Beckmannia eruciformis"
"Trisetum spicatum"
"Carex panicea"
"Carex livida"
"Carex globularis"
"Vaccinium microcarpum"
"Pedicularis verticillata"
"Avenella flexuosa"
"Carex pauciflora"
"Vahlodea atropurpurea"
"Carex atrofusca"
"Carex buxbaumii"
"Carex media"
"Carex adelostoma"
"Rhinanthus serotinus"
"Diapensia lapponica"
"Apera spica-venti"
"Calamagrostis lapponica"
"Calamagrostis deschampsioides"
"Achnatherum calamagrostis"
"Carex atrata"
"Carex magellanica"
"Vaccinium vitis-idaea"
"Omalotheca supina"
"Euphrasia frigida"
"Pentanema britannicum"
"Cota tinctoria"
"Carex limosa"
"Carex rariflora"
"Vaccinium uliginosum"
"Vaccinium gaultherioides"
"Melampyrum pratense"
"Carex paleacea"
"Carex recta"
"Carex salina"
"Carex subspathacea"
"Carex aquatilis"
"Gnaphalium uliginosum"
"Omalotheca sylvatica"
"Melampyrum sylvaticum"
"Salix myrsinites"
