"","Species_SubSpecies"
"907","Atriplex gmelinii  gmelinii"
"908","Corispermum crassifolium "
"909","Corispermum ochotense "
"910","Monolepis nuttalliana "
"911","Monolepis asiatica "
"912","Salicornia rubra "
"913","Suaeda maritima "
"914","Suaeda calceoliformis "
"915","Claytonia tuberosa "
"916","Claytonia multiscapa czukczorum"
"917","Claytonia acutifolia "
"918","Claytonia eschscholtzii "
"919","Claytonia joanneana "
"920","Claytonia arctica "
"921","Claytonia scammaniana "
"922","Claytonia sarmentosa "
"923","Claytoniella vassilievii "
"924","Montia fontana  fontana"
"925","Geocaulon lividum "
"926","Paeonia anomala "
"927","Rhodiola rosea "
"928","Rhodiola integrifolia "
"929","Rhodiola quadrifida "
"930","Hylotelephium telephium "
"931","Phedimus kamtschaticus "
"932","Sedum acre "
"933","Sedum annuum "
"934","Sedum villosum  villosum"
"935","Myriophyllum alterniflorum "
"936","Myriophyllum verticillatum "
"937","Myriophyllum sibiricum "
"938","Ribes spicatum lapponicum"
"939","Ribes spicatum hispidulum"
"940","Ribes triste "
"941","Ribes nigrum "
"942","Ribes dikuscha "
"943","Ribes glandulosum "
"944","Ribes hudsonianum "
"945","Ribes oxyacanthoides "
"946","Ribes lacustre "
"947","Boykinia richardsonii "
"948","Heuchera glabra "
"949","Mitella nuda "
"950","Chrysosplenium rimosum "
"951","Chrysosplenium wrightii "
"952","Chrysosplenium alternifolium sibiricum"
"953","Chrysosplenium alternifolium arctomontanum"
"954","Chrysosplenium tetrandrum "
"955","Chrysosplenium rosendahlii "
"956","Saxifraga spicata "
"957","Saxifraga eschscholtzii "
"958","Saxifraga serpyllifolia serpyllifolia"
"959","Saxifraga serpyllifolia glutinosa"
"960","Saxifraga hirculus "
"961","Saxifraga setigera "
"962","Saxifraga platysepala "
"963","Saxifraga oppositifolia oppositifolia"
"964","Saxifraga oppositifolia smalliana"
"965","Saxifraga aizoides "
"966","Saxifraga nathorstii "
"967","Saxifraga paniculata "
"968","Saxifraga tricuspidata "
"969","Saxifraga bronchialis "
"970","Saxifraga stellerana "
"971","Saxifraga balandinii "
"972","Saxifraga caulescens "
"973","Saxifraga omolojensis "
"974","Saxifraga anadyrensis "
"975","Saxifraga spinulosa "
"976","Saxifraga funstonii "
"977","Saxifraga codyana "
"978","Saxifraga cherlerioides "
"979","Saxifraga cespitosa cespitosa"
"980","Saxifraga cespitosa monticola"
"981","Saxifraga rosacea "
"982","Saxifraga hypnoides "
"983","Saxifraga bracteata "
"984","Saxifraga hyperborea "
"985","Saxifraga rivularis rivularis"
"986","Saxifraga rivularis arctolitoralis"
"987","Saxifraga radiata "
"988","Saxifraga cernua "
"989","Saxifraga svalbardensis "
"990","Micranthes merkii  merkii"
"991","Micranthes stellaris  stellaris"
"992","Micranthes redofskyi "
"993","Micranthes foliolosa "
"994","Micranthes nudicaulis  nudicaulis"
"995","Micranthes punctata "
"996","Micranthes davurica "
"997","Micranthes reflexa "
"998","Micranthes nelsoniana nelsoniana"
"999","Micranthes nelsoniana aestivalis"
"1000","Micranthes nelsoniana insularis"
"1001","Micranthes porsildiana "
"1002","Micranthes lyallii hultenii"
"1003","Micranthes razshivinii "
"1004","Micranthes calycina "
"1005","Micranthes unalaschensis "
"1006","Micranthes tenuis "
"1007","Micranthes nivalis "
"1008","Micranthes hieraciifolia hieraciifolia"
"1009","Micranthes hieraciifolia longifolia"
"1010","Geranium sylvaticum  sylvaticum"
"1011","Geranium krylovii "
"1012","Geranium pratense "
"1013","Geranium erianthum "
"1014","Epilobium palustre "
"1015","Epilobium davuricum "
"1016","Epilobium arcticum "
"1017","Epilobium alsinifolium "
"1018","Epilobium hornemannii hornemannii"
"1019","Epilobium hornemannii behringianum"
"1020","Epilobium lactiflorum "
"1021","Epilobium anagallidifolium "
"1022","Epilobium ciliatum ciliatum"
"1023","Epilobium ciliatum glandulosum"
"1024","Epilobium montanum "
"1025","Epilobium collinum "
"1026","Chamerion angustifolium angustifolium"
"1027","Chamerion angustifolium circumvagum"
"1028","Chamerion latifolium "
"1029","Parnassia palustris "
"1030","Parnassia kotzebuei "
"1031","Linum catharticum "
"1032","Linum boreale "
"1033","Linum taymirense "
"1034","Linum komarovii "
"1035","Linum lewisii lewisii"
"1036","Linum lewisii lepagei"
"1037","Viola riviniana "
"1038","Viola canina "
"1039","Viola rupestris rupestris"
"1040","Viola rupestris relicta"
"1041","Viola adunca "
"1042","Viola conspersa "
"1043","Viola langsdorffii "
"1044","Viola selkirkii "
"1045","Viola pallens "
"1046","Viola renifolia "
"1047","Viola palustris  palustris"
"1048","Viola epipsila epipsila"
"1049","Viola epipsila repens"
"1050","Viola biflora biflora"
"1051","Viola biflora avatschensis"
"1052","Populus balsamifera "
"1053","Populus suaveolens "
"1054","Populus tremula "
"1055","Populus tremuloides "
"1056","Chosenia arbutifolia "
"1057","Salix triandra discolor"
"1058","Salix exigua interior"
"1059","Salix reticulata "
"1060","Salix vestita "
"1061","Salix herbacea "
"1062","Salix polaris "
"1063","Salix nummularia "
"1064","Salix glauca glauca"
"1065","Salix glauca stipulifera"
"1066","Salix glauca acutifolia"
"1067","Salix glauca callicarpaea"
"1068","Salix reptans "
"1069","Salix brachycarpa "
"1070","Salix niphoclada "
"1071","Salix arctica "
"1072","Salix sphenophylla sphenophylla"
"1073","Salix sphenophylla pseudotorulosa"
"1074","Salix ovalifolia "
"1075","Salix myrtilloides "
"1076","Salix pedicellaris "
"1077","Salix fuscescens "
"1078","Salix phlebophylla "
"1079","Salix rotundifolia rotundifolia"
"1080","Salix rotundifolia dodgeana"
"1081","Salix recurvigemmis "
"1082","Salix myrsinites "
"1083","Salix tschuktschorum "
"1084","Salix berberifolia fimbriata"
"1085","Salix berberifolia kamtschatica"
"1086","Salix saxatilis "
"1087","Salix uva–ur "
"1088","Salix chamissonis "
"1089","Salix arctophila "
"1090","Salix jenisseensis "
"1091","Salix cordata "
"1092","Salix barclayi "
"1093","Salix hastata "
"1094","Salix myrtillifolia "
"1095","Salix ballii "
"1096","Salix pseudomonticola "
"1097","Salix pyrolifolia "
"1098","Salix lanata "
"1099","Salix calcicola "
"1100","Salix richardsonii "
"1101","Salix barrattiana "
"1102","Salix acutifolia "
"1103","Salix arbuscula "
"1104","Salix arbusculoides "
"1105","Salix boganidensis "
"1106","Salix phylicifolia "
"1107","Salix pulchra var. pulchra "
"1108","Salix pulchra var. yukonensis "
"1109","Salix planifolia "
"1110","Salix pellita "
"1111","Salix tyrrellii "
"1112","Salix rhamnifolia "
"1113","Salix myrsinifolia "
"1114","Salix caprea  caprea"
"1115","Salix bebbiana "
"1116","Salix krylovii "
"1117","Salix candida "
"1118","Salix lapponum "
"1119","Salix alaxensis "
"1120","Salix viminalis "
"1121","Salix schwerinii "
"1122","Salix burjatica "
"1123","Salix udensis "
"1124","Salix argyrocarpa "
"1125","Salix rosmarinifolia "
"1126","Elatine triandra "
"1127","Myrica gale gale"
"1128","Myrica gale tomentosa"
"1129","Alnus viridis crispa"
"1130","Alnus viridis fruticosa"
"1131","Alnus viridis sinuata"
"1132","Alnus incana tenuifolia"
"1133","Betula platyphylla "
"1134","Betula neoalaskana "
"1135","Betula papyrifera "
"1136","Betula kenaica "
"1137","Betula pubescens pubescens"
"1138","Betula pubescens tortuosa"
"1139","Betula minor "
"1140","Betula fruticosa "
"1141","Betula pumila "
"1142","Betula glandulosa "
"1143","Betula middendorffii "
"1144","Betula nana nana"
"1145","Betula nana exilis"
"1146","Polygala serpyllifolia "
"1147","Polygala hybrida "
"1148","Lupinus arcticus  arcticus"
"1149","Lupinus nootkatensis "
"1150","Melilotus albus "
"1151","Trifolium lupinaster "
"1152","Trifolium repens "
"1153","Trifolium hybridum  hybridum"
"1154","Trifolium montanum "
"1155","Trifolium pratense "
"1156","Caragana jubata "
"1157","Astragalus frigidus frigidus"
"1158","Astragalus frigidus parviflorus"
"1159","Astragalus umbellatus "
"1160","Astragalus alpinus alpinus"
"1161","Astragalus alpinus var. arcticus "
"1162","Astragalus alpinus alaskanus"
"1163","Astragalus norvegicus "
"1164","Astragalus sealei "
"1165","Astragalus eucosmus "
"1166","Astragalus robbinsii robbinsii"
"1167","Astragalus gorodkovii "
"1168","Astragalus tugarinovii "
"1169","Astragalus kolymensis "
"1170","Astragalus lepagei "
"1171","Astragalus aboriginum "
"1172","Astragalus tolmaczevii "
"1173","Astragalus richardsonii "
"1174","Astragalus vallicola "
"1175","Astragalus polaris "
"1176","Astragalus bodinii "
"1177","Astragalus nutzotinensis "
"1178","Astragalus schelichovii "
"1179","Astragalus pseudadsurgens "
"1180","Astragalus inopinatus oreogenus"
"1181","Astragalus igoshinae "
"1182","Oxytropis deflexa deflexa"
"1183","Oxytropis deflexa foliolosa"
"1184","Oxytropis nigrescens "
"1185","Oxytropis czukotica "
"1186","Oxytropis bryophila "
"1187","Oxytropis kokrinensis "
"1188","Oxytropis gorodkovii "
"1189","Oxytropis arctobia "
"1190","Oxytropis sublongipes "
"1191","Oxytropis revoluta "
"1192","Oxytropis podocarpa "
"1193","Oxytropis scammaniana "
"1194","Oxytropis mertensiana "
"1195","Oxytropis adamsiana adamsiana"
"1196","Oxytropis adamsiana janensis"
"1197","Oxytropis vassilczenkoi vassilczenkoi"
"1198","Oxytropis vassilczenkoi substepposa"
"1199","Oxytropis uschakovii "
"1200","Oxytropis semiglobosa "
"1201","Oxytropis ochotensis "
"1202","Oxytropis maydelliana maydelliana"
"1203","Oxytropis maydelliana melanocephala"
"1204","Oxytropis arctica arctica"
"1205","Oxytropis arctica taimyrensis"
"1206","Oxytropis tichomirovii "
"1207","Oxytropis terrae–nov "
"1208","Oxytropis leucantha subarctica"
"1209","Oxytropis leucantha tschukotcensis"
"1210","Oxytropis katangensis "
"1211","Oxytropis sordida sordida"
"1212","Oxytropis sordida arctolenensis"
"1213","Oxytropis sordida schamurinii"
"1214","Oxytropis beringensis "
"1215","Oxytropis jordalii "
"1216","Oxytropis varians "
"1217","Oxytropis schmorgunoviae "
"1218","Oxytropis sverdrupii "
"1219","Oxytropis wrangelii "
"1220","Oxytropis splendens "
"1221","Oxytropis bellii "
"1222","Oxytropis putoranica "
"1223","Oxytropis uniflora "
"1224","Oxytropis vasskovskyi "
"1225","Oxytropis inopinata "
"1226","Oxytropis kateninii "
"1227","Oxytropis viscida "
"1228","Oxytropis borealis "
"1229","Oxytropis glutinosa "
"1230","Oxytropis hudsonica "
"1231","Oxytropis middendorffii middendorffii"
"1232","Oxytropis middendorffii orulganica"
"1233","Oxytropis middendorffii submiddendorffii"
"1234","Oxytropis middendorffii coerulescens"
"1235","Oxytropis middendorffii schmidtii"
"1236","Oxytropis middendorffii anadyrensis"
"1237","Hedysarum boreale mackenziei"
"1238","Hedysarum boreale dasycarpum"
"1239","Hedysarum americanum "
"1240","Hedysarum vicioides "
"1241","Hedysarum hedysaroides arcticum"
"1242","Hedysarum hedysaroides tschuktschorum"
"1243","Vicia sepium "
"1244","Vicia cracca "
"1245","Vicia macrantha "
"1246","Vicia americana "
"1247","Lathyrus pratensis "
"1248","Lathyrus palustris palustris"
"1249","Lathyrus palustris pilosus"
"1250","Lathyrus japonicus "
"1251","Spiraea salicifolia "
"1252","Spiraea stevenii "
"1253","Spiraea media "
"1254","Spiraea dahurica "
"1255","Aruncus dioicus s. lat. "
"1256","Filipendula ulmaria "
"1257","Rubus chamaemorus "
"1258","Rubus arcticus "
"1259","Rubus acaulis "
"1260","Rubus stellatus "
"1261","Rubus saxatilis "
"1262","Rubus pubescens "
"1263","Rubus humulifolius "
"1264","Rubus idaeus idaeus"
"1265","Rubus idaeus melanolasius"
"1266","Rubus idaeus sachalinensis"
"1267","Rosa acicularis acicularis"
"1268","Rosa acicularis sayi"
"1269","Rosa majalis "
"1270","Sanguisorba officinalis "
"1271","Sanguisorba alpina "
"1272","Sanguisorba canadensis latifolia"
"1273","Dryas octopetala "
"1274","Dryas ajanensis beringensis"
"1275","Dryas punctata punctata"
"1276","Dryas punctata alaskensis"
"1277","Dryas incisa "
"1278","Dryas crenulata "
"1279","Dryas integrifolia integrifolia"
"1280","Dryas integrifolia sylvatica"
"1281","Dryas grandis "
"1282","Dryas drummondii "
"1283","Geum rivale "
"1284","Geum aleppicum strictum"
"1285","Geum macrophyllum perincisum"
"1286","Geum calthifolium "
"1287","Geum rossii "
"1288","Geum glaciale "
"1289","Potentilla biflora "
"1290","Potentilla pulchella "
"1291","Potentilla bimundorum "
"1292","Potentilla tergemina "
"1293","Potentilla anachoretica "
"1294","Potentilla lyngei "
"1295","Potentilla wrangelii "
"1296","Potentilla pensylvanica "
"1297","Potentilla bipinnatifida "
"1298","Potentilla nudicaulis "
"1299","Potentilla litoralis "
"1300","Potentilla sp. (aff. pensylvanica) "
"1301","Potentilla rubricaulis "
"1302","Potentilla pedersenii "
"1303","Potentilla insularis "
"1304","Potentilla uschakovii "
"1305","Potentilla villosa "
"1306","Potentilla villosula "
"1307","Potentilla uniflora "
"1308","Potentilla vulcanicola "
"1309","Potentilla subvahliana "
"1310","Potentilla vahliana "
"1311","Potentilla gorodkovii "
"1312","Potentilla subgorodkovii "
"1313","Potentilla crebridens hemicryophila"
"1314","Potentilla nivea "
"1315","Potentilla arenosa arenosa"
"1316","Potentilla arenosa chamissonis"
"1317","Potentilla neglecta "
"1318","Potentilla intermedia "
"1319","Potentilla norvegica "
"1320","Potentilla thuringiaca "
"1321","Potentilla anadyrensis "
"1322","Potentilla stipularis "
"1323","Potentilla rubella "
"1324","Potentilla glaucophylla "
"1325","Potentilla elegans "
"1326","Potentilla crantzii "
"1327","Potentilla gelida boreo–asiati"
"1328","Potentilla hyparctica hyparctica"
"1329","Potentilla hyparctica elatior"
"1330","Potentilla hyparctica nivicola"
"1331","Potentilla pulviniformis "
"1332","Potentilla nana "
"1333","Potentilla fragiformis "
"1334","Potentilla erecta "
"1335","Potentilla anserina anserina"
"1336","Potentilla anserina egedii"
"1337","Potentilla anserina pacifica"
"1338","Dasiphora fruticosa floribunda"
"1339","Comarum palustre "
"1340","Sibbaldiopsis tridentata "
"1341","Sibbaldia procumbens "
"1342","Fragaria vesca vesca"
"1343","Fragaria vesca americana"
"1344","Fragaria virginiana virginiana"
"1345","Alchemilla alpina "
"1346","Alchemilla faeroeensis "
"1347","Alchemilla monticola "
"1348","Alchemilla acutiloba "
"1349","Alchemilla subcrenata "
"1350","Alchemilla filicaulis filicaulis"
"1351","Alchemilla filicaulis vestita"
"1352","Alchemilla semispoliata "
"1353","Alchemilla glomerulans "
"1354","Alchemilla borealis "
"1355","Alchemilla obtusiformis "
"1356","Alchemilla baltica "
"1357","Alchemilla wichurae "
"1358","Alchemilla murbeckiana "
"1359","Alchemilla glabra "
"1360","Alchemilla cunctatrix "
"1361","Alchemilla glabriformis "
"1362","Alchemilla norvegica "
"1363","Sorbus scopulina "
"1364","Sorbus aucuparia aucuparia"
"1365","Sorbus aucuparia glabrata"
"1366","Sorbus aucuparia sibirica"
"1367","Sorbus anadyrensis "
"1368","Sorbus groenlandica "
"1369","Amelanchier bartramiana "
"1370","Cotoneaster uniflorus "
"1371","Cotoneaster niger "
"1372","Prunus padus padus"
"1373","Shepherdia canadensis "
"1374","Urtica dioica dioica"
"1375","Urtica dioica sondenii"
"1376","Urtica gracilis "
"1377","Urtica urens "
"1378","Descurainia sophia "
"1379","Descurainia sophioides "
"1380","Descurainia incana "
"1381","Smelowskia alba "
"1382","Smelowskia media "
"1383","Smelowskia porsildii "
"1384","Smelowskia borealis "
"1385","Smelowskia parryoides "
"1386","Smelowskia jacutica "
"1387","Smelowskia czukotica "
"1388","Dontostemon pectinatus "
"1389","Aphragmus eschscholtzianus "
"1390","Arabidopsis arenosa  arenosa"
"1391","Arabidopsis kamtschatica "
"1392","Arabidopsis petraea petraea"
"1393","Arabidopsis petraea septentrionalis"
"1394","Arabidopsis petraea umbrosa"
"1395","Arabidopsis arenicola "
"1396","Transberingia bursifolia "
"1397","Eutrema edwardsii "
"1398","Thellungiella salsuginea "
"1399","Braya linearis "
"1400","Braya siliquosa "
"1401","Braya humilis humilis"
"1402","Braya humilis ellesmerensis"
"1403","Braya glabella glabella"
"1404","Braya glabella prostrata"
"1405","Braya glabella purpurascens"
"1406","Braya thorild–wulffii thorild–wul"
"1407","Braya thorild–wulffii glabra"
"1408","Braya pilosa "
"1409","Braya rosea "
"1410","Erysimum pallasii "
"1411","Erysimum coarctatum "
"1412","Erysimum strictum "
"1413","Erysimum marschallianum "
"1414","Erysimum altum "
"1415","Parrya nudicaulis nudicaulis"
"1416","Parrya nauruaq "
"1417","Parrya arctica "
"1418","Barbarea vulgaris "
"1419","Barbarea orthoceras "
"1420","Barbarea stricta "
"1421","Rorippa amphibia "
"1422","Rorippa sylvestris  sylvestris"
"1423","Rorippa islandica islandica"
"1424","Rorippa islandica dogadovae"
"1425","Rorippa palustris "
"1426","Rorippa barbareifolia "
"1427","Rorippa calycina "
"1428","Armoracia sisymbrioides "
"1429","Isatis tinctoria jacutensis"
"1430","Cardamine trifida "
"1431","Cardamine macrophylla "
"1432","Cardamine pratensis angustifolia"
"1433","Cardamine umbellata "
"1434","Cardamine prorepens "
"1435","Cardamine bellidifolia  bellidifolia"
"1436","Cardamine digitata "
"1437","Cardamine microphylla "
"1438","Cardamine blaisdellii "
"1439","Cardamine purpurea "
"1440","Cardamine sphenophylla "
"1441","Cardamine victoris "
"1442","Arabis alpina "
"1443","Arabis hirsuta "
"1444","Arabis pycnocarpa "
"1445","Boechera drummondii "
"1446","Boechera divaricarpa "
"1447","Boechera holboellii  holboellii"
"1448","Alyssum obovatum "
"1449","Lesquerella arctica "
"1450","Lesquerella calderi "
"1451","Draba pauciflora "
"1452","Draba micropetala "
"1453","Draba simmonsii "
"1454","Draba stenopetala "
"1455","Draba tschuktschorum "
"1456","Draba alpina "
"1457","Draba glacialis "
"1458","Draba oxycarpa "
"1459","Draba ""pseudo–oxycar"" "
"1460","Draba macounii "
"1461","Draba eschscholtzii "
"1462","Draba pilosa "
"1463","Draba corymbosa "
"1464","Draba oligosperma "
"1465","Draba fladnizensis "
"1466","Draba subcapitata "
"1467","Draba lactea "
"1468","Draba taimyrensis "
"1469","Draba nivalis "
"1470","Draba chamissonis "
"1471","Draba lonchocarpa (var. lonchocarpa) "
"1472","Draba palanderiana "
"1473","Draba cinerea "
"1474","Draba arctica arctica"
"1475","Draba arctica ostenfeldii"
"1476","Draba oblongata "
"1477","Draba arctogena "
"1478","Draba parvisiliquosa "
"1479","Draba norvegica "
"1480","Draba glabella "
"1481","Draba juvenilis "
"1482","Draba incana "
"1483","Draba cana "
"1484","Draba borealis "
"1485","Draba sibirica "
"1486","Draba nemorosa "
"1487","Draba verna "
"1488","Draba aurea "
"1489","Draba incerta "
"1490","Draba crassifolia "
"1491","Draba stenoloba "
"1492","Nesodraba grandis "
"1493","Cochlearia officinalis "
"1494","Cochlearia groenlandica "
"1495","Cochlearia arctica arctica"
"1496","Cochlearia arctica oblongifolia"
"1497","Thlaspi arvense "
"1498","Noccaea arctica "
"1499","Noccaea camtschatica "
"1500","Capsella bursa–pastor "
"1501","Brassica rapa campestris"
"1502","Subularia aquatica aquatica"
"1503","Subularia aquatica americana"
"1504","Cakile maritima islandica"
"1505","Cakile edentula  edentula"
"1506","Chamaepericlymenum suecicum "
"1507","Chamaepericlymenum canadense "
"1508","Chamaepericlymenum unalaschkense "
"1509","Impatiens noli–tange "
"1510","Phlox sibirica "
"1511","Phlox alaskensis "
"1512","Phlox hoodii "
"1513","Polemonium caeruleum "
"1514","Polemonium acutiflorum "
"1515","Polemonium boreale "
"1516","Polemonium pulcherrimum lindleyi"
"1517","Primula elatior  elatior"
"1518","Primula nutans nutans"
"1519","Primula nutans finmarchia"
"1520","Primula stricta "
"1521","Primula laurentiana "
"1522","Primula egaliksensis "
"1523","Primula anvilensis "
"1524","Primula borealis "
"1525","Primula tschuktschorum "
"1526","Primula pumila "
"1527","Primula cuneifolia saxifragifolia"
"1528","Dodecatheon frigidum "
"1529","Cortusa matthioli matthioli"
"1530","Cortusa matthioli altaica"
"1531","Cortusa matthioli sibirica"
"1532","Androsace chamaejasme andersonii"
"1533","Androsace chamaejasme capitata"
"1534","Androsace triflora "
"1535","Androsace gorodkovii "
"1536","Androsace semiperennis "
"1537","Androsace septentrionalis "
"1538","Androsace filiformis "
"1539","Douglasia ochotensis "
"1540","Douglasia arctica "
"1541","Douglasia beringensis "
"1542","Douglasia alaskana "
"1543","Glaux maritima "
"1544","Trientalis europaea europaea"
"1545","Trientalis europaea arctica"
"1546","Trientalis borealis  borealis"
"1547","Lysimachia thyrsiflora "
"1548","Diapensia lapponica lapponica"
"1549","Diapensia lapponica obovata"
"1550","Rhododendron aureum "
"1551","Rhododendron lapponicum lapponicum"
"1552","Rhododendron lapponicum parvifolium"
"1553","Rhododendron adamsii "
"1554","Rhododendron groenlandicum "
"1555","Rhododendron tomentosum tomentosum"
"1556","Rhododendron tomentosum decumbens"
"1557","Therorhodion glandulosum "
"1558","Kalmia polifolia  polifolia"
"1559","Kalmia procumbens "
"1560","Phyllodoce caerulea "
"1561","Phyllodoce aleutica  aleutica"
"1562","Calluna vulgaris "
"1563","Cassiope tetragona  tetragona"
"1564","Cassiope ericoides "
"1565","Cassiope lycopodioides "
"1566","Harrimanella hypnoides "
"1567","Harrimanella stelleriana "
"1568","Andromeda polifolia "
"1569","Andromeda glaucophylla "
"1570","Chamaedaphne calyculata "
"1571","Arctostaphylos uva–ur "
"1572","Arctous alpina "
"1573","Arctous rubra "
"1574","Gaulteria hispidula "
"1575","Vaccinium myrtillus "
"1576","Vaccinium ovalifolium "
"1577","Vaccinium cespitosum "
"1578","Vaccinium myrtilloides "
"1579","Vaccinium uliginosum uliginosum"
"1580","Vaccinium uliginosum microphyllum"
"1581","Vaccinium uliginosum pedris"
"1582","Vaccinium uliginosum vulcanorum"
"1583","Vaccinium vitis–idaea vitis–i"
"1584","Vaccinium vitis–idaea min"
"1585","Oxycoccus palustris palustris"
"1586","Oxycoccus palustris microphyllus"
"1587","Oxycoccus microcarpus "
"1588","Empetrum nigrum "
"1589","Pyrola grandiflora grandiflora"
"1590","Pyrola grandiflora norvegica"
"1591","Pyrola asarifolia incarnata"
"1592","Pyrola minor var. conferta "
"1593","Pyrola chlorantha "
"1594","Orthilia secunda secunda"
"1595","Orthilia secunda obtusata"
"1596","Moneses uniflora "
"1597","Galium kamtschaticum "
"1598","Galium boreale "
"1599","Galium triflorum "
"1600","Galium uliginosum "
"1601","Galium palustre "
"1602","Galium trifidum trifidum"
"1603","Galium trifidum columbianum"
"1604","Galium labradoricum "
"1605","Galium verum "
"1606","Galium mollugo erectum"
"1607","Galium normanii "
"1608","Galium spurium vaillantii"
"1609","Galium aparine "
"1610","Gentiana algida "
"1611","Gentiana glauca "
"1612","Gentiana nivalis "
"1613","Gentiana verna "
"1614","Gentiana prostrata "
"1615","Gentianella campestris "
"1616","Gentianella amarella amarella"
"1617","Gentianella amarella septentrionalis"
"1618","Gentianella amarella acuta"
"1619","Gentianella propinqua propinqua"
"1620","Gentianella propinqua arctophila"
"1621","Gentianella auriculata "
"1622","Gentianella aurea "
"1623","Comastoma tenellum "
"1624","Gentianopsis detonsa "
"1625","Gentianopsis nesophila "
"1626","Gentianopsis barbata barbata"
"1627","Gentianopsis barbata raupii"
"1628","Lomatogonium rotatum rotatum"
"1629","Lomatogonium rotatum tenuifolium"
"1630","Lomatogonium carinthiacum "
"1631","Swertia obtusa "
"1632","Ajuga pyramidalis "
"1633","Scutellaria galericulata pubescens"
"1634","Glechoma hederacea "
"1635","Dracocephalum palmatum "
"1636","Dracocephalum parviflorum "
"1637","Prunella vulgaris vulgaris"
"1638","Galeopsis bifida "
"1639","Galeopsis tetrahit "
"1640","Lamium album  album"
"1641","Lamium purpureum "
"1642","Lycopus uniflorus "
"1643","Mentha arvensis "
"1644","Mentha canadensis "
"1645","Thymus praecox arcticus"
"1646","Thymus serpyllum tanaensis"
"1647","Thymus pauciflorus "
"1648","Thymus reverdattoanus "
"1649","Thymus extremus "
"1650","Thymus oxyodontus "
"1651","Thymus mongolicus "
"1652","Thymus sibiricus "
"1653","Mimulus guttatus "
"1654","Limosella aquatica "
"1655","Linaria vulgaris vulgaris"
"1656","Linaria vulgaris acutiloba"
"1657","Lagotis glauca glauca"
"1658","Lagotis glauca stelleri"
"1659","Lagotis glauca minor"
"1660","Veronica longifolia "
"1661","Veronica incana  incana"
"1662","Veronica spicata  spicata"
"1663","Veronica alpina alpina"
"1664","Veronica alpina pumila"
"1665","Veronica nutans "
"1666","Veronica wormskjoldii "
"1667","Veronica fruticans  fruticans"
"1668","Veronica serpyllifolia serpyllifolia"
"1669","Veronica serpyllifolia humifusa"
"1670","Veronica chamaedrys "
"1671","Veronica officinalis "
"1672","Veronica scutellata "
"1673","Plantago major  major"
"1674","Plantago depressa "
"1675","Plantago canescens canescens"
"1676","Plantago canescens jurtzevii"
"1677","Plantago canescens richardsonii"
"1678","Plantago eriopoda "
"1679","Plantago maritima borealis"
"1680","Littorella uniflora "
"1681","Hippuris vulgaris "
"1682","Hippuris lanceolata "
"1683","Hippuris tetraphylla "
"1684","Callitriche hermaphroditica "
"1685","Callitriche cophocarpa "
"1686","Callitriche palustris "
"1687","Callitriche anceps "
"1688","Callitriche hamulata "
"1689","Callitriche stagnalis "
"1690","Boschniakia Boschniakia rossica "
"1691","Castilleja hyparctica "
"1692","Castilleja septentrionalis "
"1693","Castilleja lapponica "
"1694","Castilleja pavlovii "
"1695","Castilleja caudata "
"1696","Castilleja yukonis "
"1697","Castilleja hyperborea "
"1698","Castilleja pseudohyperborea "
"1699","Castilleja rubra "
"1700","Castilleja elegans "
"1701","Castilleja raupii "
"1702","Castilleja arctica arctica"
"1703","Castilleja arctica vorkutensis"
"1704","Melampyrum sylvaticum "
"1705","Melampyrum pratense "
"1706","Euphrasia wettsteinii "
"1707","Euphrasia vinacea "
"1708","Euphrasia mollis "
"1709","Euphrasia subarctica "
"1710","Euphrasia disjuncta "
"1711","Euphrasia stricta "
"1712","Euphrasia arctica "
"1713","Euphrasia frigida "
"1714","Euphrasia hudsoniana "
"1715","Euphrasia hyperborea "
"1716","Euphrasia parviflora "
"1717","Euphrasia salisburgensis "
"1718","Bartsia alpina "
"1719","Rhinanthus minor "
"1720","Pedicularis capitata "
"1721","Pedicularis sceptrum–carolin "
"1722","Pedicularis tristis "
"1723","Pedicularis dasyantha "
"1724","Pedicularis alopecuroides "
"1725","Pedicularis lanata "
"1726","Pedicularis hirsuta "
"1727","Pedicularis langsdorffii "
"1728","Pedicularis flammea "
"1729","Pedicularis oederi "
"1730","Pedicularis albolabiata "
"1731","Pedicularis novaiae–zemli "
"1732","Pedicularis arctoeuropaea "
"1733","Pedicularis interior "
"1734","Pedicularis pacifica "
"1735","Pedicularis villosa "
"1736","Pedicularis labradorica "
"1737","Pedicularis compacta "
"1738","Pedicularis lapponica "
"1739","Pedicularis adunca "
"1740","Pedicularis palustris borealis"
"1741","Pedicularis palustris karoi"
"1742","Pedicularis parviflora "
"1743","Pedicularis pennellii "
"1744","Pedicularis hyperborea "
"1745","Pedicularis groenlandica "
"1746","Pedicularis verticillata "
"1747","Pedicularis amoena "
"1748","Pedicularis eriopoda "
"1749","Pinguicula vulgaris  vulgaris"
"1750","Pinguicula alpina "
"1751","Pinguicula spathulata "
"1752","Pinguicula algida "
"1753","Pinguicula villosa "
"1754","Utricularia vulgaris vulgaris"
"1755","Utricularia vulgaris macrorhiza"
"1756","Utricularia intermedia "
"1757","Utricularia ochroleuca "
"1758","Utricularia minor "
"1759","Eritrichium villosum "
"1760","Eritrichium aretioides "
"1761","Eritrichium tschuktschorum "
"1762","Eritrichium sericeum sericeum"
