"Species_SubSpecies","CW","WI","CS","CE","AN","AW","CC","HL","EP","GW","GE","NI","JM","FN","SF","FJL","KP","UN","YG","AO","Tm","Kh","YK"
"Campanula glomerata L.","","","","","","","","","","","","●","","●","","","●","","","","×","×",""
"Campanula rotundifolia L.","","","","×","","×","","","","","","","","","","","","","","","","",""
"Cannabis sativa L.","","","","","","","","","","","","","","","","","○","","","","","",""
"Capsella bursa-pastoris (L.) Medik.","","","","","●","○","×","×","","","","","","","●","","●","●","","","●","",""
"Caragana arborescens Lam. ","","","","","","IR","×","","","","","","","","","","","","","","","",""
"Carduus crispus L.","","","","","","","","","","○","","","","","","","●","●","","","","",""
"Carum carvi L.","","","","","","","","×","","○","","","","×","○","","●","●","","","","",""
"Cenolophium denudatum (Fisch. & Hornem.) Tutin","","","","","","","","","","","","","","","","","","×","","","","",""
"Centaurea cyanus L.","","","","","","","","","","","","○","","","","","○","○","","","","",""
"Centaurea jacea L.","","","","","","","","","","","","","","","","","●","○","","","","",""
"Centaurea montana L.","","","","","","","","","","","","●","","×","","","","","","","","",""
"Centaurea triumfettii All.","","","","","","","","","","","","○","","","","","","","","","","",""
"Cerastium fontanum subsp. vulgare (Hartman) Greuter & Burdet","","","","","","●","","×","","●","","○","","","○","","●","●","","","×","",""
"Ceratocephala orthoceras DC.","","","","","","","","","","","","","","","","","○","","","","","",""
"Chaerophyllum prescottii DC.","","","","","","","","","","","","","","","","","○","","●","","","",""
"Chenopodium album L.","●","","●","●","●","IR","×","○","","●","","○","","×","○","","●","○","","","","○","●"
"Chenopodium capitatum (L.) Ambrosi","","","","","","","×","×","","","","","","","","","","","","","","",""
"Chenopodium prostratum Bunge ex Herder","●","","●","●","","","","","","","","","","","","","","","","","","",""
"Chenopodium suecicum J. Murr","","","","","","","","","","","","","","","","","○","","","","","",""
"Chorispora tenella (Pall.) DC.","","","","","","","","","","","","","","","","","○","","","","","",""
"Cirsium arvense (L.) Scop.","","","","","IR","","","","","●","","×","","×","","","","","","","","",""
"Cirsium arvense subsp. setosum (Willd.) Iljin","","","","","","","","","","","","","","","","","●","●","","","","",""
"Conringia orientalis (L.) Dumort.","","","","","","","","","","","","○","","","○","","○","","","","","",""
"Consolida regalis S. F. Gray","","","","","","","","","","","","","","","","","○","","","","","",""
"Convolvulus arvensis L.","","","","","","","","","","","","○","","","","","○","","","","","",""
"Crepis tectorum L.","","","","","IR","IR","×","","","○","","","","","","","","","","","","",""
"Dactylis glomerata L.","","","","","","","","","","●","","●","","×","○","","●","","","","","",""
"Deschampsia cespitosa subsp. beringensis (Hultén) W.E.Lawr.","","","","","","","","","","","","●","","","","","","","","","","",""
"Deschampsia cespitosa subsp. cespitosa (L.) P. Beauv.","","","","","","×","","","","×","","","","","●","","","●","","","","",""
"Descurainia incana L. ","","","","","","","","×","","","","","","","","","","","","","","",""
"Descurainia sophia (L.) Webb","","","","","×","×","","","","○","","","","×","○","","●","●","","","","",""
"Draba nemorosa L.","●","","","","","","","","","","","","","","","","●","×","●","●","×","●",""
"Draba verna L.","","","","","","","","","","○","","","","×","","","","","","","","",""
"Dracocephalum parviflorum Nutt.","","","","","","","","×","","","","","","","","","","","","","","",""
"Echinochloa crus-galli (L.) P.Beauv.","","","","○","","","","","","","","","","","","","","","","","","",""
"Elymus repens (L.) Gould","","","●","","●","●","×","×","","●","","","","×","○","","●","●","","","","",""
"Epilobium ciliatum subsp. ciliatum  Rafin.","","","","","","","","","","","","●","","","","","","","","","","",""
"Erodium cicutarium (L.) L'Hér.","","","","","","","","","","","","","","","○","","○","○","","","","",""
"Erysimum cheiranthoides L.","","","","","","","","","","","","","","","○","","","","●","","","",""
"Erysimum strictum P. Gaertn., B. Mey. & Scherb.","","","","","","","","","","","","","","","○","","","","","","","",""
"Erythranthe guttata (DC.) G.L.Nesom","","","","","","","","","","","","○","","","","","","","","","","",""
"Euphrasia parviflora Schag.","","","","","","","","","","","","","","","","","●","","","","","",""
"Fagopyrum esculentum Moench","","","","","","","","","","","","○","","","○","","○","","","","","",""
"Fagopyrum tataricum (L.) Gaertn.","","","","","","","","","","","","","","","","","○","","","","","",""
"Fallopia convolvulus (L.) A. Löve","","","","","","○","","","","","","○","","","○","","○","○","","","","○",""
"Festuca ovina L.","","","","","","","","","","","","○","","","","","","","","","","",""
"Festuca rubra subsp. megastachya Gaudin","","","","","","","","","","","","","","","○","","","","","","","",""
"Festuca rubra subsp. rubra L.","","","","","","","●","●","","","","","","","●","","","","","","","",""
"Fumaria officinalis L.","","","","","","","","","","","","","","","","","○","","","","","",""
"Galeopsis bifida Boenn.","","","","","","","","×","","","","","","","","","●","●","","","×","",""
"Galeopsis ladanum L.","","","","","","","","","","","","","","","","","○","○","","","","",""
"Galeopsis speciosa Mill.","","","","","","","","","","","","","","","","","●","","","","","",""
"Galeopsis tetrahit L.","","","","","","○","","","","","","●","","","○","","●","","","","","",""
"Galium aparine L.","","","","","","","○","","","○","","○","","","○","","○","","","","","",""
"Galium mollugo subsp. erectum Syme","","","","","","","","","","○","","○","","×","○","","●","","","","","",""
"Galium spurium subsp. vaillantii (DC.) Gaudin. ","","","","●","","","","","","","","","","×","","","","","","","×","",""
"Galium verum L.","●","","×","●","","","","","","","","","","×","","","","","","","","",""
"Glechoma hederacea L.","","","","","","","","","","","","","","×","","","○","●","●","","","",""
"Gnaphalium sylvaticum L.","","","","","","","","","","","","","","×","","","","","","","","",""
"Gnaphalium uliginosum L.","","","","","","○","","","","●","","","","","","","","","","","","",""
"Helianthus annuus L.","","","","","","","","","","","","","","","○","","","","","","","",""
"Heracleum persicum Desf.","","","","","","","","","","","","○","","●","","","","","","","","",""
"Heracleum sphondylium subsp. sibiricum (L.) Simonk.","","","","","","","","","","","","","","×","","","","","","","","",""
"Hesperis matronalis L.","","","","","","","","","","","","○","","","","","","","","","","",""
"Hieracium vulgatum R.E. Fr.","","","","","","","","","","","","","","","○","","","","","","","",""
"Hordeum brachyantherum Nevski","","","","","","×","","","","","","","","","","","","","","","","",""
"Hordeum brevisubulatum (Trin.) Link","","","","","","","","","","","","","","","","","","","","","","○",""
"Hordeum jubatum L.","●","○","●","●","IR","IR","","×","","●","","○","","","","","","","","","","","●"
"Hordeum vulgare L.","","","","","","×","","","","","","○","","","○","","","","","","","",""
"Hyoscyamus niger L.","","","","","","","","","","","","","","","","","●","","","","","",""
"Iris pseudacorus L.","","","","","","","","","","","","○","","","","","","","","","","",""
"Impatiens noli-tangere L.","","","","","","","","","","","","","","","","","","","","","×","",""
"Jacobaea erucifolia Gaertn. Mey. & Scherb.","","","","","","","","","","","","","","","","","○","","","","","",""
"Juncus bufonius L.","","","○","○","","×","×","×","","×","","","","×","","","●","","●","","●","",""
"Juncus compressus Jacq.","","","","","","","","","","","","","","","","","○","","","","","",""
"Juncus nodosus L.","","","","","","","","×","","","","","","","","","","","","","","",""
"Lactuca tatarica (L.) C. A. Meyer","","","","","","","","","","","","","","","","","○","","","","","",""
"Lamium album L.","","","","","","","","","","","","●","","","","","","","","","","",""
"Lamium purpureum L.","","","","","","","","","","●","","●","","","","","○","","","","","",""
"Lappula marginata (M. Bieb.) Gürke","","","","","","","","","","","","○","","","","","","","","","","",""
"Lappula occidentalis (S. Watson) Greene","","","","","●","","×","","","","","","","","","","","","","","","",""
"Lappula patula (Lehm.) Gürke","","","","","","","","","","","","","","","","","○","","","","","",""
"Lappula squarrosa (Retz.) Dumort.","","","","","","","×","","","","","","","×","○","","●","○","","","×","","×"
"Lapsana communis L.","","","","","","","","","","","","○","","","○","","","","","","","",""
"Lathyrus pratensis L.","","","","","","","","","","●","","","","×","○","","","","○","","","",""
"Leontodon hispidus L.","","","","","","","","","","","","","","","","","●","","","","","",""
"Lepidium campestre (L.) W.T. Aiton","","","","","","","","","","","","○","","","","","","","","","","",""
"Lepidium densiflorum Schrad.","","","","","●","","","","","","","○","","","○","","","","","","","",""
"Lepidium heterophyllum Benth.","","","","","","","","","","","","○","","","","","","","","","","",""
"Lepidium perfoliatum L.","","","","","","","","","","","","","","","","","○","","","","","",""
"Lepidium ramosissimum A. Nelson","","","","","●","","","","","","","","","","","","","","","","","",""
"Lepidium ruderale L.","","","","","","","","","","","","","","","","","○","○","","","","",""
"Lepidium sativum L.","","","","","","","","","","","","○","","","","","","","","","","",""
"Lepidotheca suaveolens (Pursh) Nutt.","","","","●","●","●","×","×","","●","","●","","×","○","","●","●","","","","",""
"Leptopyrum fumarioides (L.) Rchb. ","","","","","","","","","","","","","","","","","","","","","","○",""
"Leucanthemum vulgare Lam.","","","","","IR","IR","","×","","○","","●","","×","","","●","","","","","",""
"Linaria vulgaris Mill.","","","","","IR","","","×","","●","","","","×","","","●","","","","","",""
"Lolium multiflorum Lam. ","","","","","","","","","","","","○","","","","","","","","","","",""
"Lolium perenne L.","","","","","","○","●","●","","○","","○","","×","","","","","","","","",""
"Lotus corniculatus L.","","","","","","","","","","","","","","","","","","","","","","",""
"Lupinus nootkatensis Donn ex Sims","","","","","","","","","","●","","IT","","○","","","","","","","","",""
"Lupinus polyphyllus Lindl.","","","","","","","","","","","","○","","","","","","","","","","",""
"Luzula luzuloides (Lam.) Dandy & Wilmott","","","","","","","","","","","","","","×","","","","","","","","",""
"Luzula multiflora subsp. multiflora (Ehrh.) Lej.","","","","","","","","","","●","","","","×","","","","","","","","",""
"Luzula pallescens Sw.","","","","","","","","","","","","","","×","","","","","","","","",""
"Lycopsis arvensis subsp. arvensis","","","","","","","","","","","","○","","","","","","","","","","",""
"Lysimachia arvensis U.Manns & Anderb.","","","","","","","","","","","","","","","","","○","","","","","",""
"Malus pumila Mill. ","","","","","","","","","","","","","○","×","○","","","","","","","",""
"Malva pusilla Sm.","","","","","","","","","","","","","","","","","○","","","","","",""
"Matricaria recutita L.","","","","×","","","","","","○","","","","×","","","○","","","","","",""
"Medicago lupulina L.","","","","","","","","","","","","","","","○","","○","○","","","","○",""
"Medicago falcata L.","","","","","","","","","","","","","","","","","","","","","","○",""
"Medicago polymorpha L.","","","","","","","","","","","","","","","○","","","","","","","",""
"Medicago sativa subsp. varia (Martyn)Arcang.","","","","","","","×","","","","","","","","","","","","","","","",""
"Melilotus albus Medik.","","","","","IT","","×","×","","○","","○","","","","","○","●","","","","",""
"Melilotus officinalis (L.)Pall.","","","","","","","","","","","","○","","","○","","●","","","","","",""
"Mentha arvensis L.","","","","","","","","","","","","","","","","","×","","","","","",""
"Myosotis arvensis (L.) Hill","","","","","","","","","","●","","","","×","○","","○","","","","×","",""
"Myosotis laxa subsp. caespitosa (C.F.Schultz) Nordh.","","","","","","","","","","","","","","×","","","●","","●","","●","",""
"Myosotis scorpioides L.","","","","","","○","","","","","","●","","","","","","","","","","",""
"Myrrhis odorata (L.) Scop.","","","","","","","","","","","","●","","","","","","","","","","",""
"Neslia paniculata (L.) Desv.","","","","","","","","","","","","","","","","","○","○","","","","",""
"Oxybasis glauca S.Fuentes, Uotila & Borsch","","","","","","","","","","","","","","","","","○","","","","","",""
"Oxybasis rubra (L.) S.Fuentes, Uotila & Borsch","","","","","","","","","","","","","","","","","○","○","","","","",""
"Papaver croceum Ledeb.","","","","","○","○","","○","","●","","●","","×","","","","","","","","",""
"Papaver somniferum L.","","","","","","","","","","","","○","","","","","○","","","","","",""
"Pedicularis adunca M. Bieb. ex Steven","","","×","","","","","","","","","","","","","","","","","","","",""
"Persicaria lapathifolia (L.) S.F.Gray","","","","","","","","","","","","○","","","","","●","","","","","",""
"Phleum pratense subsp. pratense L.","","","","","","●","","○","","●","","●","","×","○","","●","●","","","","○",""
"Pilosella aurantiaca F. Schultz & Sch. Bip. ","","","","","","","","","","","","●","","×","","","","","","","","",""
"Pilosella onegensis Norrl.","","","","","","","","","","","","","","×","","","","","","","","",""
"Pimpinella saxifraga L. ","","","","","","","","","","","","","","×","","","","","","","","",""
"Pisum sativum L.","","","","","","","","","","","","","","","○","","","","","","","",""
"Plantago canescens subsp. canescens Adams ","","","","","","","","","","","","","","","","","","","","","","●",""
"Plantago depressa Willd.","×","","","●","","","","","","","","","","","","","","","","","","●",""
"Plantago lanceolata L.","","","","○","","","","","","○","","","","","","","●","○","","","×","",""
"Plantago major L.","●","","","●","●","IR","×","×","","○","","","","×","○","","●","","○","","●","●",""
"Plantago media L.","","","","○","","","","","","","","","","","○","","●","●","","","","",""
"Plantago salsa Pall.","","","","○","","","","","","","","","","","","","","","","","","",""
"Poa annua L.","","","","","","IR","","×","","","","","","","●","","●","●","","","●","",""
"Poa compressa L.","","","","●","","○","×","×","","","","","","×","","","","","","","","",""
"Poa nemoralis subsp. nemoralis L. ","","","","","","","","×","","","","","","","","","","","","","","",""
"Poa palustris L.","","","","","","","","","","○","","","","×","○","","","","","","","",""
"Poa pratensis subsp. angustifolia (L.) Gaudin","","","●","","","","","","","●","","","","","○","","●","","","","","",""
"Poa pratensis subsp. irrigata (Lindm.) H. Lindb.","","","","","","","","●","","","","","","","●","","","","","","","",""
"Poa pratensis subsp. pratensis L.","","","","","●","●","●","●","","●","●","○","","×","●","","","","","","","",""
"Poa supina Schrad.","","","","","","","","","","","","","","","","","●","●","","","●","",""
"Poa trivialis subsp. trivialis L.","","","","●","","","","","","●","","","","","○","","×","","","","","",""
"Polemonium caeruleum L.","","","","","","","","","","","","○","","","","","","","","","","",""
"Polygonum aviculare L. ","","","●","","●","IR","×","○","","","○","","","×","○","","●","●","","","×","○",""
"Polygonum boreale (Lange) Small","","","","","","","","","","","●","","","","","","","","○","","","",""
"Polygonum convolvulus L.","●","","●","●","","","","","","●","","","","","","","","","","","","",""
"Potentilla argentea L.","","","","","","","","","","","","","","×","","","○","","","","","",""
"Potentilla erecta (L.) Räuschel","","","","","","","","","","","","●","","","","","","","","","","",""
"Potentilla intermedia L.","","","","","","","","","","","","","","×","","","","","","","","",""
"Potentilla intermedia L.","","","","","","","","","","","","","","","","","○","","","","","",""
"Potentilla norvegica L.","","","","●","","","","","","●","","","","×","","","●","","","","×","",""
"Potentilla pensylvanica L.","","","","×","","","","","","","","","","","","","","","","","","",""
"Potentilla supina L.","","","","","","","","","","","","","","","","","○","","","","","",""
"Potentilla tergemina Soják","","","","●","","","","","","","","","","","","","","","","","","",""
"Potentilla thuringiaca Bernh. ex Link","","","","","","","","","","","","","","×","","","","","","","","",""
"Primula elatior (L.) L.","","","","","","","","","","","","","","●","","","","","","","","",""
"Prunella vulgaris L.","","","","","","","","","","","","","","×","","","●","","","","","",""
"Prunus domestica L.","","","","","","","","","","","","","","","○","","","","","","","",""
"Prunus padus L.","","","","","IR","","","","","","","","","","","","","","","","","",""
"Puccinellia distans (Jacq.) Parl.","","","","","","","","","","","","","","","","","●","●","●","","","●",""
"Puccinellia hauptiana (Trin. ex V.I. Krecz.) Kitag.","●","","●","●","","","","","","","","","","","","","●","●","●","●","●","●","●"
"Ranunculus acris L. ","","","","","","○","","×","","","","","","","○","","●","●","","","●","",""
"Ranunculus acris subsp. friesianus (Jordan) Syme","","","","","","","","","","","","","","","●","","","","","","","",""
"Ranunculus auricomus agg.","","","","","","","","","","","","","","","○","","","","","","●","",""
"Ranunculus polyanthemos L.","","","","","","","","","","","","","","","","","●","","","","","",""
"Ranunculus repens L.","","","","","","●","","","","●","","","","","●","","","","","","","",""
"Ranunculus sceleratus subsp. sceleratus L.","","","","","","","","","","","","","","","","","●","","●","","","",""
"Ranunculus subborealis subsp. villosus (Drabble) Elven","","","","","","","","","","","","","","","●","","","","","","","",""
"Raphanus raphanistrum L.","","","","○","","","","","","","","○","","","○","","○","○","","","","○",""
"Raphanus sativus L.","","","","","","","","","","","","○","","","","","","","","","","",""
"Reseda lutea L.","","","","","","","","","","","","","","","","","○","","","","","",""
"Rheum rhabarbarum L.","","","","","","○","","","","","","○","","","","","","","","","","",""
"Rhinanthus alectorolophus (Scop.) Pollich","","","","","","","","","","","","","","","","","○","○","","","","",""
"Rhinanthus angustifolius C. C. Gmelin","","","","","","","","","","","","○","","","","","","","","","","",""
"Rhinanthus minor L.","","","","","","","","","","","","","","","","","●","","","","","",""
"Ribes × pallidum Otto & F. Dietr.","","","","","","","","","","","","●","","","","","","","","","","",""
"Ribes dikuscha Fisch. ex Turcz.","","","","×","","","","","","","","","","","","","","","","","","",""
"Rorippa barbareifolia (DC.) Kitag.","●","","●","●","","","","","","","","","","","","","","","","","","",""
"Rorippa palustris subsp. palustris (L.) Besser","","","","","","","","","","●","","","","","○","","","","","","","",""
"Rorippa sylvestris subsp. sylvestris (L.) Besser","","","","","","","","","","","","○","","","○","","","","","","","",""
"Rubus idaeus subsp. idaeus L.","","","","","","","","","","●","","","","","","","","","","","","",""
"Rumex acetosa L.","","","","","","","","","","","","","●","","●","","●","","","","×","",""
"Rumex acetosella L. ","","","","","","○","","×","","○","○","","","","○","","","●","●","","×","●",""
"Rumex aquaticus L.","●","","","","","","","","","","","","","","","","","","","","×","",""
"Rumex confertus Willd.","","","","","","","","","","","","","","×","","","●","●","","","","",""
"Rumex crispus L.","","","","","","●","","","","","","","","","○","","○","","","","","",""
"Rumex longifolius DC.","","","","●","","","","","","●","","×","○","","○","","●","","●","","×","",""
"Rumex maritimus L.","","","","","","","","","","","","","","","","","○","","","","×","",""
"Rumex obtusifolius subsp. sylvestris (Lam.) Celak.","","","","","","","","","","","","○","","","","","","","","","","",""
"Rumex obtusifolius subsp. obtusifolius L.","","","","","","","","","","○","","","","","","","","","","","","",""
"Rumex thyrsiflorus Fingerh.","","","","","","","","","","","","","","","","","","○","","","","",""
"Rumex ucranicus Fisch.","","","","","","","","","","","","","","","","","○","","","","","",""
"Sagina procumbens L. ","","","","","","","","×","","","","","","","","","●","●","","","","",""
"Salix alaxensis (Anderss.) Coville","","","","","","","","","","","","●","","","","","","","","","","",""
"Salix myrsinifolia subsp. borealis (Flod.) A.K.Skvortsov","","","","","","","","","","","","●","","","","","","","","","","",""
"Sanguisorba alpina Bunge","","","","","","","","","","","","●","","","","","","","","","","",""
"Sanguisorba officinalis L.","","","","","","","","","","","","","","","○","","","","","","","",""
"Saussurea alpina (L.) DC.","","","","","","","","","","","","","","","○","","","","","","","",""
"Saxifraga hypnoides L.","","","","","","","","","","","","","","×","","","","","","","","",""
"Saxifraga umbrosa L.","","","","","","","","","","","","○","","","","","","","","","","",""
"Schedonorus pratensis (Huds.) P. Beauv.","×","","○","","","IR","","","","●","","","","×","","","○","●","","","×","",""
"Scorzoneroides autumnalis Moench","","","","","","IR","","","","●","","","","×","","","●","●","","","×","",""
"Secale cereale L.","","","","","","","","","","","","○","","","○","","○","","","","","",""
"Senecio pseudoarnica Less.","","","","","","","","","","","","●","","","","","","","","","","",""
"Senecio vernalis Waldst. & Kit.","","","","","","","","","","","","○","","","","","","","","","","",""
"Senecio viscosus L.","","","","","","","","","","","","","","","","","●","","","","","",""
"Senecio vulgaris L.","","","","○","×","○","","×","","●","","×","","","○","","●","","","","","",""
"Silene dioica subsp. dioica (L.) Clairv. ","","","","","","","","","","","","●","","","","","","","","","","",""
"Silene flos-cuculi (L.) Greuter & Burdet","","","","","","","","","","","","","","","","","○","○","","","","",""
"Silene latifolia subsp. alba (Miller) Greuter & Burdet","","","","","","","","","","","","","","","○","","○","●","","","","",""
