"scientificName","speciesKey"
"Senna obtusifolia",2957408
"Anacardium occidentale",5421368
"Senna occidentalis",2957966
"Chromolaena odorata",3087725
"Nasturtium officinale",3053430
"Saccharum officinarum",2703912
"Neptunia prostrata",5353534
"Portulaca oleracea",3084719
"Corchorus olitorius",3152084
"Chenopodium opulifolium",8995846
"Bixa orellana",2874863
"Sidastrum paniculatum",3152803
"Carica papaya",2874484
"Galinsoga parviflora",3132570
"Malva parviflora",3152372
"Adenanthera pavonina",2951846
"Hyptis pectinata",3889976
"Physalis peruviana",5341784
"Neustanthus phaseoloides  var. javanicus",2977687
"Neustanthus phaseoloides",2977687
"Nicandra physalodes",5341754
"Gomphocarpus physocarpus",3170326
"Mimosa pigra",2969431
"Bidens pilosa",5391845
"Schkuhria pinnata",8346536
"Kalanchoe pinnata",2985930
"Vanilla planifolia",2803398
"Sicyos polyacanthos",3623631
"Gnaphalium polycaulon",5390831
"Medicago polymorpha",7827613
"Tridax procumbens",3149462
"Eclipta prostrata",5385687
"Mucuna pruriens  var. utilis",2951499
"Centrosema pubescens",2964904
"Caesalpinia pulcherrima",8078816
"Euphorbia pulcherrima",3066465
"Alternanthera pungens",3084949
"Ipomoea purpurea",2928576
"Vigna radiata",2982380
"Hydrocotyle ranunculoides",7978544
"Raphanus raphanistrum  subsp. sativus",7678610
"Canavalia regalis",2962050
"Delonix regia",2956176
"Sida rhombifolia",5406735
"Nicotiana rustica",2928775
"Acacia saligna",2978552
"Samanea saman",2972923
"Digitaria sanguinalis",5289972
"Sapindus saponaria",8017915
"Medicago sativa",2965354
"Cannabis sativa",5361880
"Vicia sativa",7402098
"Lathyrus sativus",5356488
"Richardia scabra",5337491
"Mimosa scabrella",2970213
"Lipotriche scandens  subsp. scandens",9571367
"Dysphania schraderiana",5568322
"Cortaderia selloana",2704523
"Senna septemtrionalis",2957529
"Alternanthera sessilis",3084939
"Senna siamea",2956905
"Agave sisalana",8123118
"Papaver somniferum",2888439
"Senna spectabilis",2957438
"Hyptis spicigera",7664995
"Amaranthus spinosus",5384401
"Datura stramonium",2928751
"Pistia stratiotes",2870583
"Opuntia stricta",5384075
"Lantana strigocamara",4084229
"Vigna subterranea",2982714
"Cosmos sulphureus",3098951
"Erigeron sumatrensis",10490749
"Heliotropium supinum",2925777
"Malva sylvestris",3152374
"Phyllanthus tenellus",5381097
"Schinus terebinthifolia",3660419
"Tetragonia tetragonoides",5554574
"Oenothera tetraptera",3188815
"Cascabela thevetia",3169652
"Millettia thonningii",5355788
"Desmodium tortuosum",2967217
"Solanum torvum",2932389
"Amaranthus tricolor",5384397
"Corchorus tridens",3152090
"Corchorus trilocularis",3152081
"Hibiscus trionum",3152560
"Lipotriche triternata",10671405
"Ipomoea muricata",2928510
"Desmodium uncinatum",2967319
"Vigna unguiculata",2982583
"Stachytarpheta urticifolia",2925457
"Paspalum urvillei",2705650
"Linum usitatissimum",2873861
"Inga vera",5357677
"Mollugo verticillata",7548362
"Solanum villosum",2929505
"Vitis vinifera",10880324
"Eragrostis virescens",7666844
"Desmanthus virgatus",5360097
"Amaranthus viridis",5384334
"Pseudoconyza viscosa",3086704
"Foeniculum vulgare",7710259
"Phaseolus vulgaris",5350452
"Solanum wendlandii",2932035
"Tradescantia zebrina  var. zebrina",2765359
"Yucca aloifolia",2775744
"Cucumis anguria",7428003
"Crinum asiaticum",8300891
"Gossypium barbadense",3152666
"Ficus benjamina",5361932
"Tragus berteronianus",5290129
"Digitaria bicornis",5289968
"Melicoccus bijugatus",3189990
"Chrysophyllum cainito",2885828
"Tephrosia candida",5342186
"Terminalia catappa",3189394
"Cyanthillium cinereum",6445734
"Cordia dichotoma",4060884
"Brachiaria distachya",10902071
"Ficus elastica",7835333
"Malpighia emarginata",5421427
"Jasminum fluminense",3172270
"Thunbergia fragrans",5415458
"Punica granatum",5420901
"Ocimum gratissimum",2927094
"Sorghum halepense",2705185
"Stylosanthes hamata",2975756
"Abutilon hirtum",3152619
"Tamarindus indica",2975768
"Eleusine indica",2705953
"Clerodendrum indicum",2925349
"Launaea intybacea",3144674
"Leonurus japonicus",6410563
"Swietenia mahagoni",3190485
"Adonidia merrillii",2738434
"Leonotis nepetifolia",7865314
"Cocos nucifera",2735117
"Eragrostis pilosa",2705400
"Spondias purpurea",3190598
"Brachiaria reptans",2705833
"Crotalaria retusa",2942610
"Gliricidia sepium",8082978
"Cenchrus setaceus",5828232
"Xanthium strumarium",3089154
"Thymophylla tenuiloba",3144442
"Indigofera tinctoria",2972043
"Sphagneticola trilobata",3116842
"Erythrina variegata",5349581
"Crotalaria verrucosa",2942654
"Stemodia verticillata",3171751
"Manilkara zapota",2885158
"Amaranthus albus",7905507
"Symphoricarpos albus",8012439
"Ailanthus altissima",3190653
"Agave americana",2767031
"Phytolacca americana",3084015
"Senecio angulatus",4933568
"Elaeagnus angustifolia",3039269
