"scientificName","speciesKey"
"trifolium pratense subsp. nivale ces.",8324121
"trifolium pratense var. sativum schreb.",8324121
"trifolium pratense subsp. nivale (w.d.j.koch) arcang.",8324121
"sh0996799.09fu",8324121
"trifolium pratense subsp. sativum (afzel.) schübl. & g.martens",8324121
"trifolium pratense var. villosum dc.",8324121
"trifolium pratense var. maritimum zabel",8324121
"fagus sylvatica subsp. sylvatica",2882316
"fagus sylvatica f. purpurea (aiton) dippel",2882316
"fagus sylvatica f. pendula (dum.cours.) schelle",2882316
"fagus sylvatica f. purpurea (aiton) c.k.schneid., 1904",2882316
"fagus sylvatica f. sylvatica",2882316
"fagus sylvatica var. purpurea aiton",2882316
"fagus sylvatica var. laciniata vignet",2882316
"fagus sylvatica var. pendula lodd.",2882316
"castanea fagus scop.",2882316
"phragmites australis subsp. australis",5290149
"phragmites communis trin.",5290149
"phragmites australis subsp. americanus saltonst., p.m.peterson & soreng",5290149
"phragmites australis var. australis",5290149
"phragmites australis subsp. altissimus (benth.) clayton",5290149
"arundo phragmites l.",5290149
"phragmites altissimus (benth.) mabille",5290149
"phragmites australis subsp. isiacus (arcang.)",5290149
"phragmites australis (cav.) trin.",5290149
"sh1208365.09fu",2882482
"calluna vulgaris var. vulgaris",2882482
"calluna vulgaris salisb., 1802",2882482
"calluna vulgaris var. hirsuta mart.",2882482
"calluna vulgaris f. multibracteata j.t.jansen",2882482
"calluna vulgaris f. clistanthes j.t.jansen",2882482
"calluna vulgaris var. alba g.don",2882482
"calluna oviformis gand., 1875",2882482
"calluna atlantica seem.",2882482
"glechoma hederacea subsp. hederacea",2926557
"glechoma hederacea var. hederacea",2926557
"nepeta glechoma benth.",2926557
"calamintha hederacea (l.) scop.",2926557
"glecoma hederacea l.",2926557
"chamaecissos hederaceus (l.) nieuwl. & lunell",2926557
"glechoma hederacea var. micrantha moricand",2926557
"nepeta hederacea (l.) trevis.",2926557
"glechoma heterophylla opiz",2926557
"corylus sylvestris salisb.",2875979
"corylus avellana f. atropurpurea kirchn.",2875979
"corylus avellana var. maxima audib.",2875979
"corylus avellana var. contorta bean",2875979
"corylus avellana f. heterophylla (loudon) rehder",2875979
"corylus avellana var. avellana",2875979
"corylus avellana var. heterophylla loudon",2875979
"corylus avellana f. laciniata petz. & g.kirchn.",2875979
"corylus avellana var. oblonga g.andersson",2875979
"agrostis tenuis sibth.",2706490
"agrostis capillaris var. capillaris",2706490
"agrostis vulgaris with.",2706490
"agrostis capillaris subsp. capillaris",2706490
"agrostis capillaris f. capillaris",2706490
"agrostis tenuis subsp. capillaris",2706490
"agrostis capillaris var. aristata (parn.) druce",2706490
"agrostis polymorpha huds.",2706490
"agrostis alba muhl., 1817",2706490
"crataegus monogyna var. monogyna",9220780
"crataegus oxyacantha l.",9220780
"crataegus monogyna subsp. nordica franco",9220780
"crataegus alemanniensis cinovskis",9220780
"crataegus alemanniensis var. subborealis (cinovskis) cinovskis",9220780
"crataegus leiomonogyna klokov",9220780
"crataegus aguilaris sennen",9220780
"crataegus praearmata klokov",9220780
"sorbus aucuparia subsp. aucuparia",3012167
"sorbus sibirica hedl.",3012167
"sorbus aucuparia subsp. glabrata (wimm. & grab.) hedl.",3012167
"sorbus gorodkovii pojark.",3012167
"sorbus aucuparia subsp. glabrata (wimm. & grab.) cajander",3012167
"sorbus pohuashanensis (hance) hedl.",3012167
"sorbus pohuashanensis (hance) rehder",3012167
"sorbus aucuparia subsp. sibirica (hedl.) kryl.",3012167
"sorbus amurensis koehne",3012167
"agrostis stolonifera var. stolonifera",2706435
"agrostis stolonifera subsp. stolonifera",2706435
"agrostis straminea hartm.",2706435
"agrostis stolonifera var. prorepens w.d.j.koch",2706435
"agrostis stolonifera subsp. straminea (hartm.) tzvelev",2706435
"agrostis stolonifera var. maritima (g.mey.) w.d.j.koch",2706435
"agrostis stolonifera var. palustris (huds.) farw.",2706435
"agrostis stolonifera f. stolonifera",2706435
"agrostis sibirica petrov",2706435
"poa trivialis subsp. trivialis",8300875
"sh1234228.09fu",8300875
"poa trivialis var. glabra döll",8300875
"poa sylvicola guss.",8300875
"poa trivialis subsp. sylvicola (guss.) h.lindb.",8300875
"poa trivialis var. effusa asch. & graebn.",8300875
"poa trivialis var. parviflora parn.",8300875
"poa trivialis var. stricta döll ex alef.",8300875
"poa trivialis var. colorata grecescu",8300875
"plantago major subsp. major",3189767
"plantago pauciflora gilib.",3189767
"plantago major var. major",3189767
"plantago major var. pilgeri domin",3189767
"plantago borysthenica (rogow.) wissjul.",3189767
"plantago major var. scopulorum fr. & broberg",3189767
"plantago major var. vulgaris hayne, 1817",3189767
"plantago major var. sinuata (lam.) decne.",3189767
"plantago major var. minima (dc.) lange, 1859",3189767
"arrhenatherum elatius subsp. elatius",2704505
"arrhenatherum elatius subsp. bulbosum (willd.) schübl. & g.martens",2704505
"arrhenatherum elatius f. elatius",2704505
"arrhenatherum elatius (l.) p.beauv.",2704505
"sh1234620.09fu",2704505
"arrhenatherum elatius subsp. bulbosum (willd.) hyl.",2704505
"arrhenatherum elatius var. bulbosum (willd.) spenn.",2704505
"avena elatior l.",2704505
"arrhenatherum asperum opiz",2704505
"heracleum sphondylium subsp. sphondylium",3034830
"heracleum sphondylium subsp. sibiricum (l.) simonk.",3034830
"heracleum sibiricum l.",3034830
"heracleum sphondylium sphondylium",3034830
"heracleum sphondylium subsp. elegans (crantz) schübl. & g.martens",3034830
"heracleum sphondylium subsp. glabrum (huth) holub",3034830
"heracleum sphondylium var. stenophyllum (gaudin) moritzi",3034830
"heracleum sphondylium var. angustifolium (jacq.) c.c.gmel.",3034830
"heracleum sphondylium subsp. montanum (schleich. ex gaudin) briq.",3034830
"hedera helix subsp. helix",8351737
"hedera helix f. helix",8351737
"sh1017397.09fu",8351737
"hedera chrysocarpa walsh",8351737
"hedera helix f. poetarum (nicotra) mc all. & a.rutherf.",8351737
"hedera helix subsp. poetarum nyman",8351737
"hedera communis gray",8351737
"hedera helix var. gracilis hibberd",8351737
"hedera poetarum bertol.",8351737
"anthoxanthum odoratum subsp. odoratum",2705975
"anthoxanthum odoratum var. vulgare alef.",2705975
"anthoxanthum odoratum var. verticillatum rohlena",2705975
"anthoxanthum odoratum var. villosum loisel.",2705975
"anthoxanthum odoratum subsp. alpinum á.löve, 1945",2705975
"anthoxanthum odoratum var. umbrosum asch.",2705975
"anthoxanthum pilosum döll",2705975
"anthoxanthum odoratum f. strictum asch. & graebn.",2705975
"anthoxanthum odoratum var. odoratum",2705975
"deschampsia cespitosa subsp. cespitosa",8059811
"deschampsia alpina (l.) roem. & schult.",8059811
"deschampsia caespitosa p.beauv.",8059811
"deschampsia bottnica (wahlenb.) trin.",8059811
"deschampsia cespitosa subsp. parviflora (thuill.) dumort.",8059811
"deschampsia brevifolia r.br.",8059811
"deschampsia sukatschewii (popl.) roshev.",8059811
"deschampsia cespitosa subsp. alpina (l.) hook.f.",8059811
"deschampsia borealis (trautv.) roshev.",8059811
"lolium perenne var. cristatum pers.",2706241
"lolium perenne var. compositum g.sinclair, 1825",2706241
"lolium perenne var. aristatum coss. & germ.",2706241
"lolium perenne var. ramosum schumach.",2706241
"lolium perenne var. tenue (l.) huds.",2706241
"lolium perenne var. longiglume grantzow",2706241
"lolium annuum gilib., 1792",2706241
"lolium perenne f. ramosum (schumach.) holmb.",2706241
"lolium perenne f. orgyiale (doell.) junge",2706241
"sambucus nigra var. laciniata l.",2888728
"sambucus nigra var. nigra",2888728
"sambucus nigra f. laciniata (west.) schwer",2888728
"sambucus nigra f. alba (weston) rehder",2888728
"sambucus laciniata (l.) mill.",2888728
"sambucus nigra var. viridis weston",2888728
"sambucus vulgaris neck.",2888728
"sambucus nigra f. laciniata (l.) zabel",2888728
"sambucus nigra f. nigra",2888728
"betula alnus var. glutinosa l.",2876213
"betula alnus subsp. glutinosa (l.) ehrh.",2876213
"alnus communis desf., 1804",2876213
"alnus glutinosa subsp. barbata (c.a.mey.) yalt.",2876213
"alnus glutinosa var. laciniata (willd.) regel",2876213
"alnus glutinosa subsp. glutinosa",2876213
"betula emarginata ehrh.",2876213
"alnus glutinosa f. laciniata (aiton) h.j.p.winkl.",2876213
"alnus glutinosa f. laciniata willd.",2876213
"sh1272204.09fu",3189870
"acer pseudoplatanus f. purpurascens (jacob-makoy) pax",3189870
"acer pseudoplatanus f. purpureum (loudon) rehder",3189870
"acer pseudoplatanus f. pseudoplatanus",3189870
"acer pseudoplatanus f. aureovariegatum (jacques) schwer.",3189870
