"PC1","PC1_abs (∝)","PC1_pct (%)","PC2","PC2_abs (∝)","PC2_pct (%)","PC3","PC3_abs (∝)","PC3_pct (%)","PC4","PC4_abs (∝)","PC4_pct (%)","PC5","PC5_abs (∝)","PC5_pct (%)","PC6","PC6_abs (∝)","PC6_pct (%)","PC7","PC7_abs (∝)","PC7_pct (%)","PC8","PC8_abs (∝)","PC8_pct (%)","PC9","PC9_abs (∝)","PC9_pct (%)","PC10","PC10_abs (∝)","PC10_pct (%)","PC11","PC11_abs (∝)","PC11_pct (%)","PC12","PC12_abs (∝)","PC12_pct (%)","PC13","PC13_abs (∝)","PC13_pct (%)","PC14","PC14_abs (∝)","PC14_pct (%)","PC15","PC15_abs (∝)","PC15_pct (%)","PC16","PC16_abs (∝)","PC16_pct (%)","PC17","PC17_abs (∝)","PC17_pct (%)","PC18","PC18_abs (∝)","PC18_pct (%)","PC19","PC19_abs (∝)","PC19_pct (%)"
"wc2.1_10m_bio_14",0.309937395323551,7.52997057268295,"wc2.1_10m_bio_5",0.436405709187972,12.6219340756782,"wc2.1_10m_bio_6",0.359256996173682,8.88569996236494,"wc2.1_10m_bio_3",0.774711840815666,27.629020901948,"wc2.1_10m_bio_15",0.619143708870825,18.9407169509128,"wc2.1_10m_bio_9",0.719872748058871,26.3220066041916,"wc2.1_10m_bio_2",0.552865571007205,15.8911390809429,"wc2.1_10m_bio_8",0.437263583396867,12.1854710977359,"wc2.1_10m_bio_8",0.676732704068947,23.3139633872984,"wc2.1_10m_bio_14",0.529326681765042,16.3655218755789,"wc2.1_10m_bio_13",0.600069051273199,20.5397572931033,"wc2.1_10m_bio_5",0.530683202710277,16.5253709897624,"wc2.1_10m_bio_12",0.438285330390322,11.9106345233947,"wc2.1_10m_bio_16",0.549554829156845,16.9828902576971,"wc2.1_10m_bio_17",0.685770673586558,26.3941154018377,"wc2.1_10m_bio_12",0.581932439942949,19.9738352390557,"wc2.1_10m_bio_10",0.614093702910133,22.9641308008348,"wc2.1_10m_bio_11",0.637372809876044,27.6128969498664,"wc2.1_10m_bio_7",0.714532352127644,41.9696821881141
"wc2.1_10m_bio_17",0.30860937168275,7.49770606028161,"wc2.1_10m_bio_10",0.426799166615139,12.3440890693077,"wc2.1_10m_bio_11",0.355826592907403,8.80085392039856,"wc2.1_10m_bio_15",0.474667396502125,16.9283528771454,"wc2.1_10m_bio_3",0.491899209804559,15.0480794164537,"wc2.1_10m_bio_15",0.376678172131259,13.7731638837966,"wc2.1_10m_bio_18",0.361632249012744,10.394476825074,"wc2.1_10m_bio_9",0.429918774985989,11.9807891758757,"wc2.1_10m_bio_2",0.402960026904305,13.8822835918901,"wc2.1_10m_bio_17",0.37797207571644,11.6859974881091,"wc2.1_10m_bio_14",0.399629549043392,13.6789156632684,"wc2.1_10m_bio_1",0.49953158937982,15.5553158521844,"wc2.1_10m_bio_6",0.404973638815713,11.0053717728758,"wc2.1_10m_bio_6",0.378730091009,11.7038941915253,"wc2.1_10m_bio_14",0.498442062444136,19.1841643628115,"wc2.1_10m_bio_16",0.500408529809045,17.175666521708,"wc2.1_10m_bio_11",0.432220257778773,16.1629446570873,"wc2.1_10m_bio_4",0.586153616819646,25.3939282743801,"wc2.1_10m_bio_6",0.520506012831975,30.5731040316254
"wc2.1_10m_bio_12",0.293727247711213,7.13614286314721,"wc2.1_10m_bio_2",0.36988800358453,10.6980772669434,"wc2.1_10m_bio_1",0.34211599806092,8.46174227216638,"wc2.1_10m_bio_14",0.179914174921964,6.41638895597885,"wc2.1_10m_bio_2",0.287844654522015,8.80568444614892,"wc2.1_10m_bio_18",0.323531862222447,11.8298794294533,"wc2.1_10m_bio_9",0.335281002813551,9.63705704661925,"wc2.1_10m_bio_2",0.422048295273992,11.761458075145,"wc2.1_10m_bio_19",0.324770917843318,11.1886085042626,"wc2.1_10m_bio_13",0.35966609264757,11.1200200365878,"wc2.1_10m_bio_19",0.399418807768772,13.671702202379,"wc2.1_10m_bio_4",0.406354569085489,12.653801690401,"wc2.1_10m_bio_19",0.344334607362178,9.35747417873896,"wc2.1_10m_bio_1",0.351239260229383,10.8543451793922,"wc2.1_10m_bio_19",0.325132405400276,12.5137783803594,"wc2.1_10m_bio_17",0.408444876068718,14.019171468827,"wc2.1_10m_bio_1",0.401346399209467,15.008411850201,"wc2.1_10m_bio_10",0.440446357642824,19.0814538949356,"wc2.1_10m_bio_5",0.467458028456776,27.4572100650084
"wc2.1_10m_bio_19",0.293373655230714,7.12755228642733,"wc2.1_10m_bio_8",0.359027977269193,10.383978405892,"wc2.1_10m_bio_16",0.269733585174645,6.67146842834535,"wc2.1_10m_bio_17",0.160719792447079,5.73184798647434,"wc2.1_10m_bio_13",0.261562345506363,8.00166145641401,"wc2.1_10m_bio_19",0.311754804610327,11.3992536152659,"wc2.1_10m_bio_3",0.280718405411682,8.06875207448835,"wc2.1_10m_bio_18",0.367809352381991,10.2499508376847,"wc2.1_10m_bio_5",0.290458529807454,10.0065202830357,"wc2.1_10m_bio_16",0.337754369320809,10.4425616733706,"wc2.1_10m_bio_18",0.354328742081186,12.1283148145641,"wc2.1_10m_bio_7",0.306315798430415,9.5386139663656,"wc2.1_10m_bio_1",0.327867084400162,8.90996057537124,"wc2.1_10m_bio_19",0.302531559965642,9.34913135104127,"wc2.1_10m_bio_12",0.251644394497775,9.68535320103842,"wc2.1_10m_bio_6",0.258732704001704,8.8805573395978,"wc2.1_10m_bio_5",0.354979483636747,13.2745137349829,"wc2.1_10m_bio_12",0.15579123697903,6.74934246603773,"wc2.1_10m_bio_11",1.49876948305721e-08,8.80336330326415e-07
"wc2.1_10m_bio_9",0.265716183487977,6.45561030240113,"wc2.1_10m_bio_1",0.306401930202889,8.86190277133987,"wc2.1_10m_bio_13",0.267714919275345,6.62153965953505,"wc2.1_10m_bio_10",0.131268566387311,4.68151094820652,"wc2.1_10m_bio_16",0.22654139987575,6.93030789335754,"wc2.1_10m_bio_8",0.228863092236631,8.36833432235396,"wc2.1_10m_bio_19",0.264950472264101,7.61553083625724,"wc2.1_10m_bio_1",0.238173313111507,6.63731015655641,"wc2.1_10m_bio_18",0.270929272852673,9.33372232471728,"wc2.1_10m_bio_15",0.336749236049418,10.4114853435586,"wc2.1_10m_bio_12",0.331881457349748,11.3599669397743,"wc2.1_10m_bio_10",0.241444043820112,7.51852023395223,"wc2.1_10m_bio_4",0.302101650266227,8.20977134240605,"wc2.1_10m_bio_13",0.298992226261949,9.23975533851964,"wc2.1_10m_bio_16",0.209458451402364,8.06168993679838,"wc2.1_10m_bio_11",0.234669026249818,8.05461277684232,"wc2.1_10m_bio_6",0.292093474558306,10.9228815147269,"wc2.1_10m_bio_6",0.109720690148931,4.75342854826184,"wc2.1_10m_bio_4",1.01927872893557e-08,5.98696534693627e-07
"wc2.1_10m_bio_4",0.262741442481365,6.38333857082207,"wc2.1_10m_bio_7",0.264075697098086,7.63772326893445,"wc2.1_10m_bio_9",0.249386268179043,6.16820709791146,"wc2.1_10m_bio_5",0.128349996076164,4.57742419506542,"wc2.1_10m_bio_18",0.188297312588681,5.76035264391884,"wc2.1_10m_bio_4",0.199920190588056,7.31004276958644,"wc2.1_10m_bio_4",0.247571031865488,7.11598968374855,"wc2.1_10m_bio_11",0.232246919179083,6.47215599161008,"wc2.1_10m_bio_10",0.235800109692664,8.12349557076471,"wc2.1_10m_bio_18",0.329397318247428,10.1841815333393,"wc2.1_10m_bio_1",0.186675978222851,6.38973011025082,"wc2.1_10m_bio_11",0.208231782262702,6.48429691419727,"wc2.1_10m_bio_13",0.252619579329648,6.86507002223771,"wc2.1_10m_bio_18",0.247666880511476,7.65364842420869,"wc2.1_10m_bio_13",0.196183603528768,7.55076422910507,"wc2.1_10m_bio_13",0.223781748976659,7.68092561398658,"wc2.1_10m_bio_12",0.198440243002319,7.42070416104164,"wc2.1_10m_bio_7",0.0758031075756042,3.28401740007056,"wc2.1_10m_bio_13",8.24916705361218e-09,4.8453358133589e-07
"wc2.1_10m_bio_16",0.252636732608844,6.13784328973102,"wc2.1_10m_bio_18",0.251688591659391,7.27945749709887,"wc2.1_10m_bio_18",0.245396008300224,6.06951381585243,"wc2.1_10m_bio_4",0.114970595651626,4.10026647717653,"wc2.1_10m_bio_6",0.173134543051812,5.29649631803684,"wc2.1_10m_bio_11",0.122549248275169,4.48098935698831,"wc2.1_10m_bio_14",0.237613135310652,6.82976763013385,"wc2.1_10m_bio_19",0.197981043822402,5.51724950121869,"wc2.1_10m_bio_7",0.166185025520568,5.72520225076789,"wc2.1_10m_bio_19",0.180155233882088,5.56997129119984,"wc2.1_10m_bio_5",0.10427420288579,3.56920060226674,"wc2.1_10m_bio_19",0.163496783659636,5.09125781974947,"wc2.1_10m_bio_14",0.243249550036712,6.61043454474573,"wc2.1_10m_bio_7",0.244074953889627,7.54264713298874,"wc2.1_10m_bio_18",0.117490832220817,4.52201691284889,"wc2.1_10m_bio_14",0.15158988223861,5.20306331786331,"wc2.1_10m_bio_16",0.106639984437707,3.98781902439549,"wc2.1_10m_bio_16",0.0745593246253727,3.23013300164537,"wc2.1_10m_bio_16",6.6593799575506e-09,3.91153821875328e-07
"wc2.1_10m_bio_13",0.25141881737119,6.10825387574636,"wc2.1_10m_bio_4",0.193875475950945,5.60735898917755,"wc2.1_10m_bio_8",0.231908893561202,5.73592962346275,"wc2.1_10m_bio_2",0.11496734184752,4.10015043477611,"wc2.1_10m_bio_7",0.153889169529363,4.70774581103726,"wc2.1_10m_bio_10",0.113038006657211,4.13321266262527,"wc2.1_10m_bio_8",0.217619707685025,6.25509205660379,"wc2.1_10m_bio_4",0.1870934531157,5.21383886535039,"wc2.1_10m_bio_4",0.090902815987233,3.13167209296384,"wc2.1_10m_bio_12",0.144514433375973,4.46804251934759,"wc2.1_10m_bio_4",0.0977940426546093,3.34739126534717,"wc2.1_10m_bio_13",0.130956441678097,4.07795794398114,"wc2.1_10m_bio_7",0.228919584630116,6.22101019294538,"wc2.1_10m_bio_4",0.23248377843868,7.18444509345219,"wc2.1_10m_bio_11",0.0976149062213721,3.75702723808771,"wc2.1_10m_bio_7",0.150571258749983,5.16810080961328,"wc2.1_10m_bio_4",0.0961773617851462,3.59656760140483,"wc2.1_10m_bio_19",0.0604722471792143,2.6198386624168,"wc2.1_10m_bio_12",5.00623404025299e-09,2.94052538003489e-07
"wc2.1_10m_bio_6",0.247148996415506,6.00451800317324,"wc2.1_10m_bio_16",0.172117408238888,4.97806177675855,"wc2.1_10m_bio_12",0.214860701010735,5.31426734404305,"wc2.1_10m_bio_7",0.112446201011918,4.010237451427,"wc2.1_10m_bio_9",0.134921140617215,4.12747977329146,"wc2.1_10m_bio_3",0.0732786382400871,2.67941911247903,"wc2.1_10m_bio_17",0.215561416968511,6.19593014499198,"wc2.1_10m_bio_15",0.17441836970278,4.86061516126402,"wc2.1_10m_bio_17",0.0890716484249651,3.06858695869143,"wc2.1_10m_bio_1",0.136678463295487,4.22577296410629,"wc2.1_10m_bio_7",0.0943450779021868,3.22933668683338,"wc2.1_10m_bio_12",0.127080797491087,3.9572711431034,"wc2.1_10m_bio_16",0.196281212905182,5.33404526371039,"wc2.1_10m_bio_12",0.182070402485239,5.6265207774183,"wc2.1_10m_bio_9",0.0426861312896948,1.64291463416741,"wc2.1_10m_bio_4",0.0788129707008228,2.70512036007666,"wc2.1_10m_bio_19",0.0292441216232823,1.09358853694491,"wc2.1_10m_bio_1",0.0563225237779955,2.44006022996282,"wc2.1_10m_bio_18",4.35618097817362e-09,2.55870193509719e-07
"wc2.1_10m_bio_11",0.245327518504906,5.96026495312973,"wc2.1_10m_bio_13",0.168026197760287,4.85973383589198,"wc2.1_10m_bio_19",0.213377690751976,5.27758723943606,"wc2.1_10m_bio_13",0.102169697570411,3.64374024120572,"wc2.1_10m_bio_8",0.134151637771629,4.10393930056704,"wc2.1_10m_bio_7",0.0723317838754979,2.64479756734466,"wc2.1_10m_bio_10",0.196464651553965,5.64702753446075,"wc2.1_10m_bio_5",0.143780892587166,4.00682329275385,"wc2.1_10m_bio_3",0.0704854921613457,2.42827954627401,"wc2.1_10m_bio_2",0.128287190057664,3.96633475615569,"wc2.1_10m_bio_11",0.091987917175823,3.14865345693239,"wc2.1_10m_bio_8",0.123870102176065,3.8572907198587,"wc2.1_10m_bio_18",0.192285855181052,5.22546931479612,"wc2.1_10m_bio_2",0.173405604535183,5.35875256779907,"wc2.1_10m_bio_6",0.0413014269108633,1.58961978126685,"wc2.1_10m_bio_1",0.0762044395943635,2.61558699338296,"wc2.1_10m_bio_14",0.0260441111544198,0.973923641143573,"wc2.1_10m_bio_17",0.0268546961201221,1.16342577702541,"wc2.1_10m_bio_19",3.39386973943596e-09,1.99346655092448e-07
