"gbif_species","gbif_species.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"sh1006202.09fu","sh1006202.09fu",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,TRUE,NA,1,1,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",FALSE,"","","","no match found"
"dryas punctata juz.","dryas punctata juz.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,2,1,"wfo-0000996365","urn:lsid:ipni.org:names:724675-1","26","Dryas octopetala","species","wfo-4000012622","L.","Rosaceae","","",NA,"Dryas","","octopetala","","species","Valid","Sp. Pl. : 501 (1753)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Species plantarum, edition 1 ; 1753 501 1753  to Sp. Pl. : 501 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","http://www.theplantlist.org/tpl1.1/record/rjp-26","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-26","",TRUE,"Synonym","wfo-0001012756","Dryas punctata",""
"dryas incisa juz.","dryas incisa juz.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,6,3,1,"wfo-0000987741","urn:lsid:ipni.org:names:724666-1","15604","Dryas incisa","species","wfo-4000012622","Juz.","Rosaceae","","",NA,"Dryas","","incisa","","species","Valid","Izv. Glavn. Bot. Sada S.S.S.R. 28: 323 (1929)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Izv. Glavn. Bot. Sada S.S.S.R. 28: 312, 323, in obs. 1929  to Izv. Glavn. Bot. Sada S.S.S.R. 28: 323 (1929), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href","http://www.theplantlist.org/tpl1.1/record/rjp-15604","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-15604","",FALSE,"","","","Accepted"
"dryas ajanensis subsp. beringensis jurtzev","dryas ajanensis subsp. beringensis jurtzev",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,28,4,1,"wfo-0000983740","urn:lsid:ipni.org:names:724645-1","10555","Dryas ajanensis","species","wfo-4000012622","Juz.","Rosaceae","","",NA,"Dryas","","ajanensis","","species","Valid","Izv. Glavn. Bot. Sada S.S.S.R. 28: 318 (1929)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Izv. Glavn. Bot. Sada S.S.S.R. 28: 318. 1929  to Izv. Glavn. Bot. Sada S.S.S.R. 28: 318 (1929), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.t","http://www.theplantlist.org/tpl1.1/record/rjp-10555","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-10555","",FALSE,"","","",""
"dryas octopetala l.","dryas octopetala l.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,9,5,1,"wfo-0000996365","urn:lsid:ipni.org:names:724675-1","26","Dryas octopetala","species","wfo-4000012622","L.","Rosaceae","","",NA,"Dryas","","octopetala","","species","Valid","Sp. Pl. : 501 (1753)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Species plantarum, edition 1 ; 1753 501 1753  to Sp. Pl. : 501 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","http://www.theplantlist.org/tpl1.1/record/rjp-26","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-26","",TRUE,"Synonym","wfo-0000991566","Dryas octopetala f. lanata",""
"dryas octopetala subsp. punctata","dryas octopetala subsp. punctata (juz.) hultén",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,6,1,"wfo-0000996365","urn:lsid:ipni.org:names:724675-1","26","Dryas octopetala","species","wfo-4000012622","L.","Rosaceae","","",NA,"Dryas","","octopetala","","species","Valid","Sp. Pl. : 501 (1753)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Species plantarum, edition 1 ; 1753 501 1753  to Sp. Pl. : 501 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","http://www.theplantlist.org/tpl1.1/record/rjp-26","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-26","",TRUE,"Synonym","wfo-0001012719","Dryas octopetala subsp. punctata",""
"dryas alaskensis a.e.porsild","dryas alaskensis a.e.porsild",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,13,7,1,"wfo-0001012693","urn:lsid:ipni.org:names:84250-2","5509","Dryas octopetala  subsp. alaskensis","subspecies","wfo-0000996365","(A.E.Porsild) Hultén","Rosaceae","","",NA,"Dryas","","octopetala","alaskensis","subspecies","Valid","Svensk Bot. Tidskr. 53: 532 (1959)","Accepted","","wfo-0001012738",NA,"Source in seed data: rjp Updated scientificnameAuthorship from (Porsild) Hultén to (A.E.Porsild) Hultén, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/rjp-5509 >Th","http://www.theplantlist.org/tpl1.1/record/rjp-5509","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-5509","",TRUE,"Synonym","wfo-0001012738","Dryas alaskensis",""
"dryas punctata subsp. alaskensis","dryas punctata subsp. alaskensis (a.e.porsild) jurtzev",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,8,1,"wfo-0001368857","urn:lsid:ipni.org:names:919496-1","919496-1","Dryas punctata subsp. alaskensis","subspecies","","(Porsild.) Jurtzev","Rosaceae","","",NA,"Dryas","","punctata","alaskensis","subspecies","","Byull. Moskovsk. Obshch. Isp. Prir., Otd. Biol. 85(6): 101 (1980):.","Unchecked","","",NA,"Source in seed data: ipni Updated majorGroup from  to A, information provided by Alan E. on email Mar 08 2021","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"dryas ajanensis juz.","dryas ajanensis juz.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,9,1,"wfo-0000983740","urn:lsid:ipni.org:names:724645-1","10555","Dryas ajanensis","species","wfo-4000012622","Juz.","Rosaceae","","",NA,"Dryas","","ajanensis","","species","Valid","Izv. Glavn. Bot. Sada S.S.S.R. 28: 318 (1929)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Izv. Glavn. Bot. Sada S.S.S.R. 28: 318. 1929  to Izv. Glavn. Bot. Sada S.S.S.R. 28: 318 (1929), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.t","http://www.theplantlist.org/tpl1.1/record/rjp-10555","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-10555","",FALSE,"","","",""
"dryas incisa var. cana jurtzev","dryas incisa var. cana jurtzev",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,19,10,1,"wfo-0000987741","urn:lsid:ipni.org:names:724666-1","15604","Dryas incisa","species","wfo-4000012622","Juz.","Rosaceae","","",NA,"Dryas","","incisa","","species","Valid","Izv. Glavn. Bot. Sada S.S.S.R. 28: 323 (1929)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Izv. Glavn. Bot. Sada S.S.S.R. 28: 312, 323, in obs. 1929  to Izv. Glavn. Bot. Sada S.S.S.R. 28: 323 (1929), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href","http://www.theplantlist.org/tpl1.1/record/rjp-15604","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-15604","",FALSE,"","","","Accepted"
"dryas octopetala subsp. incisa malyschev","dryas octopetala subsp. incisa malyschev",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,25,11,1,"wfo-0000996365","urn:lsid:ipni.org:names:724675-1","26","Dryas octopetala","species","wfo-4000012622","L.","Rosaceae","","",NA,"Dryas","","octopetala","","species","Valid","Sp. Pl. : 501 (1753)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Species plantarum, edition 1 ; 1753 501 1753  to Sp. Pl. : 501 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","http://www.theplantlist.org/tpl1.1/record/rjp-26","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-26","",FALSE,"","","","Accepted"
"saxifraga nelsoniana d.don","saxifraga nelsoniana d.don",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,12,1,"wfo-0001242898","urn:lsid:ipni.org:names:160053-2","50121061","Micranthes nelsoniana","species","wfo-4000024032","(D.Don) Small","Saxifragaceae","","",NA,"Micranthes","","nelsoniana","","species","Valid","N. Amer. Fl. 22: 147 (1905)","Accepted","","wfo-0000493602",NA,"Source in seed data: tro Update namepublishedIn from N. Amer. Fl. 22(2): 147. 1905 [18 Dec 1905]  to N. Amer. Fl. 22: 147 (1905), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:160053-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-50121061","",TRUE,"Synonym","wfo-0000493602","Saxifraga nelsoniana",""
"saxifraga porsildiana","saxifraga porsildiana (calder & savile) jurtzev & petrovsky",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,TRUE,13,13,1,"wfo-4000034203","urn:lsid:ipni.org:names:30002955-2","40030609","Saxifraga","genus","wfo-7000000550","L.","Saxifragaceae","","",NA,"Saxifraga","","","","genus","Valid","Sp. Pl. : 398 (1753)","Accepted","","",NA,"Source in seed data: TPL1.1 Updated scientificnameAuthorship from Tourn. ex L. to L., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/1.1/browse/A/Saxifragaceae/Saxifraga/ >The Plan","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"saxifraga aestivalis fisch. & c.a.mey.","saxifraga aestivalis fisch. & c.a.mey.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,19,14,1,"wfo-0001361576","urn:lsid:ipni.org:names:77099619-1","77099619-1","Micranthes nelsoniana  subsp. aestivalis","subspecies","wfo-0001242898","(Fisch. & C.A.Mey.) Elven & D.F.Murray","Saxifragaceae","","",NA,"Micranthes","","nelsoniana","aestivalis","subspecies","Valid","J. Bot. Res. Inst. Texas 2: 440 (2008)","Accepted","","",NA,"Source in seed data: ipni Update namepublishedIn from J. Bot. Res. Inst. Texas 2(1): 440. 2008 [24 Jul 2008]  to J. Bot. Res. Inst. Texas 2: 440 (2008), information provided by Alan E. on email Jun. 07 2021","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77099619-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",TRUE,"Synonym","wfo-0000493882","Saxifraga aestivalis",""
"micranthes nelsoniana subsp. nelsoniana","micranthes nelsoniana subsp. nelsoniana",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,19,15,1,"wfo-0001242898","urn:lsid:ipni.org:names:160053-2","50121061","Micranthes nelsoniana","species","wfo-4000024032","(D.Don) Small","Saxifragaceae","","",NA,"Micranthes","","nelsoniana","","species","Valid","N. Amer. Fl. 22: 147 (1905)","Accepted","","wfo-0000493602",NA,"Source in seed data: tro Update namepublishedIn from N. Amer. Fl. 22(2): 147. 1905 [18 Dec 1905]  to N. Amer. Fl. 22: 147 (1905), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:160053-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-50121061","",FALSE,"","","",""
"micranthes nelsoniana","micranthes nelsoniana (d.don) small",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,16,1,"wfo-0001242898","urn:lsid:ipni.org:names:160053-2","50121061","Micranthes nelsoniana","species","wfo-4000024032","(D.Don) Small","Saxifragaceae","","",NA,"Micranthes","","nelsoniana","","species","Valid","N. Amer. Fl. 22: 147 (1905)","Accepted","","wfo-0000493602",NA,"Source in seed data: tro Update namepublishedIn from N. Amer. Fl. 22(2): 147. 1905 [18 Dec 1905]  to N. Amer. Fl. 22: 147 (1905), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:160053-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-50121061","",FALSE,"","","",""
"micranthes nelsoniana subsp. insularis","micranthes nelsoniana subsp. insularis (hultén) elven & d.f.murray",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,17,1,"wfo-0001280027","urn:lsid:ipni.org:names:60450206-2","50307483","Micranthes nelsoniana  var. insularis","variety","wfo-0001242898","(Hultén) Gornall & H.Ohba","Saxifragaceae","","",NA,"Micranthes","","nelsoniana","insularis","variety","Valid","J. Bot. Res. Inst. Texas 1: 1020 (2007)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from J. Bot. Res. Inst. Texas 1(2): 1020. 2007 [12 Dec 2007]  to J. Bot. Res. Inst. Texas 1: 1020 (2007), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60450206-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-50307483","",TRUE,"Synonym","wfo-0001285192","Micranthes nelsoniana subsp. insularis",""
"micranthes nelsoniana var. insularis","micranthes nelsoniana var. insularis (hultén) gornall & h.ohba",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,2,18,1,"wfo-0001280027","urn:lsid:ipni.org:names:60450206-2","50307483","Micranthes nelsoniana  var. insularis","variety","wfo-0001242898","(Hultén) Gornall & H.Ohba","Saxifragaceae","","",NA,"Micranthes","","nelsoniana","insularis","variety","Valid","J. Bot. Res. Inst. Texas 1: 1020 (2007)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from J. Bot. Res. Inst. Texas 1(2): 1020. 2007 [12 Dec 2007]  to J. Bot. Res. Inst. Texas 1: 1020 (2007), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60450206-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-50307483","",FALSE,"","","",""
"micranthes nelsoniana var. porsildiana","micranthes nelsoniana var. porsildiana (calder & savile) gornall & h.ohba",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,2,19,1,"wfo-0001284748","urn:lsid:ipni.org:names:77099565-1","50324982","Micranthes nelsoniana  var. porsildiana","variety","wfo-0001242898","(Calder & Savile) Gornall & H.Ohba","Saxifragaceae","","",NA,"Micranthes","","nelsoniana","porsildiana","variety","Valid","J. Bot. Res. Inst. Texas 2: 395 (2008)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from J. Bot. Res. Inst. Texas 2(1): 395. 2008 [24 Jul 2008]  to J. Bot. Res. Inst. Texas 2: 395 (2008), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://ww","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77099565-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-50324982","",FALSE,"","","",""
"saxifraga nelsoniana subsp. insularis","saxifraga nelsoniana subsp. insularis (hultén) hultén",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,20,1,"wfo-0001280027","urn:lsid:ipni.org:names:60450206-2","50307483","Micranthes nelsoniana  var. insularis","variety","wfo-0001242898","(Hultén) Gornall & H.Ohba","Saxifragaceae","","",NA,"Micranthes","","nelsoniana","insularis","variety","Valid","J. Bot. Res. Inst. Texas 1: 1020 (2007)","Accepted","","",NA,"Source in seed data: tro Update namepublishedIn from J. Bot. Res. Inst. Texas 1(2): 1020. 2007 [12 Dec 2007]  to J. Bot. Res. Inst. Texas 1: 1020 (2007), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60450206-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-50307483","",TRUE,"Synonym","wfo-0001135993","Saxifraga nelsoniana subsp. insularis",""
"saxifraga nelsoniana subsp. nelsoniana","saxifraga nelsoniana subsp. nelsoniana",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,21,1,"wfo-0001242898","urn:lsid:ipni.org:names:160053-2","50121061","Micranthes nelsoniana","species","wfo-4000024032","(D.Don) Small","Saxifragaceae","","",NA,"Micranthes","","nelsoniana","","species","Valid","N. Amer. Fl. 22: 147 (1905)","Accepted","","wfo-0000493602",NA,"Source in seed data: tro Update namepublishedIn from N. Amer. Fl. 22(2): 147. 1905 [18 Dec 1905]  to N. Amer. Fl. 22: 147 (1905), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:160053-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","tro-50121061","",TRUE,"Synonym","wfo-0001235134","Saxifraga nelsoniana subsp. nelsoniana",""
"salix arctica pall.","salix arctica pall.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,22,1,"wfo-0000929004","urn:lsid:ipni.org:names:777076-1","1033174","Salix arctica","species","wfo-4000033844","Pall.","Salicaceae","","",NA,"Salix","","arctica","","species","Valid","Fl. Ross. 1(2): 86 (1788)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Fl. Ross. 1(2): 86 1788  to Fl. Ross. 1(2): 86 (1788), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-5001380","http://www.theplantlist.org/tpl1.1/record/kew-5001380","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-5001380","",FALSE,"","","",""
"salix arctica subsp. crassijulis","salix arctica subsp. crassijulis (trautv.) a.k.skvortsov",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,2,23,1,"wfo-0000930573","urn:lsid:ipni.org:names:225603-2","1035457","Salix arctica  subsp. crassijulis","subspecies","wfo-0000929004","(Trautv.) A.K.Skvortsov","Salicaceae","","",NA,"Salix","","arctica","crassijulis","subspecies","Valid","Sched. Herb. Fl. Ross. 16: 61 (1966)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sched. Herb. Fl. Ross. 16: 61. 1966 [& in Willows USSR: 133 (1968)] to Sched. Herb. Fl. Ross. 16: 61 (1966), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225603-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-5003824","",FALSE,"","","","smallest ID"
"salix arctica subsp. arctica","salix arctica subsp. arctica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,24,1,"wfo-0000929004","urn:lsid:ipni.org:names:777076-1","1033174","Salix arctica","species","wfo-4000033844","Pall.","Salicaceae","","",NA,"Salix","","arctica","","species","Valid","Fl. Ross. 1(2): 86 (1788)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Fl. Ross. 1(2): 86 1788  to Fl. Ross. 1(2): 86 (1788), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-5001380","http://www.theplantlist.org/tpl1.1/record/kew-5001380","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-5001380","",TRUE,"Synonym","wfo-0001133538","Salix arctica subsp. arctica",""
"salix arctica subsp. jamu-taridensis a.k.skvortsov ex v.v.petrovsky","salix arctica subsp. jamu-taridensis a.k.skvortsov ex v.v.petrovsky",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,55,25,1,"wfo-0000929004","urn:lsid:ipni.org:names:777076-1","1033174","Salix arctica","species","wfo-4000033844","Pall.","Salicaceae","","",NA,"Salix","","arctica","","species","Valid","Fl. Ross. 1(2): 86 (1788)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Fl. Ross. 1(2): 86 1788  to Fl. Ross. 1(2): 86 (1788), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-5001380","http://www.theplantlist.org/tpl1.1/record/kew-5001380","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-5001380","",FALSE,"","","",""
"salix crassijulis trautv.","salix crassijulis trautv.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,9,26,1,"wfo-0000930573","urn:lsid:ipni.org:names:225603-2","1035457","Salix arctica  subsp. crassijulis","subspecies","wfo-0000929004","(Trautv.) A.K.Skvortsov","Salicaceae","","",NA,"Salix","","arctica","crassijulis","subspecies","Valid","Sched. Herb. Fl. Ross. 16: 61 (1966)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sched. Herb. Fl. Ross. 16: 61. 1966 [& in Willows USSR: 133 (1968)] to Sched. Herb. Fl. Ross. 16: 61 (1966), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225603-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-5003824","",TRUE,"Synonym","wfo-0000929196","Salix crassijulis",""
"deschampsia borealis","deschampsia borealis (trautv.) roshev.",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,27,1,"wfo-0001096088","urn:lsid:ipni.org:names:77168749-1","25510913","Deschampsia cespitosa  subsp. cespitosa","subspecies","wfo-0000862467","","Poaceae","","",NA,"Deschampsia","","cespitosa","cespitosa","subspecies","Valid","","Accepted","","",NA,"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-25510913 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-25510913 >The Plant List v.1.0</a>","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168749-1","The Poaceae TEN","A","tro-25510913","",TRUE,"Synonym","wfo-0000862454","Deschampsia borealis",""
"deschampsia sukatschewii","deschampsia sukatschewii (popl.) roshev.",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,28,1,"wfo-0001096088","urn:lsid:ipni.org:names:77168749-1","25510913","Deschampsia cespitosa  subsp. cespitosa","subspecies","wfo-0000862467","","Poaceae","","",NA,"Deschampsia","","cespitosa","cespitosa","subspecies","Valid","","Accepted","","",NA,"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-25510913 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-25510913 >The Plant List v.1.0</a>","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168749-1","The Poaceae TEN","A","tro-25510913","",TRUE,"Synonym","wfo-0000862723","Deschampsia sukatschewii",""
"deschampsia beringensis hultén","deschampsia beringensis hultén",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,8,29,1,"wfo-0001096088","urn:lsid:ipni.org:names:77168749-1","25510913","Deschampsia cespitosa  subsp. cespitosa","subspecies","wfo-0000862467","","Poaceae","","",NA,"Deschampsia","","cespitosa","cespitosa","subspecies","Valid","","Accepted","","",NA,"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-25510913 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-25510913 >The Plant List v.1.0</a>","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168749-1","The Poaceae TEN","A","tro-25510913","",TRUE,"Synonym","wfo-0000862447","Deschampsia beringensis",""
"deschampsia glauca hartm.","deschampsia glauca hartm.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,8,30,2,"wfo-0000862698","urn:lsid:ipni.org:names:78117-2","407799","Deschampsia patula","species","wfo-4000011182","(Phil.) Pilg. ex Skottsb.","Poaceae","","",NA,"Deschampsia","","patula","","species","Valid","Kongl. Svenska Vetensk. Acad. Handl. , n.s., 56(5): 175 (1916)","Accepted","","wfo-0000880503",NA,"Source in seed data: wcs Updated scientificnameAuthorship from (Phil.) Skottsb. to (Phil.) Pilg. ex Skottsb., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-40779","http://www.theplantlist.org/tpl1.1/record/kew-407799","The Poaceae TEN","A","kew-407799","",TRUE,"Synonym","wfo-0000862608","Deschampsia glauca","smallest ID"
"deschampsia cespitosa subsp. beringensis","deschampsia cespitosa subsp. beringensis (hultén) w.e.lawr.",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,31,1,"wfo-0001096088","urn:lsid:ipni.org:names:77168749-1","25510913","Deschampsia cespitosa  subsp. cespitosa","subspecies","wfo-0000862467","","Poaceae","","",NA,"Deschampsia","","cespitosa","cespitosa","subspecies","Valid","","Accepted","","",NA,"Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-25510913 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-25510913 >The Plant List v.1.0</a>","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77168749-1","The Poaceae TEN","A","tro-25510913","",TRUE,"Synonym","wfo-0000862480","Deschampsia cespitosa subsp. beringensis",""
"deschampsia cespitosa","deschampsia cespitosa (l.) p.beauv.",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,32,1,"wfo-0000862467","urn:lsid:ipni.org:names:397953-1","407579","Deschampsia cespitosa","species","wfo-4000011182","(L.) P.Beauv.","Poaceae","","",NA,"Deschampsia","","cespitosa","","species","Valid","Ess. Agrostogr. : 91 (1812)","Accepted","","wfo-0000844941",NA,"Source in seed data: wcs Update namepublishedIn from Ess. Agrostogr. 91 1812  to Ess. Agrostogr. : 91 (1812), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-40757","http://www.theplantlist.org/tpl1.1/record/kew-407579","The Poaceae TEN","A","kew-407579","",FALSE,"","","",""
