"gbif_species","gbif_species.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"sanguisorba stipulata raf.","sanguisorba stipulata raf.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,10,1653,1,"wfo-0001015022","urn:lsid:ipni.org:names:30108956-2","6174","Sanguisorba stipulata","species","wfo-4000033941","Raf.","Rosaceae","","",NA,"Sanguisorba","","stipulata","","species","Valid","Herb. Raf. : 47 (1833)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Herb. Raf. 47. 1833  to Herb. Raf. : 47 (1833), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/rjp-6174 >The Plan","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30108956-2","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-6174","",TRUE,"Synonym","wfo-0001377534","Sanguisorba stipulata var. pilosa",""
"aconitum maximum pall. ex dc.","aconitum maximum pall. ex dc.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,14,1654,1,"wfo-0000517629","urn:lsid:ipni.org:names:707574-1","751432","Aconitum maximum","species","wfo-4000000341","Pall. ex DC.","Ranunculaceae","","",NA,"Aconitum","","maximum","","species","Valid","Syst. Nat. 1: 380 (1817)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Syst. Nat. 1: 380 1817  to Syst. Nat. 1: 380 (1817), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2619058 >","http://www.theplantlist.org/tpl1.1/record/kew-2619058","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2619058","",FALSE,"","","",""
"aconitum maximum pall.","aconitum maximum pall.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,1655,1,"wfo-0000517629","urn:lsid:ipni.org:names:707574-1","751432","Aconitum maximum","species","wfo-4000000341","Pall. ex DC.","Ranunculaceae","","",NA,"Aconitum","","maximum","","species","Valid","Syst. Nat. 1: 380 (1817)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Syst. Nat. 1: 380 1817  to Syst. Nat. 1: 380 (1817), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2619058 >","http://www.theplantlist.org/tpl1.1/record/kew-2619058","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2619058","",FALSE,"","","",""
"draba micropetala hook.","draba micropetala hook.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,7,1656,1,"wfo-0000655734","urn:lsid:ipni.org:names:282822-1","905056","Draba micropetala","species","wfo-4000012494","Hook.","Brassicaceae","","",NA,"Draba","","micropetala","","species","Valid","J. Voy. N.-W. Passage, Bot. : 385 (1825)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from J. Voy. N.-W. Passage, Bot. 385 1825  to J. Voy. N.-W. Passage, Bot. : 385 (1825), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.o","http://www.theplantlist.org/tpl1.1/record/kew-2776991","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2776991","",FALSE,"","","",""
"draba oblongata subsp. minuta v.v.petrovsky","draba oblongata subsp. minuta v.v.petrovsky",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,29,1657,1,"wfo-0000655845","","905158","Draba oblongata","species","wfo-4000012494","R.Br. ex DC","Brassicaceae","","",NA,"Draba","","oblongata","","species","Valid","Syst. Nat. 2: 342. 1819","Accepted","","",NA,"Source in seed data: cmp Updated taxonomicstatus from Accepted to accepted, acceptedNameId from to null, [references] from http://www.theplantlist.org/tpl1.1/record/kew-2777093,  according to WCVP, information provided by Alan E. on email Dec 02 2020 Mor","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:282882-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2777093","",FALSE,"","","","smallest ID"
"petasites sibiricus","petasites sibiricus (j.f.gmel.) dingwall",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,1658,1,"wfo-0000000183","urn:lsid:ipni.org:names:203188-1","GCC-790B9A5C-9FD7-40E2-964C-99FBDBCEAE60","Endocellion sibiricum","species","wfo-4000013392","(J.F.Gmel.) Toman","Asteraceae","","",NA,"Endocellion","","sibiricum","","species","Valid","Folia Geobot. Phytotax. 7(4): 394 (1972)","Accepted","","wfo-0000000266",NA,"Source in seed data: gcc Update namepublishedIn from Folia Geobot. Phytotax. 7(4): 394. 1972  to Folia Geobot. Phytotax. 7(4): 394 (1972), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlis","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:203188-1","The Asteraceaae TEN","A","gcc-100171","",TRUE,"Synonym","wfo-0000079378","Petasites sibiricus",""
"nardosmia gmelinii turcz.","nardosmia gmelinii turcz.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,8,1659,1,"wfo-0000000183","urn:lsid:ipni.org:names:203188-1","GCC-790B9A5C-9FD7-40E2-964C-99FBDBCEAE60","Endocellion sibiricum","species","wfo-4000013392","(J.F.Gmel.) Toman","Asteraceae","","",NA,"Endocellion","","sibiricum","","species","Valid","Folia Geobot. Phytotax. 7(4): 394 (1972)","Accepted","","wfo-0000000266",NA,"Source in seed data: gcc Update namepublishedIn from Folia Geobot. Phytotax. 7(4): 394. 1972  to Folia Geobot. Phytotax. 7(4): 394 (1972), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlis","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:203188-1","The Asteraceaae TEN","A","gcc-100171","",TRUE,"Synonym","wfo-0000064423","Nardosmia gmelinii",""
"endocellion sibiricum","endocellion sibiricum (j.f.gmel.) j.toman",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,1660,1,"wfo-0000000183","urn:lsid:ipni.org:names:203188-1","GCC-790B9A5C-9FD7-40E2-964C-99FBDBCEAE60","Endocellion sibiricum","species","wfo-4000013392","(J.F.Gmel.) Toman","Asteraceae","","",NA,"Endocellion","","sibiricum","","species","Valid","Folia Geobot. Phytotax. 7(4): 394 (1972)","Accepted","","wfo-0000000266",NA,"Source in seed data: gcc Update namepublishedIn from Folia Geobot. Phytotax. 7(4): 394. 1972  to Folia Geobot. Phytotax. 7(4): 394 (1972), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlis","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:203188-1","The Asteraceaae TEN","A","gcc-100171","",FALSE,"","","",""
"nardosmia gmelinii turcz. ex dc.","nardosmia gmelinii turcz. ex dc.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,15,1661,1,"wfo-0000000183","urn:lsid:ipni.org:names:203188-1","GCC-790B9A5C-9FD7-40E2-964C-99FBDBCEAE60","Endocellion sibiricum","species","wfo-4000013392","(J.F.Gmel.) Toman","Asteraceae","","",NA,"Endocellion","","sibiricum","","species","Valid","Folia Geobot. Phytotax. 7(4): 394 (1972)","Accepted","","wfo-0000000266",NA,"Source in seed data: gcc Update namepublishedIn from Folia Geobot. Phytotax. 7(4): 394. 1972  to Folia Geobot. Phytotax. 7(4): 394 (1972), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlis","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:203188-1","The Asteraceaae TEN","A","gcc-100171","",TRUE,"Synonym","wfo-0000064423","Nardosmia gmelinii",""
"erigeron hyperboreus greene","erigeron hyperboreus greene",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,8,1662,1,"wfo-0000125915","urn:lsid:ipni.org:names:93840-2","GCC-52D4A376-DFF6-4F61-853A-7C25AC2E0F0F","Erigeron hyperboreus","species","wfo-4000013785","Greene","Asteraceae","","",NA,"Erigeron","","hyperboreus","","species","Valid","Pittonia 2(11): 227 (1892)","Accepted","","",NA,"Source in seed data: gcc Update namepublishedIn from Pittonia 2 227 1892  to Pittonia 2(11): 227 (1892), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-86971 >The","http://www.theplantlist.org/tpl1.1/record/gcc-86971","The Asteraceaae TEN","A","gcc-86971","",FALSE,"","","",""
"veronica americana","veronica americana (raf.) schwein. ex benth.",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,1663,1,"wfo-0000419644","urn:lsid:ipni.org:names:316066-2","591412","Veronica americana","species","wfo-4000040171","(Raf.) Schwein. ex Benth.","Plantaginaceae","","",NA,"Veronica","","americana","","species","Valid","Prodr. 10: 468 (1846)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Prodr. 10: 468 1846  to Prodr. 10: 468 (1846), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2453899 >The Pl","http://www.theplantlist.org/tpl1.1/record/kew-2453899","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2453899","",FALSE,"","","",""
