"Species_SubSpecies","Species_SubSpecies.ORIG","Squished","Brackets.detected","Number.detected","Unique","Matched","Fuzzy","Fuzzy.toomany","Fuzzy.two","Fuzzy.one","Fuzzy.dist","OriSeq","Subseq","taxonID","scientificNameID","localID","scientificName","taxonRank","parentNameUsageID","scientificNameAuthorship","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","verbatimTaxonRank","nomenclaturalStatus","namePublishedIn","taxonomicStatus","acceptedNameUsageID","originalNameUsageID","nameAccordingToID","taxonRemarks","references","source","majorGroup","tplID","Hybrid","New.accepted","Old.status","Old.ID","Old.name","One.Reason"
"Plantago media L.","Plantago media L.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,7,97,1,"wfo-0001326174","urn:lsid:ipni.org:names:888312-1","888312-1","Plantago media f. ovata","form","","P.Snarskis","Plantaginaceae","","",NA,"Plantago","","media","ovata","form","","Lietuvos TSR Fl. 5: 581. 1976","Unchecked","","",NA,"Source in seed data: ipni Updated majorGroup from  to A, information provided by Alan E. on email Mar 08 2021","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","","smallest ID"
"Poa annua L.","Poa annua L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,7,98,1,"wfo-0000891536","urn:lsid:ipni.org:names:320035-2","435194","Poa annua","species","wfo-4000030438","L.","Poaceae","","",NA,"Poa","","annua","","species","Valid","Sp. Pl. : 68 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 68 1753  to Sp. Pl. : 68 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-435194 >The Plant Lis","http://www.theplantlist.org/tpl1.1/record/kew-435194","The Poaceae TEN","A","kew-435194","",TRUE,"Synonym","wfo-0001097738","Poa annua f. annua",""
"Poa compressa L.","Poa compressa L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,8,99,1,"wfo-0001396015","urn:lsid:ipni.org:names:204175-2","204175-2","Poa compressa var. laxa","variety","","Scribn.","Poaceae","","",NA,"Poa","","compressa","laxa","variety","","Grasses Tennessee pt. 2, 106. 1904","Unchecked","","",NA,"Source in seed data: ipni Updated majorGroup from  to A, information provided by Alan E. on email Mar 08 2021","","The Poaceae TEN","A","","",FALSE,"","","",""
"Poa pratensis subsp. angustifolia","Poa pratensis subsp. angustifolia (L.) Gaudin",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,100,1,"wfo-0000891510","urn:lsid:ipni.org:names:320037-2","435167","Poa angustifolia","species","wfo-4000030438","L.","Poaceae","","",NA,"Poa","","angustifolia","","species","Valid","Sp. Pl. : 67 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 67 1753  to Sp. Pl. : 67 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-435167 >The Plant Lis","http://www.theplantlist.org/tpl1.1/record/kew-435167","The Poaceae TEN","A","kew-435167","",TRUE,"Synonym","wfo-0000893412","Poa pratensis subsp. angustifolia","smallest ID"
"Poa pratensis subsp. irrigata","Poa pratensis subsp. irrigata (Lindm.) H. Lindb.",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,101,1,"wfo-0000892571","urn:lsid:ipni.org:names:417221-1","436146","Poa humilis","species","wfo-4000030438","Ehrh.","Poaceae","","",NA,"Poa","","humilis","","species","Valid","Deutschl. Fl. Bot. Taschenb. 1: 45 (1791)","Accepted","","",NA,"Source in seed data: wcs Updated scientificnameAuthorship from Ehrh. ex Hoffm. to Ehrh., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-436146 >The Plant List v.1","http://www.theplantlist.org/tpl1.1/record/kew-436146","The Poaceae TEN","A","kew-436146","",TRUE,"Synonym","wfo-0000893416","Poa pratensis subsp. irrigata",""
"Poa pratensis subsp. pratensis L.","Poa pratensis subsp. pratensis L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,102,1,"wfo-0000893396","urn:lsid:ipni.org:names:417792-1","436906","Poa pratensis","species","wfo-4000030438","L.","Poaceae","","",NA,"Poa","","pratensis","","species","Valid","Sp. Pl. : 67 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 67 1753  to Sp. Pl. : 67 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-436906 >The Plant Lis","http://www.theplantlist.org/tpl1.1/record/kew-436906","The Poaceae TEN","A","kew-436906","",TRUE,"Synonym","wfo-0001096118","Poa pratensis subsp. pratensis",""
"Poa supina Schrad.","Poa supina Schrad.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,8,103,1,"wfo-0000894002","urn:lsid:ipni.org:names:418156-1","437424","Poa supina","species","wfo-4000030438","Schrad.","Poaceae","","",NA,"Poa","","supina","","species","Valid","Fl. Germ. : 289 (1806)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Fl. Germ. (Schrader) 1: 289. 1806  to Fl. Germ. : 289 (1806), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-","http://www.theplantlist.org/tpl1.1/record/kew-437424","The Poaceae TEN","A","kew-437424","",FALSE,"","","",""
"Poa trivialis subsp. trivialis L.","Poa trivialis subsp. trivialis L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,104,1,"wfo-0000894135","urn:lsid:ipni.org:names:320346-2","437547","Poa trivialis","species","wfo-4000030438","L.","Poaceae","","",NA,"Poa","","trivialis","","species","Valid","Sp. Pl. : 67 (1753)","Accepted","","",NA,"Source in seed data: wcs Update namepublishedIn from Sp. Pl. 67 1753  to Sp. Pl. : 67 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-437547 >The Plant Lis","http://www.theplantlist.org/tpl1.1/record/kew-437547","The Poaceae TEN","A","kew-437547","",TRUE,"Synonym","wfo-0001096889","Poa trivialis subsp. trivialis",""
"Polygonum aviculare L.","Polygonum aviculare L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,105,1,"wfo-0000489656","urn:lsid:ipni.org:names:695422-1","708641","Polygonum aviculare","species","wfo-4000030745","L.","Polygonaceae","","",NA,"Polygonum","","aviculare","","species","Valid","Sp. Pl. : 362 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 362 1753  to Sp. Pl. : 362 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2574669 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2574669","The Caryophyllales Taxonomic Expert Network","A","kew-2574669","",FALSE,"","","",""
"Polygonum boreale","Polygonum boreale (Lange) Small",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,106,1,"wfo-0000489646","urn:lsid:ipni.org:names:206116-2","708615","Polygonum boreale","species","wfo-4000030745","Small","Polygonaceae","","",NA,"Polygonum","","boreale","","species","Valid","Bull. Torrey Bot. Club 21: 479 (1894)","Accepted","","wfo-0000734066",NA,"Source in seed data: cmp Updated scientificnameAuthorship from (Lange) Small to Small, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2574642 >The Plant List v.1.","http://www.theplantlist.org/tpl1.1/record/kew-2574642","The Caryophyllales Taxonomic Expert Network","A","kew-2574642","",FALSE,"","","",""
"Polygonum convolvulus L.","Polygonum convolvulus L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,107,1,"wfo-0000685786","urn:lsid:ipni.org:names:103354-2","935267","Fallopia convolvulus","species","wfo-4000014581","(L.) Á.Löve","Polygonaceae","","",NA,"Fallopia","","convolvulus","","species","Valid","Taxon 19: 200 (1970)","Accepted","","wfo-0000489602",NA,"Source in seed data: cmp Update namepublishedIn from Taxon 19: 200 1970  to Taxon 19: 200 (1970), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2807634 >The Plan","http://www.theplantlist.org/tpl1.1/record/kew-2807634","The Caryophyllales Taxonomic Expert Network","A","kew-2807634","",TRUE,"Synonym","wfo-0000489602","Polygonum convolvulus",""
"Potentilla erecta","Potentilla erecta (L.) Räuschel",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,108,1,"wfo-0000984938","urn:lsid:ipni.org:names:60457410-2","1192","Potentilla erecta","species","wfo-4000031030","(L.) Raeusch.","Rosaceae","","",NA,"Potentilla","","erecta","","species","Valid","Nomencl. Bot. , ed. 3: 152 (1797)","Accepted","","wfo-0000984985",NA,"Source in seed data: rjp Update namepublishedIn from Nomencl. Bot. [Raeusch.] 152. 1797  to Nomencl. Bot. , ed. 3: 152 (1797), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1","http://www.theplantlist.org/tpl1.1/record/rjp-1192","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-1192","",FALSE,"","","","Not a synonym"
"Potentilla norvegica L.","Potentilla norvegica L.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,109,1,"wfo-0000988932","urn:lsid:ipni.org:names:728598-1","17","Potentilla norvegica","species","wfo-4000031030","L.","Rosaceae","","",NA,"Potentilla","","norvegica","","species","Valid","Sp. Pl. : 499 (1753)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Species plantarum, edition 1 ; 1753 499 1753  to Sp. Pl. : 499 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/re","http://www.theplantlist.org/tpl1.1/record/rjp-17","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-17","",FALSE,"","","","Accepted"
"Potentilla tergemina Soják","Potentilla tergemina Soják",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,110,1,"wfo-0000991629","urn:lsid:ipni.org:names:729105-1","2042","Potentilla tergemina","species","wfo-4000031030","Soják","Rosaceae","","",NA,"Potentilla","","tergemina","","species","Valid","Preslia 36: 26 (1964)","Accepted","","",NA,"Source in seed data: rjp Update namepublishedIn from Preslia xxxvi. 26 (1964).  to Preslia 36: 26 (1964), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/rjp-2042 >The","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:729105-1","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","rjp-2042","",FALSE,"","","",""
"Primula elatior","Primula elatior (L.) L.",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,111,1,"wfo-0000483455","urn:lsid:ipni.org:names:701870-1","699300","Primula elatior","species","wfo-4000031131","Hill","Primulaceae","","",NA,"Primula","","elatior","","species","Valid","Veg. Syst. 8: 25 (1765)","Accepted","","wfo-0000747214",NA,"Source in seed data: cmp Updated scientificnameAuthorship from (L.) Hill to Hill, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2564876 >The Plant List v.1.1.</a","http://www.theplantlist.org/tpl1.1/record/kew-2564876","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2564876","",FALSE,"","","",""
"Prunella vulgaris L.","Prunella vulgaris L.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,6,112,1,"wfo-0000283763","urn:lsid:ipni.org:names:60428648-2","166038","Prunella vulgaris  subsp. lanceolata","subspecies","wfo-0000283746","(W.P.C.Barton) Piper & Beattie","Lamiaceae","","",NA,"Prunella","","vulgaris","lanceolata","subspecies","Valid","Fl. N.W. Coast : 311 (1915)","Accepted","","wfo-0000283722",NA,"Source in seed data: wcs Update namepublishedIn from Fl. N.W. Coast [Piper & Beattie] 311. 1915 [10 Nov 1915]  to Fl. N.W. Coast : 311 (1915), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplan","http://www.theplantlist.org/tpl1.1/record/kew-166038","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-166038","",TRUE,"Synonym","wfo-0000283747","Prunella vulgaris f. alba","smallest ID"
"Prunus padus L.","Prunus padus L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,8,113,1,"wfo-0001326256","urn:lsid:ipni.org:names:889870-1","889870-1","Prunus padus f. glauca","form","","(Nakai) Kitag.","Rosaceae","","",NA,"Prunus","","padus","glauca","form","","Neolin. Fl. Manshur. 378. 1979","Unchecked","","",NA,"Source in seed data: ipni Updated majorGroup from  to A, information provided by Alan E. on email Mar 08 2021","","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","","",FALSE,"","","",""
"Puccinellia distans","Puccinellia distans (Jacq.) Parl.",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,114,1,"wfo-0000895236","urn:lsid:ipni.org:names:1026660-2","438643","Puccinellia distans","species","wfo-4000032149","(Jacq.) Parl.","Poaceae","","",NA,"Puccinellia","","distans","","species","Valid","Fl. Ital. 1: 367 (1850)","Accepted","","wfo-0000892163",NA,"Source in seed data: wcs Update namepublishedIn from Fl. Ital. 1: 367 1850  to Fl. Ital. 1: 367 (1850), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-438643 >The","http://www.theplantlist.org/tpl1.1/record/kew-438643","The Poaceae TEN","A","kew-438643","",FALSE,"","","",""
"Puccinellia hauptiana","Puccinellia hauptiana (Trin. ex V.I. Krecz.) Kitag.",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,115,1,"wfo-0000895313","urn:lsid:ipni.org:names:1171089-2","438715","Puccinellia hauptiana","species","wfo-4000032149","(V.I.Krecz.) Kitag.","Poaceae","","",NA,"Puccinellia","","hauptiana","","species","Valid","Rep. Inst. Sci. Res. Manchoukuo 1: 255 (1937)","Accepted","","wfo-0000851327",NA,"Source in seed data: wcs Update namepublishedIn from   to Rep. Inst. Sci. Res. Manchoukuo 1: 255 (1937), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-438715 >Th","http://www.theplantlist.org/tpl1.1/record/kew-438715","The Poaceae TEN","A","kew-438715","",FALSE,"","","",""
"Ranunculus acris L.","Ranunculus acris L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,7,116,1,"wfo-0000461396","urn:lsid:ipni.org:names:712125-1","660514","Ranunculus acris","species","wfo-4000032540","L.","Ranunculaceae","","",NA,"Ranunculus","","acris","","species","Valid","Sp. Pl. : 554 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 554 1753  to Sp. Pl. : 554 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2524461 >The Plant ","http://www.theplantlist.org/tpl1.1/record/kew-2524461","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2524461","",TRUE,"Synonym","wfo-0001129682","Ranunculus acris f. acris",""
"Ranunculus acris subsp. friesianus","Ranunculus acris subsp. friesianus (Jordan) Syme",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,NA,117,1,"wfo-0000735251","","997400","Ranunculus acris  subsp. friesianus","subspecies","wfo-0000461396","(Jord.) Rouy & Foucaud","Ranunculaceae","","",NA,"Ranunculus","","acris","friesianus","subspecies","Valid","Fl. France 1: 103 1893","Accepted","","wfo-0000460762",NA,"Source in seed data: cmp More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2870835 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/kew-2870835 >The Plant List v.1.0</a>","http://www.theplantlist.org/tpl1.1/record/kew-2870835","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2870835","",TRUE,"Synonym","wfo-0001129576","Ranunculus acris subsp. friesianus",""
"Ranunculus auricomus agg.","Ranunculus auricomus agg.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,10,118,1,"wfo-0000460406","urn:lsid:ipni.org:names:712684-1","659314","Ranunculus fallax","species","wfo-4000032540","(Wimm. & Grab.) Sloboda","Ranunculaceae","","",NA,"Ranunculus","","fallax","","species","Valid","Rostlinnictví : 679 (1852)","Accepted","","wfo-0000735267",NA,"Source in seed data: cmp Update namepublishedIn from Rostlinnictví 679. 1852 ; cf. Holub in Preslia. 46(2): 169. 1974 to Rostlinnictví : 679 (1852), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www","http://www.theplantlist.org/tpl1.1/record/kew-2523261","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2523261","",TRUE,"Synonym","wfo-0000735267","Ranunculus auricomus var. fallax",""
"Ranunculus polyanthemos L.","Ranunculus polyanthemos L.",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,119,1,"wfo-0000463507","urn:lsid:ipni.org:names:713553-1","663095","Ranunculus polyanthemos","species","wfo-4000032540","L.","Ranunculaceae","","",NA,"Ranunculus","","polyanthemos","","species","Valid","Sp. Pl. : 554 (1753)","Accepted","","",NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1: 554. 1753 [1 May 1753]  to Sp. Pl. : 554 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-25","http://www.theplantlist.org/tpl1.1/record/kew-2527047","World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.","A","kew-2527047","",FALSE,"","","",""
