rawName,rawName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Arctium tomentosum Mill.,Arctium tomentosum Mill.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,6,1,wfo-0000130944,urn:lsid:ipni.org:names:178483-1,GCC-D8932EE7-0D58-4831-83DF-87405670E460,Arctium tomentosum,species,wfo-4000002920,Mill.,Asteraceae,"","",,Arctium,"",tomentosum,"",species,Valid,"Gard. Dict., ed. 8. n. 3. 1768 ; Bernh. Syst. Verz. Erf. 154",Accepted,"","",,"Source in seed data: gcc Updated namepublishedIn from 3 1768  to Gard. Dict., ed. 8. n. 3. 1768 ; Bernh. Syst. Verz. Erf. 154, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1",http://www.theplantlist.org/tpl1.1/record/gcc-91826,The Asteraceaae TEN,A,gcc-91826,"",FALSE,"","","",""
Arctopoa subfastigiata,Arctopoa subfastigiata (Trin.) Prob.,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,7,1,wfo-0000848446,urn:lsid:ipni.org:names:389199-1,394284,Arctopoa subfastigiata,species,wfo-4000002929,(Trin.) Prob.,Poaceae,"","",,Arctopoa,"",subfastigiata,"",species,Valid,Novosti Sist. Vyssh. Rast.  11: 52 (1974),Accepted,"",wfo-0000893961,,"Source in seed data: wcs Update namepublishedIn from Novosti Sist. Vyssh. Rast. 11: 52. 1974  to Novosti Sist. Vyssh. Rast. 11: 52 (1974), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlis",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:389199-1,The Poaceae TEN,A,kew-394284,"",FALSE,"","","",""
Argentina anserina subsp. anserina Rydb.,Argentina anserina subsp. anserina Rydb.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,22,8,1,wfo-0001009478,urn:lsid:ipni.org:names:721546-1,4856,Argentina anserina,species,wfo-4000002977,Rydb.,Rosaceae,"","",,Argentina,"",anserina,"",species,Valid,Monogr. N. Amer. Potent. 2: 159 (1898),Accepted,"",wfo-0001016615,,"Source in seed data: rjp Updated scientificnameAuthorship from (L.) Rydb. to Rydb., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/rjp-4856 >The Plant List v.1.1.</a>",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:721546-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-4856,"",FALSE,"","","",""
Armoracia sisymbrioides,Armoracia sisymbrioides (DC.) Cajander,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,9,1,wfo-0000549447,urn:lsid:ipni.org:names:278749-1,785005,Armoracia sisymbrioides,species,wfo-4000003083,N.Busch. ex Ganesh.,Brassicaceae,"","",,Armoracia,"",sisymbrioides,"",species,Valid,Trav. Mus. Bot. Acad. Petersb. xiii. 108 (1915).,Accepted,"",wfo-0000613867,,"Source in seed data: cmp Updated scientificnameAuthorship from (DC.) N.Busch ex Ganesh to N.Busch. ex Ganesh., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2652",http://www.theplantlist.org/tpl1.1/record/kew-2652954,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2652954,"",FALSE,"","","",smallest ID
Artemisia vulgaris L.,Artemisia vulgaris L.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,3,10,4,wfo-0000115588,urn:lsid:ipni.org:names:20812-2,GCC-E982E2D5-0F9F-4AA2-B048-65F13E88CE6E,Artemisia vulgaris,species,wfo-4000003144,L.,Asteraceae,"","",,Artemisia,"",vulgaris,"",species,Valid,Sp. Pl. : 848 (1753),Accepted,"","",,"Source in seed data: gcc Update namepublishedIn from Sp. Pl. 848 1753  to Sp. Pl. : 848 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/gcc-77033 >The Plant Li",http://www.theplantlist.org/tpl1.1/record/gcc-77033,The Asteraceaae TEN,A,gcc-77033,"",FALSE,"","","",Not a synonym
Asperugo procumbens L.,Asperugo procumbens L.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,3,11,1,wfo-0000552204,urn:lsid:ipni.org:names:113506-1,788152,Asperugo procumbens,species,wfo-4000003291,L.,Boraginaceae,"","",,Asperugo,"",procumbens,"",species,Valid,Sp. Pl. : 138 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 1: 138. 1753 [1 May 1753]  to Sp. Pl. : 138 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-26",http://www.theplantlist.org/tpl1.1/record/kew-2656106,The Boraginaceae TEN,A,kew-2656106,"",FALSE,"","","",""
Astragalus danicus Retz.,Astragalus danicus Retz.,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,6,1,1,wfo-0000213553,urn:lsid:ipni.org:names:477044-1,8620,Astragalus danicus,species,wfo-4000003460,Retz.,Fabaceae,Papilionoideae,"",,Astragalus,"",danicus,"",species,Valid,Observ. Bot.3: 41 (1783),Accepted,"","",,"Source in seed data: ildis Update namepublishedIn from  to Observ. Bot. 3: 41 (1783), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ild-8620 >The Plant List v.1.1.</",https://www.legumedata.org/taxonomy/taxon/658773,The Fabaceae TEN - Legume Taxonomy Working Group,A,ild-8620,"",FALSE,"","","",""
Barbarea stricta Andrz.,Barbarea stricta Andrz.,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,TRUE,FALSE,7,2,1,wfo-0000560052,urn:lsid:ipni.org:names:278905-1,801577,Barbarea stricta,species,wfo-4000004049,Andrz.,Brassicaceae,"","",,Barbarea,"",stricta,"",species,Valid,Enum. Pl. Volh. : 72 (1821),Accepted,"","",,"Source in seed data: cmp Updated scientificnameAuthorship from Andrz. ex Besser to Andrz., information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2669701 >The Plant List ",http://www.theplantlist.org/tpl1.1/record/kew-2669701,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2669701,"",FALSE,"","","",Not a synonym
Barbarea vulgaris W.T. Aiton,Barbarea vulgaris W.T. Aiton,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,11,3,1,wfo-0000560064,urn:lsid:ipni.org:names:29455-2,801588,Barbarea vulgaris,species,wfo-4000004049,W.T.Aiton,Brassicaceae,"","",,Barbarea,"",vulgaris,"",species,Valid,Hortus Kew. 4: 109 (1812),Accepted,"",wfo-0000678484,,"Source in seed data: cmp Updated scientificnameAuthorship from R.Br. to W.T.Aiton, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2669712 >The Plant List v.1.1.</",http://www.theplantlist.org/tpl1.1/record/kew-2669712,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2669712,"",FALSE,"","","",""
Beckmannia syzigachne,Beckmannia syzigachne (Steud.) Fernald,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,4,1,wfo-0000853648,urn:lsid:ipni.org:names:30332-2,399194,Beckmannia syzigachne,species,wfo-4000004295,(Steud.) Fernald,Poaceae,"","",,Beckmannia,"",syzigachne,"",species,Valid,Rhodora  30: 27 (1928),Accepted,"",wfo-0000886576,,"Source in seed data: wcs Updated scientificnameAuthorship from (Steud.) Fernald to Fernald, information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-399194 >The Plant List ",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30332-2,The Poaceae TEN,A,kew-399194,"",FALSE,"","","",""
