rawName,rawName.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.toomany,Fuzzy.two,Fuzzy.one,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Equisetum sylvaticum,Equisetum sylvaticum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,23,1,wfo-0001108924,urn:lsid:ipni.org:names:303325-2,26602013,Equisetum sylvaticum,species,wfo-4000013663,L.,Equisetaceae,"","",,Equisetum,"",sylvaticum,"",species,Valid,Sp. Pl. : 1061 (1753),Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 2: 1061 1753  to Sp. Pl. : 1061 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26602013 >The ",http://www.theplantlist.org/tpl1.1/record/tro-26602013,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26602013,"",FALSE,"","","",""
Equisetum arvense subsp. arvense,Equisetum arvense subsp. arvense,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,5,24,1,wfo-0001108914,urn:lsid:ipni.org:names:300073-2,26602003,Equisetum arvense,species,wfo-4000013663,L.,Equisetaceae,"","",,Equisetum,"",arvense,"",species,Valid,Sp. Pl. : 1061 (1753),Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Sp. Pl. 2: 1061 1753  to Sp. Pl. : 1061 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26602003 >The ",http://www.theplantlist.org/tpl1.1/record/tro-26602003,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26602003,"",TRUE,Synonym,wfo-0001361571,Equisetum arvense subsp. alpestre,""
Equisetum hyemale subsp. hyemale,Equisetum hyemale subsp. hyemale,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,26,1,wfo-0000748047,urn:lsid:ipni.org:names:92939-2,1024888,Equisetum hyemale,species,wfo-4000013663,L.,Equisetaceae,"","",,Equisetum,"",hyemale,"",species,Valid,Sp. Pl. : 1062 (1753),Accepted,"","",,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 2: 1062 1753  to Sp. Pl. : 1062 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2902170 >The P",http://www.theplantlist.org/tpl1.1/record/kew-2902170,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,kew-2902170,"",TRUE,Synonym,wfo-0001111328,Equisetum hyemale subsp. hyemale,""
Equisetum ×trachyodon,Equisetum x trachyodon,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,0,FALSE,FALSE,1,27,1,wfo-0001108926,urn:lsid:ipni.org:names:30028923-2,26602016,Equisetum trachyodon,species,wfo-4000013663,(A.Braun) W.D.J.Koch,Equisetaceae,"","",,Equisetum,"",trachyodon,"",species,Valid,Syn. Fl. Germ. Helv. (ed. 2) 3: 967 1845,Accepted,"",wfo-0001117150,,"Source in seed data: tro Leave these as they are the data looks good IPNI link is the issue., information provided by Alan E. on email Oct. 14 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26602016 >The Plant L",http://www.theplantlist.org/tpl1.1/record/tro-26602016,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26602016,"",FALSE,"","","",smallest ID
Equisetum variegatum subsp. variegatum,Equisetum variegatum subsp. variegatum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,28,1,wfo-0001108927,urn:lsid:ipni.org:names:93031-2,26602017,Equisetum variegatum,species,wfo-4000013663,Schleich. ex F.Weber & D.Mohr,Equisetaceae,"","",,Equisetum,"",variegatum,"",species,Valid,"Bot. Taschenb. : 60, 447 (1807)",Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Bot. Taschenbuch 60, 447 1807  to Bot. Taschenb. : 60, 447 (1807), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record",http://www.theplantlist.org/tpl1.1/record/tro-26602017,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26602017,"",TRUE,Synonym,wfo-0001111186,Equisetum variegatum subsp. variegatum,""
Equisetum scirpoides,Equisetum scirpoides,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,29,1,wfo-0001108923,urn:lsid:ipni.org:names:93018-2,26602012,Equisetum scirpoides,species,wfo-4000013663,Michx.,Equisetaceae,"","",,Equisetum,"",scirpoides,"",species,Valid,Fl. Bor.-Amer. 2: 281 1803,Accepted,"","",,"Source in seed data: tro Updated namepublishedin from Unknown   to Fl. Bor.-Amer. 2: 281 1803  , information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26602012 >The Plan",http://www.theplantlist.org/tpl1.1/record/tro-26602012,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26602012,"",FALSE,"","","",""
Botrychium multifidum subsp. multifidum,Botrychium multifidum subsp. multifidum,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,18,30,1,wfo-0001116205,urn:lsid:ipni.org:names:1193380-2,26610816,Botrychium multifidum,species,wfo-4000005090,(S.G.Gmel.) Rupr.,Ophioglossaceae,Botrychioideae,"",,Botrychium,"",multifidum,"",species,Valid,Beitr. Pflanzenk. Russ. Reiches 11: 40 (1859),Accepted,"",wfo-0001110977,,"Source in seed data: tro Update namepublishedIn from Beitr. Pflanzenk. Russ. Reiches 11: 40. 1859  to Beitr. Pflanzenk. Russ. Reiches 11: 40 (1859), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.t",http://www.theplantlist.org/tpl1.1/record/tro-26610816,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26610816,"",FALSE,"","","",""
Botrychium lanceolatum subsp. lanceolatum,Botrychium lanceolatum subsp. lanceolatum,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,1,31,1,wfo-0001111808,urn:lsid:ipni.org:names:77186265-1,26605910,Botrychium lanceolatum  subsp. lanceolatum,subspecies,wfo-0001109052,"",Ophioglossaceae,Botrychioideae,"",,Botrychium,"",lanceolatum,lanceolatum,subspecies,Valid,"",Accepted,"","",,Source in seed data: tro More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-26605910 >The Plant List v.1.1.</a> Originally in <a href=http://www.theplantlist.org/tpl/record/tro-26605910 >The Plant List v.1.0</a>,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77186265-1,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26605910,"",FALSE,"","","",""
Botrychium boreale,Botrychium boreale,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,32,1,wfo-0001109048,urn:lsid:ipni.org:names:30012157-2,26602172,Botrychium boreale,species,wfo-4000005090,Milde,Ophioglossaceae,Botrychioideae,"",,Botrychium,"",boreale,"",species,Valid,Bot. Zeitung (Berlin) 15: 880 (1857),Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Bot. Zeitung (Berlin) 15: 880 1857  to Bot. Zeitung (Berlin) 15: 880 (1857), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl",http://www.theplantlist.org/tpl1.1/record/tro-26602172,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26602172,"",FALSE,"","","",""
Botrychium pinnatum,Botrychium pinnatum,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,FALSE,FALSE,,33,1,wfo-0001110255,urn:lsid:ipni.org:names:35335-2,26603632,Botrychium pinnatum,species,wfo-4000005090,H.St.John,Ophioglossaceae,Botrychioideae,"",,Botrychium,"",pinnatum,"",species,Valid,Amer. Fern J. 19: 11 (1929),Accepted,"","",,"Source in seed data: tro Update namepublishedIn from Amer. Fern J. 19: 11 1929  to Amer. Fern J. 19: 11 (1929), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-266",http://www.theplantlist.org/tpl1.1/record/tro-26603632,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",P,tro-26603632,"",FALSE,"","","",""
