"",bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
"2",0.158796520592865,1,-0.0599286298386422,0.425332322222585,0.482799141777458,-0.153717868428527,0.551930701493906,0.258884701428106,-0.0684900822698178,0.3872043215116,-0.0741566194122982,0.0260374563142138,0.109497716749534,0.00268641164703241,0.166265306293576,0.0975688348235031,-0.012139282473595,0.153675915712893,-0.0211996523441047
"3",0.209368798607232,-0.0599286298386422,1,-0.6222649854367,-0.192488652300629,0.52241369298817,-0.584739599102631,-0.212774649850914,0.511387154024157,-0.165511969073372,0.509787142224505,0.390378041721189,0.371102862908764,0.39378289754611,-0.27801183837187,0.372972616522577,0.394707571786954,0.331303893327756,0.390748197430996
"4",-0.0426451666444359,0.425332322222585,-0.6222649854367,1,0.581565574963209,-0.582360278170011,0.97896728009921,0.556812820159317,-0.700248044982241,0.523831499825666,-0.559276847547389,-0.644605202514219,-0.569132303279692,-0.651685681151741,0.608027710420485,-0.576137029534866,-0.661608321079248,-0.533261896820031,-0.660810991640103
"5",0.773369664586069,0.482799141777458,-0.192488652300629,0.581565574963209,1,0.297912132349592,0.655779368301608,0.872541153631957,-0.0141855824904673,0.989028845705486,0.339094267068745,-0.362354303675784,-0.239568902276463,-0.385224367872446,0.427140839459086,-0.247305237066392,-0.417031457040117,-0.189705339988176,-0.495403376143659
"6",0.824458864057847,-0.153717868428527,0.52241369298817,-0.582360278170011,0.297912132349592,1,-0.525308055903076,0.247770328562437,0.792654837405773,0.378789381266407,0.99325372432066,0.328956410140272,0.361549073619369,0.321416472492255,-0.245587081107894,0.360463949655724,0.302580082531565,0.357534480812261,0.224386792400627
"7",0.0373376464821089,0.551930701493906,-0.584739599102631,0.97896728009921,0.655779368301608,-0.525308055903076,1,0.581819501606711,-0.63952629129188,0.58203699299877,-0.483263452942994,-0.583157422619857,-0.499484437062348,-0.597580443945409,0.574973578935391,-0.505522321403825,-0.611035866729095,-0.451861708875587,-0.619055396211194
"8",0.687669958217402,0.258884701428106,-0.212774649850914,0.556812820159317,0.872541153631957,0.247770328562437,0.581819501606711,1,-0.136291126499805,0.896483830508191,0.272308615462239,-0.561015192084561,-0.445332442774726,-0.565569208766075,0.498736501650277,-0.45244986085278,-0.598326126868927,-0.38135004412308,-0.689695109490537
"9",0.49795021823517,-0.0684900822698178,0.511387154024157,-0.700248044982241,-0.0141855824904673,0.792654837405773,-0.63952629129188,-0.136291126499805,1,0.0379726523583118,0.794845808518638,0.536436232395435,0.509324750755823,0.548727098354855,-0.576786206021126,0.507780526988978,0.543588761314349,0.489651400092031,0.512431913280338
"10",0.826340970973216,0.3872043215116,-0.165511969073372,0.523831499825666,0.989028845705486,0.378789381266407,0.58203699299877,0.896483830508191,0.0379726523583118,1,0.411893792800352,-0.379050709131044,-0.256875303986823,-0.398417883784903,0.423334859296672,-0.26472033995871,-0.431408416128599,-0.212062323005832,-0.514525332450608
"11",0.848292101671785,-0.0741566194122982,0.509787142224505,-0.559276847547389,0.339094267068745,0.99325372432066,-0.483263452942994,0.272308615462239,0.794845808518638,0.411893792800352,1,0.327260605803537,0.364176526293454,0.31753160049844,-0.248508589053861,0.363386478772681,0.296717942984967,0.367773944959671,0.216519294379356
"12",-0.0207890162912928,0.0260374563142138,0.390378041721189,-0.644605202514219,-0.362354303675784,0.328956410140272,-0.583157422619857,-0.561015192084561,0.536436232395435,-0.379050709131044,0.327260605803537,1,0.962353096918938,0.979437293503177,-0.598672851257799,0.974599245127832,0.983546379409044,0.944820720089248,0.968115731929221
"13",0.0732028251241878,0.109497716749534,0.371102862908764,-0.569132303279692,-0.239568902276463,0.361549073619369,-0.499484437062348,-0.445332442774726,0.509324750755823,-0.256875303986823,0.364176526293454,0.962353096918938,1,0.909890376222516,-0.432274553972121,0.99438364497806,0.911591265949414,0.962954586308365,0.897298840752911
"14",-0.0411393414955653,0.00268641164703241,0.39378289754611,-0.651685681151741,-0.385224367872446,0.321416472492255,-0.597580443945409,-0.565569208766075,0.548727098354855,-0.398417883784903,0.31753160049844,0.979437293503177,0.909890376222516,1,-0.675126102344192,0.92694301647763,0.994978667087086,0.901340968713237,0.964077809148096
"15",0.0955631333403776,0.166265306293576,-0.27801183837187,0.608027710420485,0.427140839459086,-0.245587081107894,0.574973578935391,0.498736501650277,-0.576786206021126,0.423334859296672,-0.248508589053861,-0.598672851257799,-0.432274553972121,-0.675126102344192,1,-0.454747743052046,-0.684366491201104,-0.473314346080278,-0.645214804010582
"16",0.0698569876605831,0.0975688348235031,0.372972616522577,-0.576137029534866,-0.247305237066392,0.360463949655724,-0.505522321403825,-0.45244986085278,0.507780526988978,-0.26472033995871,0.363386478772681,0.974599245127832,0.99438364497806,0.92694301647763,-0.454747743052046,1,0.926642438935781,0.96574401920788,0.910964875547422
"17",-0.0736346478751231,-0.012139282473595,0.394707571786954,-0.661608321079248,-0.417031457040117,0.302580082531565,-0.611035866729095,-0.598326126868927,0.543588761314349,-0.431408416128599,0.296717942984967,0.983546379409044,0.911591265949414,0.994978667087086,-0.684366491201104,0.926642438935781,1,0.901910503891789,0.974719585038061
"18",0.103241855220095,0.153675915712893,0.331303893327756,-0.533261896820031,-0.189705339988176,0.357534480812261,-0.451861708875587,-0.38135004412308,0.489651400092031,-0.212062323005832,0.367773944959671,0.944820720089248,0.962954586308365,0.901340968713237,-0.473314346080278,0.96574401920788,0.901910503891789,1,0.848401070724965
"19",-0.172404696806835,-0.0211996523441047,0.390748197430996,-0.660810991640103,-0.495403376143659,0.224386792400627,-0.619055396211194,-0.689695109490537,0.512431913280338,-0.514525332450608,0.216519294379356,0.968115731929221,0.897298840752911,0.964077809148096,-0.645214804010582,0.910964875547422,0.974719585038061,0.848401070724965,1
