"scientificName"
"Dactyloctenium aegyptium"
"Portulaca oleracea"
"Corchorus olitorius"
"Chenopodium opulifolium"
"Bixa orellana"
"Sidastrum paniculatum"
"Carica papaya"
"Galinsoga parviflora"
"Malva parviflora"
"Adenanthera pavonina"
"Hyptis pectinata"
"Physalis peruviana"
"Neustanthus phaseoloides  var. javanicus"
"Neustanthus phaseoloides"
"Nicandra physalodes"
"Gomphocarpus physocarpus"
"Mimosa pigra"
"Bidens pilosa"
"Schkuhria pinnata"
"Kalanchoe pinnata"
"Vanilla planifolia"
"Sicyos polyacanthos"
"Gnaphalium polycaulon"
"Medicago polymorpha"
"Tridax procumbens"
"Eclipta prostrata"
"Mucuna pruriens  var. utilis"
"Centrosema pubescens"
"Caesalpinia pulcherrima"
"Euphorbia pulcherrima"
"Alternanthera pungens"
"Ipomoea purpurea"
"Vigna radiata"
"Hydrocotyle ranunculoides"
"Raphanus raphanistrum  subsp. sativus"
"Canavalia regalis"
"Delonix regia"
"Sida rhombifolia"
"Nicotiana rustica"
"Acacia saligna"
"Samanea saman"
"Digitaria sanguinalis"
"Sapindus saponaria"
"Medicago sativa"
"Cannabis sativa"
"Vicia sativa"
"Lathyrus sativus"
"Richardia scabra"
"Mimosa scabrella"
"Lipotriche scandens  subsp. scandens"
"Dysphania schraderiana"
"Cortaderia selloana"
"Senna septemtrionalis"
"Alternanthera sessilis"
"Senna siamea"
"Agave sisalana"
"Papaver somniferum"
"Senna spectabilis"
"Hyptis spicigera"
"Amaranthus spinosus"
"Datura stramonium"
"Pistia stratiotes"
"Opuntia stricta"
"Lantana strigocamara"
"Vigna subterranea"
"Cosmos sulphureus"
"Erigeron sumatrensis"
"Heliotropium supinum"
"Malva sylvestris"
"Phyllanthus tenellus"
"Schinus terebinthifolia"
"Tetragonia tetragonoides"
"Oenothera tetraptera"
"Cascabela thevetia"
"Millettia thonningii"
"Desmodium tortuosum"
"Solanum torvum"
"Amaranthus tricolor"
"Corchorus tridens"
"Corchorus trilocularis"
"Hibiscus trionum"
"Lipotriche triternata"
"Ipomoea muricata"
"Desmodium uncinatum"
"Vigna unguiculata"
"Stachytarpheta urticifolia"
"Paspalum urvillei"
"Linum usitatissimum"
"Inga vera"
"Mollugo verticillata"
"Solanum villosum"
"Vitis vinifera"
"Eragrostis virescens"
"Desmanthus virgatus"
"Amaranthus viridis"
"Pseudoconyza viscosa"
"Foeniculum vulgare"
"Phaseolus vulgaris"
"Solanum wendlandii"
"Tradescantia zebrina  var. zebrina"
"Yucca aloifolia"
"Cucumis anguria"
"Crinum asiaticum"
"Gossypium barbadense"
"Ficus benjamina"
"Tragus berteronianus"
"Digitaria bicornis"
"Melicoccus bijugatus"
"Chrysophyllum cainito"
"Tephrosia candida"
"Terminalia catappa"
"Cyanthillium cinereum"
"Cordia dichotoma"
"Brachiaria distachya"
"Ficus elastica"
"Malpighia emarginata"
"Jasminum fluminense"
"Thunbergia fragrans"
"Punica granatum"
"Ocimum gratissimum"
"Sorghum halepense"
"Stylosanthes hamata"
"Abutilon hirtum"
"Tamarindus indica"
"Eleusine indica"
"Clerodendrum indicum"
"Launaea intybacea"
"Leonurus japonicus"
"Swietenia mahagoni"
"Adonidia merrillii"
"Leonotis nepetifolia"
"Cocos nucifera"
"Eragrostis pilosa"
"Spondias purpurea"
"Brachiaria reptans"
"Crotalaria retusa"
"Gliricidia sepium"
"Cenchrus setaceus"
"Xanthium strumarium"
"Thymophylla tenuiloba"
"Indigofera tinctoria"
"Sphagneticola trilobata"
"Erythrina variegata"
"Crotalaria verrucosa"
"Stemodia verticillata"
"Manilkara zapota"
"Amaranthus albus"
"Symphoricarpos albus"
"Ailanthus altissima"
"Agave americana"
"Phytolacca americana"
"Senecio angulatus"
"Elaeagnus angustifolia"
"Sisyrinchium angustifolium"
"Erigeron annuus"
"Prunus armeniaca"
"Cycloloma atriplicifolium"
"Salix babylonica"
"Impatiens balfourii"
"Oenothera biennis"
"Amaranthus blitoides"
"Lepidium bonariense"
"Cuscuta campestris"
"Erigeron canadensis"
"Elodea canadensis"
"Ficus carica"
"Prunus cerasus"
"Erysimum cheiri"
"Buddleja davidii"
"Amaranthus deflexus"
"Cedrus deodara"
"Lepidium didymum"
"Paspalum distichum"
"Prunus domestica"
"Prunus domestica  subsp. insititia"
"Prunus dulcis"
"Carpobrotus edulis"
"Oenothera fallax"
"Azolla filiculoides"
"Bidens frondosa"
"Amorpha fruticosa"
"Gomphocarpus fruticosus"
"Chamaemelum fuscatum"
"Iris × germanica"
"Bougainvillea glabra"
"Eucalyptus globulus"
"Cardiospermum halicacabum"
"Inula helenium"
"Sporobolus indicus"
"Cyclospermum leptophyllum"
"Euphorbia maculata"
"Antirrhinum majus"
"Lemna minuta"
"Dysphania multifida"
"Cymbalaria muralis"
"Erucastrum nasturtiifolium"
"Acer negundo"
"Morus nigra"
"Euphorbia nutans"
"Xanthium strumarium  subsp. strumarium"
"Iris pallida"
"Oenothera parodiana"
"Veronica peregrina"
"Veronica persica"
"Oxalis pes-caprae"
"Pinus pinea"
"Robinia pseudoacacia"
"Physalis pubescens"
"Amaranthus retroflexus"
"Alcea rosea"
"Armoracia rusticana"
"Cynara cardunculus"
"Bassia scoparia"
"Glebionis segetum"
"Cupressus sempervirens"
"Mentha spicata"
"Aralia spinosa"
"Xanthium spinosum"
"Symphyotrichum subulatum  var. squamatum"
"Halophila stipulacea"
"Oxalis stricta"
"Mentha suaveolens"
"Abutilon theophrasti"
"Rubia tinctorum"
"Helianthus tuberosus"
"Artemisia verlotiorum"
"Lepidium virginicum"
"Artemisia absinthium"
"Onopordum acanthium"
"Carduus acanthoides"
"Fumaria agraria"
"Morus alba"
"Sisymbrium altissimum"
"Alyssum alyssoides"
"Camelina alyssum"
"Allium ampeloprasum"
"Lamium amplexicaule"
"Artemisia annua"
"Helianthus annuus"
"Scleranthus annuus"
"Silene antirrhina"
"Sagina apetala"
"Medicago arabica"
"Schismus arabicus"
"Malva arborea"
"Ammophila arenaria"
"Gaillardia aristata"
"Festuca arundinacea"
"Trifolium arvense"
"Calendula arvensis"
"Convolvulus arvensis"
"Buglossoides arvensis"
"Sonchus asper"
"Scabiosa atropurpurea"
"Gynura aurantiaca"
"Bidens aurea"
"Lamarckia aurea"
"Cotula australis"
"Myosotis azorica"
"Tanacetum balsamita"
"Avena barbata"
"Schismus barbatus"
"Eragrostis barrelieri"
"Spergularia bocconei"
"Vulpia bromoides"
"Avena byzantina"
"Centaurea calcitrapa"
"Arctotheca calendula"
"Taraxacum campylodes"
"Panicum capillare"
"Crepis capillaris"
"Fumaria capreolata"
"Chenopodium carinatum"
"Geranium carolinianum"
"Daucus carota"
"Aira caryophyllea"
"Agrostis castellana"
"Nepeta cataria"
"Rhamnus cathartica"
"Amaranthus celosioides"
"Matricaria chamomilla"
"Euphorbia characias"
"Euryops chrysanthemoides"
"Erodium cicutarium"
"Eragrostis cilianensis"
"Citrullus colocynthis"
"Lapsana communis"
"Allium commutatum"
"Bromus commutatus"
"Rumex conglomeratus"
"Cotula coronopifolia"
"Anthemis cotula"
"Cynoglossum creticum"
"Rostraria cristata"
"Cynosurus cristatus"
"Sporobolus cryptandrus"
"Asclepias curassavica"
"Eragrostis curvula"
"Hainardia cylindrica"
"Cynodon dactylon"
"Euphorbia dentata"
"Chenopodium desiccatum  var. leptophylloides"
"Centaurea diffusa"
"Vicia disperma"
"Geranium dissectum"
"Brachypodium distachyon"
"Lepidium draba"
"Rorippa dubia"
"Trifolium dubium"
"Tragopogon dubius"
"Sclerochloa dura"
"Cenchrus echinatus"
"Cynosurus echinatus"
"Helminthotheca echioides"
"Arrhenatherum elatius"
"Aira elegantissima"
"Cuscuta epilinum"
"Cuscuta epithymum  var. macranthera"
"Cuscuta epithymum"
"Bromus erectus"
"Digitaria eriantha"
"Taraxacum erythrospermum"
"Ulex europaeus"
"Avena fatua"
"Datura ferox"
"Crepis foetida"
"Trifolium fragiferum"
"Gaudinia fragilis"
"Salix × fragilis"
"Dipsacus fullonum"
"Silene gallica"
"Tamarix gallica"
"Chloris gayana"
"Chenopodium giganteum"
"Agrostemma githago"
"Acmispon glaber"
"Hypochaeris glabra"
"Persicaria glabra"
"Oenanthe globulosa"
"Cerastium glomeratum"
"Euphorbia helioscopia"
"Hedera helix"
"Cardamine hirsuta"
"Herniaria hirsuta"
"Lathyrus hirsutus"
"Vaccaria hispanica"
"Scolymus hispanicus"
"Lotus palustris"
"Bromus hordeaceus"
"Atriplex hortensis"
"Trifolium hybridum  subsp. anatolicum"
"Bassia hyssopifolia"
"Centaurea iberica"
"Hirschfeldia incana"
"Cuscuta indecora"
"Duchesnea indica"
"Plantago indica"
"Melilotus indicus"
"Barbarea intermedia"
"Cichorium intybus"
"Sisymbrium irio"
"Lonicera japonica"
"Bromus japonicus"
"Chondrilla juncea"
"Salsola kali"
"Salsola kali  subsp. tragus"
"Podospermum laciniatum"
"Helianthus laetiflorus"
"Erigeron laevigatus"
"Moluccella laevis"
"Carthamus lanatus"
"Holcus lanatus"
"Euphorbia lathyris"
"Lathyrus latifolius"
"Centaurium littorale"
"Valeriana locusta"
"Acacia longifolia"
"Medicago lupulina"
"Reseda luteola"
"Persicaria maculosa"
"Senecio madagascariensis"
"Bromus madritensis"
"Prunus mahaleb"
"Vinca major"
"Ammi majus"
"Erodium malacoides"
"Euphorbia marginata"
"Silybum marianum"
"Cakile maritima"
"Lobularia maritima"
"Polygonum maritimum"
"Briza maxima"
"Tordylium maximum"
"Panicum maximum"
"Centaurea melitensis"
"Melilotus siculus"
"Viola japonica"
"Atriplex micrantha"
"Camelina microcarpa"
"Salvia microphylla"
"Lysimachia minima"
"Medicago minima"
"Briza minor"
"Eragrostis minor"
"Phalaris minor"
"Arctium minus"
"Cladanthus mixtus"
"Geranium molle"
"Oenothera anomala"
"Opuntia monacantha"
"Genista monspessulana"
"Cucurbita moschata"
"Erodium moschatum"
"Lolium multiflorum"
"Diplotaxis muralis"
"Ranunculus muricatus"
"Hordeum murinum"
"Hordeum murinum  subsp. glaucum"
"Hordeum murinum  subsp. leporinum"
"Coleostephus myconis"
"Alopecurus myosuroides"
"Vulpia myuros"
"Petrorhagia nanteuilii"
"Agrostis nebulosa"
"Ballota nigra  subsp. foetida"
"Ballota nigra"
"Brassica nigra"
"Centaurea nigrescens"
"Apium nodiflorum"
"Torilis nodosa"
"Carduus nutans  subsp. leiophyllus"
"Rumex obtusifolius"
"Delairea odorata"
"Viola odorata"
"Sisymbrium officinale"
"Symphytum officinale"
"Anchusa officinalis"
"Borago officinalis"
"Calendula officinalis"
"Fumaria officinalis"
"Melissa officinalis"
"Parietaria officinalis"
"Salvia officinalis"
"Saponaria officinalis"
"Galega officinalis"
"Asplenium ceterach"
"Sisymbrium orientale"
"Persicaria orientalis"
"Lagurus ovatus"
"Urochloa panicoides"
"Neslia paniculata"
"Tanacetum parthenium"
"Fumaria parviflora"
"Atriplex patula"
"Silene pendula"
"Thymophylla pentachaeta  var. belenidium"
"Euphorbia peplus"
"Sarcocornia perennis"
"Hypericum perforatum"
"Helianthus petiolaris"
"Gastridium phleoides"
"Urospermum picroides"
"Mentha × piperita"
"Echium plantagineum"
"Euphorbia platyphyllos"
"Tragopogon porrifolius"
"Festuca pratensis"
"Tragopogon pratensis"
"Solanum pseudocapsicum"
"Centaurium pulchellum"
"Rumex pulcher"
"Mentha pulegium"
"Frankenia pulverulenta"
"Dysphania pumilio"
"Geranium purpureum"
"Geranium pusillum"
"Hordeum pusillum"
"Carduus pycnocephalus"
"Ipomoea quamoclit"
"Bromus racemosus"
"Hypochaeris radicata"
"Raphanus raphanistrum"
"Rhaponticum repens"
"Ranunculus repens  var. flore-pleno"
"Trifolium resupinatum"
"Hedypnois rhagadioloides"
"Catapodium rigidum"
"Lolium rigidum"
"Bromus rigidus"
"Atriplex rosea"
"Mentha longifolia"
"Geranium rotundifolium"
"Bromus rubens"
"Oryza rufipogon"
"Rapistrum rugosum"
"Lactuca saligna"
"Avena sativa"
"Camelina sativa"
"Lactuca sativa"
"Pastinaca sativa"
"Dipsacus sativus"
"Leontodon saxatilis"
"Humulus scandens"
"Cytisus scoparius"
"Medicago scutellata"
"Centaurea cyanus"
"Atriplex semibaccata"
"Arenaria serpyllifolia"
"Croton serpyllifolius"
"Lactuca serriola"
"Crepis setosa"
"Leonurus sibiricus"
"Salsola soda"
"Centaurea solstitialis"
"Euphorbia spathulata"
"Avena sterilis"
"Avena sterilis subsp. ludoviciana"
"Atriplex suberecta"
"Trifolium subterraneum"
"Eragrostis superba"
"Atriplex tatarica"
"Lolium temulentum"
"Sonchus tenerrimus"
"Carduus tenuiflorus"
"Diplotaxis tenuifolia"
"Bupleurum tenuissimum"
"Tribulus terrestris"
"Polycarpon tetraphyllum"
"Gleditsia triacanthos"
"Ipomoea tricolor"
"Viola tricolor"
"Eleusine tristachya"
"Bellardia trixago"
"Medicago truncatula"
"Holosteum umbellatum"
"Coronilla varia"
"Salvia verbenaca"
"Suaeda vermiculata"
"Myosotis verna"
"Setaria verticillata"
"Eruca vesicaria"
"Setaria viridis"
"Visnaga daucoides"
"Cirsium vulgare"
"Hordeum vulgare"
"Marrubium vulgare"
"Beta vulgaris"
"Neonotonia wightii"
"Cynoglossum amabile"
"Enneapogon desvauxii"
"Euphorbia hyssopifolia"
"Cortaderia jubata"
"Citrullus lanatus"
"Digitaria ternata"
"Coriandrum sativum"
"Crotalaria spectabilis"
"Tithonia tubaeformis"
"Dianthus armeria"
"Centaurea benedicta"
"Epilobium brachycarpum"
"Chenopodium carnosulum"
"Myosotis discolor"
"Trifolium glomeratum"
"Herniaria hirsuta  subsp. cinerea"
"Agrostis idahoensis"
"Apera interrupta"
"Conium maculatum"
"Malva moschata"
"Mesembryanthemum nodiflorum"
"Stellaria pallida"
"Lotus pedunculatus"
"Lepidium perfoliatum"
"Lupinus polyphyllus"
"Hornungia procumbens"
"Erysimum repandum"
"Bromus secalinus"
"Bromus sterilis"
"Myosotis stricta"
"Senecio sylvaticus"
"Bromus tectorum"
"Chorispora tenella"
"Chenopodium vulvaria"
"Pyracantha angustifolia"
"Pimpinella anisum"
"Mentha aquatica"
"Silene armeria"
"Anchusa arvensis"
"Fumaria densiflora"
"Lepidium draba  subsp. chalepense"
"Chenopodium glaucum"
"Coreopsis lanceolata"
"Lepidium latifolium"
"Onopordum nervosum"
"Cucurbita pepo"
"Crepis pulchra"
"Salvia reflexa"
"Arctotis stoechadifolia"
"Heterotheca subaxillaris"
"Tecoma capensis"
"Aleurites moluccanus"
"Echinochloa oryzoides"
"Eragrostis patula"
"Duranta stenostachya"
"Euphorbia thymifolia"
"Amaranthus dubius"
"Sisymbrium erysimoides"
"Ballota nigra  subsp. velutina"
"Misopates orontium"
"Salvia splendens"
"Valeriana vesicaria"
"Fumaria bastardii"
"Lotus corniculatus"
"Avena strigosa"
"Thunbergia alata"
"Panicum antidotale"
"Cosmos bipinnatus"
"Sesbania bispinosa"
"Eucalyptus grandis"
"Agrimonia parviflora"
"Prunus persica"
"Digitalis purpurea"
"Eucalyptus quadrangulata"
"Tithonia rotundifolia"
"Malcolmia africana"
"Colutea arborescens"
"Caucalis platycarpos"
"Cylindropuntia tunicata"
"Artemisia douglasiana"
"Eriochloa pseudoacrotricha"
"Ranunculus falcatus"
"Apium graveolens"
"Eragrostis lehmanniana"
"Persicaria minor"
"Medicago monspeliaca"
"Sphaerophysa salsula"
"Montanoa bipinnatifida"
"Hovenia dulcis"
"Vernicia fordii"
"Emilia fosbergii"
"Eriobotrya japonica"
"Cynodon plectostachyus"
"Artemisia abrotanum"
"Iberis amara"
"Lepidium appelianum"
"Lupinus arboreus"
"Aphanes arvensis"
"Knautia arvensis"
"Trifolium aureum"
"Linaria dalmatica"
"Malus domestica"
"Arrhenatherum elatius  subsp. bulbosum"
"Trisetum flavescens"
"Briza media"
"Pilosella piloselloides  subsp. praealta"
"Descurainia pinnata"
"Amaranthus powellii  subsp. bouchonii"
"Linaria purpurea"
"Rubus radicans"
"Malus sylvestris"
"Echium vulgare"
"Suaeda altissima"
"Polygonum arenarium"
"Anthriscus caucalis"
"Spergularia diandra"
"Zygophyllum fabago"
"Rosa micrantha"
"Claytonia perfoliata"
"Lepidium pinnatifidum"
"Cardamine africana"
"Persea americana"
"Clerodendrum chinense"
"Dahlia pinnata"
"Austrostipa plumigera"
"Campsis radicans"
"Grevillea robusta"
"Sisymbrium austriacum"
"Festuca filiformis"
"Malcolmia maritima"
"Aira praecox"
"Sisymbrium runcinatum"
"Lepidium sativum"
"Arabidopsis thaliana"
"Lemna disperma"
"Ratibida columnifera"
"Sinapis alba"
"Trifolium campestre"
"Festuca juncifolia"
"Hesperis matronalis"
"Lamium purpureum  var. hybridum"
"Trifolium spadiceum"
"Cynodon nlemfuensis"
"Chrysopogon aciculatus"
"Eragrostis amabilis"
"Centella asiatica"
"Chloris barbata"
"Bothriochloa bladhii"
"Amaranthus blitum  subsp. oleraceus"
"Kyllinga brevifolia"
"Dioscorea bulbifera"
"Digitaria ciliaris"
"Morinda citrifolia"
"Axonopus compressus"
"Paspalum conjugatum"
"Sporobolus diandrus"
"Fimbristylis dichotoma"
"Commelina diffusa"
"Inocarpus fagifer"
"Paspalum fimbriatum"
"Schizostachyum glaucifolium"
"Urochloa glumaris"
"Oplismenus hirtellus"
"Digitaria horizontalis"
"Euphorbia hypericifolia"
"Ludwigia hyssopifolia"
"Desmodium incanum"
"Bischofia javanica"
"Uraria lagopodoides"
"Acalypha lanceolata"
"Centotheca lappacea"
"Tacca leontopetaloides"
"Mikania micrantha"
"Pueraria montana  var. lobata"
"Abelmoschus moschatus"
"Kyllinga × nemoralis"
"Ludwigia octovalvis"
"Cyrtococcum oxyphyllum"
"Amorphophallus paeoniifolius"
"Polygala paniculata"
"Peperomia pellucida"
"Pycreus polystachyos"
"Abrus precatorius"
"Eriochloa procera"
"Justicia procumbens"
"Euploca procumbens"
"Ruellia prostrata"
"Euphorbia prostrata"
"Mimosa pudica"
"Ruellia blechum"
"Portulaca quadrifida"
"Digitaria radicosa"
"Spermacoce remota"
"Triumfetta rhomboidea"
"Sida samoensis"
"Premna serratifolia"
"Paspalum setaceum"
"Emilia sonchifolia"
"Gardenia taitensis"
"Zoysia matrella  var. matrella"
"Grona heterophylla"
"Cyrtococcum trigonum"
"Wedelia triloba"
"Ruellia tuberosa"
"Alysicarpus vaginalis"
"Paspalum vaginatum"
"Zingiber zerumbet"
"Cordia aspera"
"Cyperus compressus"
"Crassocephalum crepidioides"
"Leucas decemdentata"
"Spermacoce exilis"
"Digitaria henryi"
"Grona heterocarpa  var. strigosa"
"Miconia crenata"
"Euodia hortensis"
"Citrus hystrix"
"Parinari insularum"
"Laportea interrupta"
"Pilea microphylla"
"Atuna excelsa  subsp. racemosa"
"Boerhavia repens"
"Eleutheranthera ruderalis"
"Syzygium samarangense"
"Clerodendrum speciosissimum"
"Stictocardia tiliifolia"
"Solanum viride"
"Adenostemma viscosum"
"Oldenlandia corymbosa"
"Canarium harveyi"
"Garcinia myrtifolia"
"Phyllanthus urinaria"
"Phyllanthus virgatus"
"Strobilanthes alternata"
"Eleocharis geniculata"
"Zephyranthes rosea"
"Laportea ruderalis"
"Oxalis barrelieri"
"Oplismenus compositus"
"Phaleria disperma"
"Sorghum × drummondii"
"Endiandra elaeocarpa"
"Castilla elastica"
"Flueggea flexuosa"
"Pluchea indica"
"Cyperus involucratus"
"Stachytarpheta jamaicensis"
"Dioscorea pentaphylla"
"Cyathula prostrata"
"Setaria pumila"
"Limnophila rugosa"
"Pseudelephantopus spicatus"
"Brachiaria subquadripara"
"Erythrina subumbrans"
"Indigofera suffruticosa"
"Senna tora"
"Operculina ventricosa"
"Erechtites valerianifolia"
"Rhopalephora vitiensis"
"Bonnaya antipoda"
"Spathodea campanulata"
"Cuphea carthagenensis"
"Fimbristylis complanata"
"Phyllanthus debilis"
"Erythrina fusca"
"Asystasia gangetica"
"Microstegium glabratum"
"Indigofera hirsuta"
"Benincasa hispida"
"Polytrias indica"
"Sacciolepis indica"
"Mimosa invisa"
"Youngia japonica"
"Macroptilium lathyroides"
"Passiflora maliformis"
"Melinis minutiflora"
"Syzygium neurocalyx"
"Crotalaria pallida"
"Paspalum paniculatum"
"Lemna perpusilla"
"Passiflora quadrangularis"
"Chloris radiata"
"Heterotis rotundifolia"
"Stenotaphrum secundatum"
"Senna sophera"
"Struchium sparganophorum"
"Indigofera spicata"
"Acmella uliginosa"
"Merremia umbellata"
"Cinnamomum verum"
"Digitaria violascens"
"Pandanus whitmeeanus"
"Phyllanthus acidus"
"Pereskia aculeata"
"Luffa acutangula"
"Monstera adansonii"
"Dioscorea alata"
"Plectranthus amboinicus"
"Coffea arabica"
"Maranta arundinacea"
"Barringtonia asiatica"
"Achyranthes aspera  var. pubescens"
"Plumbago auriculata"
"Senna bacillaris"
"Setaria barbata"
"Crinum bulbispermum"
"Theobroma cacao"
"Solanum capsicoides"
"Allamanda cathartica"
"Cosmos caudatus"
"Zephyranthes citrina"
"Emilia coccinea"
"Opuntia cochenillifera"
"Heteropogon contortus"
"Cyanotis cucullata"
"Syzygium cumini"
"Casuarina equisetifolia"
"Tagetes erecta"
"Brachiaria eruciformis"
"Colocasia esculenta"
"Abelmoschus esculentus"
"Maranta gibba"
"Galphimia gracilis"
"Jasminum grandiflorum"
"Artocarpus heterophyllus"
"Lagerstroemia indica"
"Abutilon guineense"
"Pachira insignis"
"Syzygium jambos"
"Prosopis juliflora"
"Crotalaria juncea"
"Tripsacum latifolium"
"Coffea liberica"
"Digitaria longiflora"
"Barleria lupulina"
"Alocasia macrorrhizos"
"Solanum mammosum"
"Leucas martinicensis"
"Zea mays"
"Ficus microcarpa"
"Jasminum multiflorum"
"Annona muricata"
"Ipomoea nil"
"Tephrosia noctiflora"
"Ipomoea obscura"
"Dianthera pectoralis"
"Syngonium podophyllum"
"Barleria prionitis"
"Mucuna pruriens"
"Eranthemum pulchellum"
"Libidibia punctata"
"Hippeastrum puniceum"
"Lablab purpureus"
"Crotalaria quinquefolia"
"Phoenix reclinata"
"Annona reticulata"
"Cleome rutidosperma"
"Sesbania sericea"
"Lagenaria siceraria"
"Tradescantia spathacea"
"Bougainvillea spectabilis"
"Annona squamosa"
"Flemingia strobilifera"
"Senna sulfurea"
"Nicotiana tabacum"
"Bauhinia tomentosa"
"Crotalaria trichotoma"
"Triphasia trifolia"
"Eragrostis unioloides"
"Erythrina velutina"
"Chloris virgata"
"Hibiscus vitifolius"
