"x"
"Dactyloctenium aegyptium"
"Alternanthera caracasana"
"Allium cepa"
"Vigna comosa"
"Pithecellobium dulce"
"Galphimia glauca"
"Calliandra houstoniana  var. calothyrsus"
"Payena leerii"
"Terminalia mantaly"
"Persicaria nepalensis"
"Cananga odorata"
"Cinchona officinalis"
"Diplocyclos palmatus"
"Schizolobium parahyba"
"Hamelia patens"
"Jatropha podagrica"
"Thespesia populnea"
"Acanthus pubescens"
"Tephrosia pumila"
"Plumeria rubra"
"Stellaria sennii"
"Toona sinensis"
"Teramnus uncinatus  subsp. axilliflorus"
"Meiogyne virgata"
"Symphytum grandiflorum"
"Phytolacca acinosa"
"Lonicera acuminata"
"Spiraea alba"
"Petasites albus"
"Clethra alnifolia"
"Ribes alpinum"
"Epimedium alpinum"
"Erinus alpinus"
"Verbesina alternifolia"
"Scutellaria altissima"
"Lysichiton americanus"
"Hieracium amplexicaule  subsp. spelaeum"
"Kalmia angustifolia"
"Fraxinus angustifolia  subsp. oxycarpa"
"Juncus anthelatus"
"Anemonoides apennina"
"Thalictrum aquilegiifolium"
"Polygonum arenarium  subsp. pulchellum"
"Rubus armeniacus"
"Papaver atlanticum"
"Chaerophyllum aureum"
"Ribes aureum"
"Rorippa austriaca"
"Sisymbrium austriacum  subsp. chrysanthum"
"Linum austriacum"
"Fallopia baldschuanica"
"Chenopodium berlandieri"
"Anemonoides blanda"
"Acorus calamus"
"Artemisia campestris  subsp. maritima"
"Glyceria canadensis"
"Impatiens capensis"
"Lonicera caprifolium"
"Arabis caucasica"
"Symphytum caucasicum"
"Corydalis cava"
"Quercus cerris"
"Spiraea chamaedryfolia"
"Symphoricarpos chenaultii"
"Aristolochia clematitis"
"Hedera colchica"
"Achillea collina"
"Doronicum columnae"
"Aubrieta columnae"
"Bidens connata"
"Macleaya cordata"
"Philadelphus coronarius"
"Carex crawfordii"
"Rumex cristatus  subsp. kerneri"
"Oenothera parviflora"
"Panicum dichotomiflorum"
"Cotoneaster dielsianus"
"Eurybia divaricata"
"Ribes divaricatum"
"Cotoneaster divaricatus"
"Epilobium dodonaei"
"Spiraea douglasii"
"Lindernia dubia"
"Geranium endressii"
"Catalpa erubescens"
"Euphorbia esula  subsp. tommasiniana"
"Asarum europaeum"
"Echinops exaltatus"
"Doronicum x excelsum"
"Setaria faberi"
"Campanula fenestrellata"
"Veronica filiformis"
"Hieracium flagellare"
"Photinia floribunda"
"Juncus foliosus"
"Dicentra formosa"
"Euonymus fortunei"
"Agrostis fouilladei"
"Pterocarya fraxinifolia"
"Scirpus georgianus"
"Mespilus germanica"
"Solidago gigantea"
"Dianthus giganteus"
"Impatiens glandulifera"
"Ludwigia grandiflora"
"Tellima grandiflora"
"Arabidopsis halleri"
"Crassula helmsii"
"Myriophyllum heterophyllum"
"Lathyrus heterophyllus"
"Hedera hibernica"
"Symphytum hidcotense"
"Aesculus hippocastanum"
"Sedum hispanicum"
"Narcissus hispanicus"
"Cotoneaster hjelmqvistii"
"Euphorbia humifusa"
"Equisetum praealtum"
"Eranthis hyemalis"
"Senecio inaequidens"
"Potentilla inclinata"
"Silene italica"
"Populus x jackii"
"Spiraea japonica"
"Pseudosasa japonica"
"Petasites japonicus"
"Syringa josikaea"
"Berberis julianae"
"Rudbeckia laciniata"
"Symphyotrichum laeve"
"Amelanchier lamarckii"
"Symphyotrichum lanceolatum"
"Campanula latifolia"
"Sagittaria latifolia"
"Senecio vernalis"
"Lonicera ligustrina  var. yunnanensis"
"Sisymbrium loeselii"
"Scilla luciliae"
"Pseudofumaria lutea"
"Rhododendron luteum"
"Odontites luteus"
"Vaccinium macrocarpon"
"Cicerbita macrophylla  subsp. uralensis"
"Aristolochia macrophylla"
"Tanacetum macrophyllum"
"Geranium macrorrhizum"
"Eutrochium maculatum"
"Eleocharis mamillata  subsp. austriaca"
"Armeria maritima  subsp. elongata"
"Jacobaea maritima"
"Lilium martagon"
"Hyacinthoides x massartiana"
"Cerastium maureri"
"Campanula medium"
"Alyssum montanum"
"Eragrostis multicaulis"
"Odontarrhena alpestris"
"Aconitum napellus"
"Lathyrus niger"
"Galanthus nivalis"
"Hepatica nobilis"
"Achillea nobilis"
"Geranium nodosum"
"Hydrocotyle novae-zeelandiae"
"Elodea nuttallii"
"Eleocharis obtusa"
"Pulmonaria officinalis"
"Hyssopus officinalis"
"Physocarpus opulifolius"
"Bunias orientalis"
"Clematis orientalis"
"Peucedanum ostruthium"
"Catalpa ovata"
"Geranium oxonianum"
"Corispermum pallasii"
"Euphorbia palustris"
"Allium paradoxum"
"Impatiens parviflora"
"Rumex patientia"
"Lobelia pedunculata"
"Pimpinella peregrina"
"Geranium phaeum"
"Symphyotrichum pilosum"
"Staphylea pinnata"
"Epimedium pinnatum"
"Doronicum plantagineum  subsp. emarginatum"
"Narcissus poeticus"
"Campanula portenschlagiana"
"Campanula poscharskyana"
"Anchusa procera"
"Asarina procumbens"
"Typha provincialis"
"Papaver setiferum"
"Lysimachia punctata"
"Geranium pyrenaicum"
"Galinsoga quadriradiata"
"Inula racemosa"
"Sasa ramosa"
"Hieracium recensitum"
"Clematis recta"
"Cotoneaster rehderi"
"Goodyera repens"
"Campanula rhomboidalis"
"Potentilla rivalis"
"Cirsium rivulare"
"Spiraea x rosalba"
"Saxifraga rotundifolia"
"Smilax rotundifolia"
"Quercus rubra"
"Sarracenia rubra"
"Acer rufinerve"
"Rosa rugosa"
"Umbilicus rupestris"
"Phlomis russeliana"
"Miscanthus sacchariflorus"
"Acer saccharinum"
"Cotoneaster salicifolius"
"Symphyotrichum x salignum"
"Cornus sanguinea  subsp. australis"
"Scilla sardensis"
"Sedum sarmentosum"
"Castanea sativa"
"Silene schafta"
"Allium scorodoprasum"
"Onoclea sensibilis"
"Cornus sericea"
"Scilla siberica"
"Claytonia sibirica"
"Bromus sitchensis"
"Sorbaria sorbifolia"
"Telekia speciosa"
"Verbascum speciosum"
"Hylotelephium spectabile"
"Rubus spectabilis"
"Phedimus spurius"
"Senecio squalidus"
"Cytisus striatus"
"Dipsacus strigosus"
"Dianthus subacaulis"
"Linaria supina"
"Forsythia suspensa"
"Tulipa sylvestris"
"Asclepias syriaca"
"Sempervivum tectorum"
"Vicia dalmatica"
"Sorbaria tomentosa"
"Cerastium tomentosum"
"Crocus tommasinianus"
"Festuca trachyphylla"
"Ptelea trifoliata"
"Pseudoturritis turrita"
"Rhus typhina"
"Iberis umbellata"
"Elaeagnus umbellata"
"Pastinaca umbrosa"
"Sauromatum venosum"
"Euphorbia vermiculata"
"Omphalodes verna"
"Scrophularia vernalis"
"Crocus vernus"
"Euphorbia verrucosa"
"Salvia verticillata"
"Photinia villosa"
"Cotoneaster villosulus"
"Clematis viticella"
"Sisymbrium volgense"
"Berberis wagneri"
"Persicaria wallichii"
"Volkameria aculeata"
"Crescentia alata"
"Plumeria alba"
"Petiveria alliacea"
"Mammea americana"
"Spigelia anthelmia"
"Ipomoea arborescens"
"Terminalia arjuna"
"Ammannia baccifera"
"Impatiens balsamina"
"Caladium bicolor"
"Capraria biflora"
"Allamanda blanchetii"
"Hevea brasiliensis"
"Averrhoa carambola"
"Indigofera charlieriana  var. charlieriana"
"Distimake cissoides"
"Erythrina corallodendron"
"Hymenaea courbaril"
"Hura crepitans"
"Trichosanthes cucumerina"
"Crescentia cujete"
"Imperata cylindrica"
"Ludwigia decurrens"
"Desmodium distortum"
"Mussaenda elegans"
"Ludwigia erecta"
"Polyscias fruticosa"
"Scleria gaertneri"
"Sesbania grandiflora"
"Polyscias guilfoylei"
"Vicoa indica"
"Jatropha integerrima"
"Vigna juruana"
"Euphorbia lactea"
"Hilleria latifolia"
"Sohmaea laxiflora"
"Steinchisma laxum"
"Euphorbia milii"
"Digitaria nuda"
"Ceiba pentandra"
"Zapoteca portoricensis"
"Kallstroemia pubescens"
"Lysimachia ovalis"
"Mimosa candollei"
"Washingtonia robusta"
"Tabebuia rosea"
"Heliconia rostrata"
"Gonolobus rostratus"
"Xanthosoma sagittifolium"
"Cajanus scarabaeoides"
"Cordia sebestena"
"Lagerstroemia speciosa"
"Paliurus spina-christi"
"Eucalyptus tereticornis"
"Corymbia torelliana"
"Antiaris toxicaria  var. africana"
"Lantana trifolia"
"Vigna umbellata"
"Balanites aegyptiaca"
"Bothriochloa ischaemum"
"Melaleuca quinquenervia"
"Scaevola taccada"
"Epipremnum aureum"
"Philodendron giganteum"
"Oeceoclades maculata"
"Nephrolepis brownii"
"Grona adscendens"
"Faidherbia albida"
"Hibiscus cannabinus"
"Euphorbia cotinifolia"
"Stenotaphrum dimidiatum"
"Schoenefeldia gracilis"
"Elaeis guineensis"
"Acacia holosericea"
"Hyptis lanceolata"
"Heteropogon melanocarpus"
"Indigofera microcarpa"
"Trapa natans"
"Psophocarpus palustris"
"Sesamum radiatum"
"Plectranthus rotundifolius"
"Ischaemum rugosum"
"Blighia sapida"
"Ipomoea setifera"
"Pennisetum sieberianum"
"Jacquemontia tamnifolia"
"Tephrosia villosa"
"Pennisetum violaceum"
"Plumbago zeylanica"
"Sphenoclea zeylanica"
"Veronica acinifolia"
"Chenopodium acuminatum"
"Adonis aestivalis"
"Plantago afra"
"Vitex agnus-castus"
"Euphorbia agraria"
"Artemisia alba"
"Bryonia alba"
"Malva alcea"
"Euphorbia aleppica"
"Mummenhoffia alliacea"
"Crypsis alopecuroides"
"Cota altissima"
"Picris altissima"
"Fraxinus americana"
"Sison amomum"
"Sicyos angulatus"
"Lavandula angustifolia"
"Solanum angustifolium"
"Stachys annua"
"Xeranthemum annuum"
"Lathyrus annuus"
"Lathyrus aphaca"
"Asteriscus aquaticus"
"Ceratocarpus arenarius"
"Polycnemum arvense"
"Filago arvensis"
"Lysimachia atropurpurea"
"Allium atropurpureum"
"Scandix australis"
"Cota austriaca"
"Trigonella balansae"
"Lappula barbata"
"Convolvulus betonicifolius"
"Fimbristylis bisumbellata"
"Vicia bithynica"
"Bituminaria bituminosa"
"Chenopodium bonus-henricus"
"Lythrum borysthenicum"
"Dysphania botrys"
"Onopordum bracteatum"
"Pentanema britannicum"
"Daucus broteri"
"Althaea cannabina"
"Aegilops caudata"
"Anthriscus cerefolium"
"Orobanche cernua"
"Linaria chalepensis"
"Euphorbia chamaesyce"
"Chenopodium chenopodioides"
"Erodium ciconium"
"Anthyllis circinnata"
"Avena clauda"
"Fibigia clypeata"
"Polygonum cognatum"
"Geranium columbinum"
"Aegilops columnaris"
"Silene conica subsp. subconica"
"Medicago coronata"
"Valerianella coronata"
"Bryonia cretica  subsp. dioica"
"Silene cretica"
"Amaranthus crispus"
"Rumex cristatus"
"Xeranthemum cylindraceum"
"Veronica cymbalaria"
"Aethusa cynapium"
"Allium cyrilli"
"Orlaya daucorlaya"
"Valeriana dentata"
"Melilotus dentatus"
"Rumex dentatus  subsp. halacsyi"
"Centaurea depressa"
"Tripleurospermum disciforme"
"Rochelia disperma"
"Corynephorus divaricatus"
"Heliotropium dolosum"
"Cerastium dubium"
"Fallopia dumetorum"
"Pulicaria dysenterica"
"Sambucus ebulus"
"Bombycilaena erecta"
"Avena eriantha"
"Bunias erucago"
"Schoenus ferrugineus"
"Chenopodium ficifolium"
"Adonis flammea"
"Pycreus flavidus"
"Montia fontana  subsp. chondrosperma"
"Veronica fruticulosa"
"Cyperus fuscus"
"Myricaria germanica"
"Pentanema germanicum"
"Najas graminea"
"Vicia grandiflora"
"Thymelaea gussonei"
"Daucus guttatus"
"Solanum heterodoxum"
"Polycnemum heuffelii"
"Malva cretica"
"Erodium hoefftianum"
"Satureja hortensis"
"Vicia hybrida"
"Chenopodium hybridum"
"Rumex hydrolapathum"
"Amaranthus hypochondriacus"
"Lathyrus inconspicuus"
"Reseda inodora"
"Gladiolus italicus"
"Torilis japonica"
"Clypeola jonthlaspi"
"Poa jubata"
"Fumaria kralikii"
"Plantago lagopus"
"Bassia laniflora"
"Ranunculus lateriflorus"
"Turgenia latifolia"
"Cistus laurifolius"
"Leontice leontopetalum"
"Torilis leptophylla"
"Tyrimnus leucographus"
"Echinocystis lobata"
"Festulolium x loliaceum"
"Cuscuta lupuliformis"
"Parietaria lusitanica"
"Opuntia macrorhiza"
"Polycnemum majus"
"Lappula marginata"
"Achillea maritima  subsp. maritima"
"Chaiturus marrubiastrum"
"Corispermum marschallii"
"Stellaria media  subsp. cupaniana"
"Azolla microphylla"
"Cyperus michelianus"
"Logfia minima"
"Cerinthe minor"
"Sideritis montana"
"Elaeagnus multiflora"
"Gypsophila muralis"
"Parvotrisetum myrianthum"
"Vicia narbonensis"
"Melilotus neapolitanus"
"Allium nigrum"
"Medicago orthoceras"
"Koelreuteria paniculata"
"Bufonia paniculata"
"Polygonum patulum"
"Picris pauciflora"
"Legousia pentagonia"
"Vicia peregrina"
"Rapistrum perenne"
"Cerastium perfoliatum"
"Convolvulus persicus"
"Fumaria petteri  subsp. thuretii"
"Urtica pilulifera"
"Salvia pinnata"
"Papaver pinnatifidum"
"Conringia planisiliqua"
"Veronica polita"
"Sisymbrium polyceratium"
"Chenopodium polyspermum"
"Artemisia pontica"
"Lythrum portula"
"Trigonella procumbens"
"Petrorhagia prolifera"
"Bassia prostrata"
"Tragus racemosus"
"Bifora radians"
"Equisetum ramosissimum"
"Delphinium consolida"
"Rheum rhaponticum"
"Dianthus nudiflorus"
"Medicago rigidula"
"Fumaria rostellata"
"Capsella rubella"
"Camelina rumelica"
"Polygonum rurivagum"
"Anthemis ruthenica"
"Rumex sanguineus"
"Petrorhagia saxifraga"
"Fumaria schleicheri"
"Fumaria schrammii"
"Bromus scoparius"
"Coronilla scorpioides"
"Calystegia sepium"
"Cyperus serotinus"
"Vicia serratifolia"
"Lathyrus setifolius"
"Malvella sherardiana"
"Legousia speculum-veneris"
"Aegilops speltoides"
"Lepidium spinosum"
"Crepis sprengeriana"
"Bromus squarrosus"
"Rhagadiolus stellatus"
"Euphorbia stricta"
"Anchusa stylosa"
"Heliotropium suaveolens"
"Ceratophyllum submersum"
"Cephalaria syriaca"
"Hibiscus syriacus"
"Andrachne telephioides"
"Tripleurospermum tenuifolium"
"Anchusa thessala"
"Lythrum thymifolia"
"Seseli tortuosum"
"Cephalaria transsylvanica"
"Potamogeton trichoides"
"Beta trigyna"
"Eriolobus trilobatus"
"Veronica triphyllos"
"Anchusa undulata  subsp. hybrida"
"Chenopodium urbicum"
"Veronica verna"
"Dasypyrum villosum"
"Acalypha virginica"
"Lythrum volgense"
"Dracunculus vulgaris"
"Pulicaria vulgaris"
"Bidens vulgata"
"Cyclachaena xanthiifolia"
"Colubrina asiatica"
"Passiflora biflora"
"Cestrum diurnum"
"Dracaena hyacinthoides"
"Casuarina junghuhniana"
"Albizia procera"
"Neyraudia reynaudiana"
"Acacia salicina"
"Jasminum sambac"
"Selenicereus grandiflorus"
"Acalypha indica"
"Phenax sonneratii"
"Dioscorea trifida"
"Crepis alpina"
"Saussurea amara"
"Axyris amaranthoides"
"Wolffia arrhiza"
"Thesium linophyllon"
"Nigella arvensis"
"Artemisia austriaca"
"Sibbaldianthe bifurca"
"Thlaspi caerulescens"
"Dianthus campestris"
"Bromus carinatus"
"Epilobium ciliatum  subsp. watsonii"
"Salsola collina"
"Suaeda corniculata"
"Corispermum declinatum"
"Erysimum diffusum"
"Puccinellia dolicholepis"
"Brassica elongata  subsp. integrifolia"
"Euphorbia esula"
"Erucastrum gallicum"
"Elymus hispidus"
"Artemisia integrifolia"
"Artemisia latifolia"
"Potentilla longifolia"
"Achillea micrantha"
"Tanacetum millefolium"
"Erodium neuradifolium"
"Atriplex oblongifolia"
"Eremopyrum orientale"
"Amaranthus palmeri"
"Gypsophila perfoliata"
"Lolium persicum"
"Sisymbrium polymorphum"
"Epilobium pseudorubescens"
"Leymus racemosus"
"Roemeria refracta"
"Bromus riparius"
"Alyssum rostratum"
"Crepis sancta"
"Seriphidium schrenkianum"
"Artemisia scoparia"
"Gypsophila scorzonerifolia"
"Sisyrinchium septentrionale"
"Elymus sibiricus"
"Artemisia siversiana"
"Heracleum sosnowskyi"
"Hordeum spontaneum"
"Gnaphalium supinum"
"Lactuca tatarica"
"Ambrosia trifida"
"Eremopyrum triticeum"
"Aegilops triuncialis"
"Spinacia turkestanica"
"Carlina vulgaris"
"Melilotus wolgicus"
"Musa balbisiana"
"Hyparrhenia bracteata"
"Eragrostis gangetica"
"Codariocalyx gyroides"
"Melaleuca leucadendra"
"Sesuvium portulacastrum"
"Passiflora seemannii"
"Hellenia speciosa"
"Trachypogon spicatus"
"Solanum aculeatissimum"
"Veronica agrestis"
"Cyperus alternifolius"
"Trachyspermum ammi"
"Sterculia apetala"
"Anredera baselloides"
"Calophyllum calaba"
"Eupatorium capillifolium"
"Iberis carnosa"
"Prunus caroliniana"
"Livistona chinensis"
"Pimenta dioica"
"Ptychosperma elegans"
"Noronhia emarginata"
"Commelina erecta"
"Ardisia guianensis"
"Furcraea hexapetala"
"Valantia hispida"
"Oxalis intermedia"
"Lantana involucrata"
"Sporobolus junceus"
"Pteris longifolia"
"Podocarpus macrophyllus"
"Solandra maxima"
"Phyllanthus niruri"
"Salvinia auriculata"
"Smyrnium olusatrum"
"Eustachys petraea"
"Ficus retusa"
"Sideritis romana"
"Veronica salicifolia"
"Verbena scabra"
"Phymatosorus scolopendria"
"Salvia serotina"
"Bursera simaruba"
"Jasminum simplicifolium"
"Spermacoce tenuior"
"Spermacoce tetraquetra"
"Verbascum thapsum"
"Hibiscus tilliaceus"
"Plantago virginica"
"Ilex vomitoria"
"Chamaecrista absus"
"Laportea aestuans"
"Solanum amygdalifolium"
"Machaerium arboreum"
"Ranunculus asiaticus"
"Limosella australis"
"Euphorbia berteroana"
"Ranunculus bulbosus"
"Clerodendrum bungei"
"Nelsonia canescens"
"Lippia lippioides"
"Annona cherimola"
"Capsicum chinense"
"Caladium clavatum"
"Machaerium cobanense"
"Polycarpaea corymbosa"
"Parietaria debilis"
"Thelypteris dentata"
"Salvia dombeyi"
"Clerodendrum dusenii"
"Cassia fastuosa"
"Scleria lacustris"
"Oldenlandia lancifolia"
"Myosotis latifolia"
"Dalea leporina"
"Schizachyrium maclaudii"
"Vasconcellea monoica"
"Thelypteris opulenta"
"Rudgea panurensis"
"Ipomoea pinifolia"
"Pteris propinqua"
"Linum prostratum"
"Physalis pruinosa"
"Vasconcellea pubescens"
"Sambucus racemosa"
"Ipomoea rubens"
"Microlepia speluncae"
"Cecropia strigosa"
"Salvia tiliifolia"
"Macrothelypteris torresiana"
"Aneilema umbrosum"
"Eulophia alta"
"Artocarpus altilis"
"Clibadium armanii"
"Tilesia baccata"
"Eleutherine bulbosa"
"Capsicum coccineum"
"Physalis cordata"
"Kalanchoe crenata"
"Digitaria fuscescens"
"Limnocharis laforestii"
"Acmella oleracea"
"Acmella oppositifolia"
"Carludovica palmata"
"Paullinia parvibractea"
"Clibadium surinamense"
"Pteris tripartita"
"Dieffenbachia amoena"
"Ipomoea aristolochiifolia"
"Hackelochloa granularis"
"Cymbopogon nardus"
"Musa x paradisiaca"
"Macropharynx peltata"
"Syngonium angustatum"
"Pachira aquatica"
"Brachiaria arrecta"
"Calyptocarpus brasiliensis"
"Polycarpon depressum"
"Gossypium herbaceum"
"Digitaria insularis"
"Eragrostis japonica"
"Ischaemum latifolium"
"Arachniodes macrostegia"
"Syzygium malaccense"
"Roystonea oleracea"
"Selaginella plana"
"Brachiaria plantaginea"
"Eriochloa polystachya"
"Hiraea schultesii"
"Psophocarpus tetragonolobus"
"Pachyrhizus tuberosus"
"Cymbopogon densiflorus"
"Ischaemum guianense"
"Dodecastigma integrifolium"
"Ipomoea leucantha"
"Hydrolea spinosa"
"Aristida adscensionis"
"Brachiaria adspersa"
"Acmella alba"
"Selenicereus anthonyanus"
"Dendrocalamus asper"
"Grevillea banksii"
"Alternanthera bettzickiana"
"Cardamine bonariensis"
"Panicum brevifolium"
"Pilea cadierei"
"Mimosa caesalpiniifolia"
"Enneapogon cenchroides"
"Calyptrochilum christyanum"
"Evolvulus convolvuloides"
"Briquetia denudata"
"Panicum deustum"
"Clitoria fairchildiana"
"Chenopodium hircinum"
"Evolvulus incanus"
"Nymphoides indica"
"Condylocarpon isthmicum"
"Dicranopteris linearis"
"Nymphaea lotus"
"Paspalum maritimum"
"Plectranthus monostachyus"
"Epiphyllum oxypetalum"
"Ipomoea parasitica"
"Brachiaria paucispicata"
"Cuscuta pentagona"
"Pentodon pentandrus"
"Eragrostis plana"
"Mazus pumilus"
"Clusia rosea"
"Lepidium ruderale"
"Sesbania sesban"
"Ipomoea carolina"
"Brachiaria mollis"
"Brachiaria platyphylla"
"Baltimora recta"
"Gigantochloa apus"
"Phyllostachys edulis"
"Cuscuta glomerata"
"Urochloa jubata"
"Swietenia macrophylla"
"Ipomoea neurocephala"
"Pinus oocarpa"
"Cerastium rivulare"
"Eulophia ruwenzoriensis"
"Bambusa tuldoides"
"Caryota urens"
"Toona ciliata"
"Sterculia foetida"
"Deparia petersenii"
"Piper amalago"
"Ipomoea cheirophylla"
"Spermacoce dasycephala"
"Waltheria indica"
"Paspalum millegrana"
"Stemodia trifoliata"
"Eragrostis pectinacea"
"Ipomoea meyeri"
"Eugenia wullschlaegeliana"
"Bambusa blumeana"
"Corchorus capsularis"
"Hedychium coccineum"
"Houttuynia cordata"
"Cerastium dicrotrichum"
"Hyperthelia dissoluta"
"Drepanostachyum falcatum"
"Crinum jagus"
"Veronica javanica"
"Microchloa kunthii"
"Arenaria lanuginosa"
"Cenchrus latifolius"
"Cerastium mollissimum"
"Cyperus mundtii"
"Geranium nepalense"
"Eucalyptus robusta"
"Salmea scandens"
"Cuscuta tinctoria"
"Tephrosia vogelii"
"Acmella alpestris"
"Discocactus ferricola"
"Acmella grisea"
"Aldama tuberosa"
"Palicourea ownbeyi"
"Coffea canephora"
"Ischaemum timorense"
"Musa ornata"
"Hyparrhenia diplandra"
"Marsilea minuta"
"Brachiaria oligobrachiata"
"Pycreus pumilus"
"Ipomoea tuboides"
"Cerastium commersonianum"
"Lobelia fervens"
"Pinus glabra"
"Clinopodium gracile"
"Ligustrum japonicum"
"Lilium longiflorum"
"Senna macranthera"
"Pinus maximinoi"
"Eryngium mesopotamicum"
"Scrophularia peregrina"
"Apium prostratum"
"Pinus pseudostrobus"
"Cardionema ramosissimum"
"Bidens rubicundula"
"Eryngium stenophyllum"
"Zeuxine strateumatica"
"Coreopsis tinctoria"
"Triraphis andropogonoides"
"Mimusops balata"
"Curculigo capitulata"
"Pteris cretica"
"Bambusa dissimulator"
"Bambusa multiplex"
"Bambusa tulda"
"Pleurothyrium trianae"
"Vellosiella spathacea"
"Cyperus berroi"
"Parodia buiningii"
"Sagina chilensis"
"Archontophoenix cunninghamiana"
"Sarcocornia fruticosa"
"Spergularia grandis"
"Parodia herteri"
"Cerastium humifusum"
"Ophiopogon japonicus"
"Sisyrinchium minus"
"Rubus rosifolius"
"Cerastium selloi"
"Paronychia setigera"
"Cyperus strigosus"
"Senecio viravira"
"Brachylaena discolor"
"Arenaria groenlandica"
"Sedum mexicanum"
"Portulaca thellusonii"
"Melocanna baccifera"
"Bambusa beecheyana"
"Dichondra carolinensis"
"Tripsacum lanceolatum"
"Dendrocalamus latiflorus"
"Physalis minuta"
"Euterpe oleracea"
"Sida poeppigiana"
"Dendrocalamus strictus"
"Bambusa textilis"
"Hydrilla verticillata"
"Echinochloa walteri"
"Urceolina amazonica"
"Maurandya antirrhiniflora"
"Themeda arguens"
"Enterolobium cyclocarpum"
"Breynia disticha"
"Ruellia elegans"
"Russelia equisetiformis"
"Cassia grandis"
"Vincetoxicum indicum"
"Ipomoea mauritiana"
"Cassia moschata"
"Garcia nutans"
"Aristolochia odoratissima"
"Tabernaemontana pandacaqui"
"Glycosmis parviflora"
"Ixora pavetta"
"Erythrina poeppigiana"
"Sanchezia speciosa"
"Cleome speciosa"
"Crinum zeylanicum"
"Trichodesma zeylanicum"
"Eragrostis barbinodis"
"Flaveria bidentis"
"Sonchus dregeanus"
"Dactyloctenium geminatum"
"Acanthospermum glabratum"
"Aeschynomene indica"
"Sacciolepis interrupta"
"Cereus jamacaru"
"Hibiscus lobatus"
"Astripomoea malvacea"
"Cardiospermum microcarpum"
"Ranunculus multifidus"
"Caldesia parnassifolia"
"Maytenus peduncularis"
"Brugmansia aurea"
"Cymbopogon pospischilii"
"Lipotriche pungens"
"Bidens schimperi"
"Acalypha segetalis"
"Myriophyllum spicatum"
"Amaranthus standleyanus"
"Salvia stenophylla"
"Phedimus aizoon"
"Mirabilis albida"
"Typha angustifolia"
"Potentilla argentea"
"Salvia arrabidae"
"Geum aurantiacum"
"Artemisia biennis"
"Trigonella caerulea"
"Pilosella caespitosa"
"Astragalus cicer"
"Silene conoidea"
"Potamogeton crispus"
"Agropyron cristatum"
"Silene csereii"
"Salix daphnoides"
"Dianthus deltoides"
"Alyssum desertorum"
"Ventenata dubia"
"Triticum durum"
"Gypsophila elegans"
"Scolochloa festucacea"
"Agropyron fragile"
"Adlumia fungosa"
"Sparganium glomeratum"
"Rudbeckia hirta"
"Rheum x hybridum"
"Phedimus hybridus"
"Persicaria hydropiper"
"Psathyrostachys juncea"
"Neuontobotrys linearifolius"
"Cotoneaster lucidus"
"Chaenorhinum minus"
"Verbascum nigrum"
"Oxybaphus nyctagineus"
"Cynoglossum officinale"
"Zizania palustris"
"Gypsophila paniculata"
"Dyssodia papposa"
"Salix pentandra"
"Verbascum phlomoides"
"Linaria pinifolia"
"Eryngium planum"
"Dianthus plumarius"
"Hippophae rhamnoides"
"Lythrum salicaria"
"Dianthus seguieri"
"Ononis arvensis"
"Erigeron strigosus"
"Clematis tangutica"
"Lonicera tatarica"
"Fagopyrum tataricum"
"Ranunculus testiculatus"
"Dracocephalum thymiflorum"
"Butomus umbellatus"
"Nonea vesicaria"
"Odontites vulgaris"
"Ionopsidium acaule"
"Oxalis acetosella"
"Clinopodium acinos"
"Nicotiana alata"
"Rubus allegheniensis"
"Clematis alpina"
"Leymus angustus"
"Stellaria aquatica"
"Zizania aquatica"
"Shepherdia argentea"
"Pediomelum argophyllum"
"Sonchus arvensis  subsp. uliginosus"
"Scirpus atrovirens"
"Veronica austriaca"
"Corylus avellana"
"Anchusa azurea"
"Veronica beccabunga"
"Bidens beckii"
"Veronica biloba"
"Camissoniopsis bistorta"
"Nothoscordum bivalve"
"Amaranthus blitum  subsp. emarginatus"
"Euphorbia boissieriana"
"Hypericum boreale"
"Muscari botryoides"
"Wolffia brasiliensis"
"Ammophila breviligulata"
"Amaranthus x budensis"
"Elodea callitrichoides"
"Papaver cambricum"
"Lactuca canadensis"
"Corynephorus canescens"
"Eupatorium cannabinum"
"Rorippa cantoniensis"
"Adiantum capillus-veneris"
"Gilia capitata"
"Solanum carolinense"
"Azolla caroliniana"
"Fragaria chiloensis"
"Tamarix chinensis"
"Monarda citriodora"
"Juncus compressus"
"Symphyotrichum cordifolium"
"Vaccinium corymbosum"
"Carthamus creticus"
"Cotoneaster crispii"
"Vicia lens"
"Scirpus cyperinus"
"Aubrieta deltoidea"
"Spartina densiflora"
"Castanea dentata"
"Agropyron desertorum"
"Limnanthes douglasii"
"Galanthus elwesii"
"Lonicera etrusca"
"Sanicula europaea"
"Lycopus europaeus"
"Astragalus falcatus"
"Deschampsia flexuosa"
"Isotoma fluviatilis"
"Agastache foeniculum"
"Carex frankii"
"Hypericum fraseri"
"Schoenoplectus glaucus"
"Bolboschoenus glaucus"
"Digitalis grandiflora"
"Carex granularis"
"Physalis grisea"
"Silene hampeana"
"Cyclamen hederifolium"
"Epipactis helleborine"
"Festuca heterophylla"
"Erechtites hieraciifolius"
"Mirabilis hirsuta"
"Carex hirta"
"Robinia hispida"
"Elymus hispidus  subsp. barbulatus"
"Lythrum hyssopifolium"
