"x"
"Dactyloctenium aegyptium"
"Richardia scabra"
"Mimosa scabrella"
"Lipotriche scandens  subsp. scandens"
"Dysphania schraderiana"
"Cortaderia selloana"
"Senna septemtrionalis"
"Alternanthera sessilis"
"Senna siamea"
"Agave sisalana"
"Papaver somniferum"
"Senna spectabilis"
"Hyptis spicigera"
"Amaranthus spinosus"
"Datura stramonium"
"Pistia stratiotes"
"Opuntia stricta"
"Lantana strigocamara"
"Vigna subterranea"
"Cosmos sulphureus"
"Erigeron sumatrensis"
"Heliotropium supinum"
"Malva sylvestris"
"Schinus terebinthifolia"
"Tetragonia tetragonoides"
"Oenothera tetraptera"
"Cascabela thevetia"
"Millettia thonningii"
"Desmodium tortuosum"
"Solanum torvum"
"Amaranthus tricolor"
"Corchorus tridens"
"Corchorus trilocularis"
"Hibiscus trionum"
"Lipotriche triternata"
"Ipomoea muricata"
"Desmodium uncinatum"
"Vigna unguiculata"
"Stachytarpheta urticifolia"
"Paspalum urvillei"
"Linum usitatissimum"
"Mollugo verticillata"
"Solanum villosum"
"Vitis vinifera"
"Eragrostis virescens"
"Desmanthus virgatus"
"Amaranthus viridis"
"Pseudoconyza viscosa"
"Foeniculum vulgare"
"Phaseolus vulgaris"
"Solanum wendlandii"
"Tradescantia zebrina  var. zebrina"
"Yucca aloifolia"
"Cucumis anguria"
"Crinum asiaticum"
"Gossypium barbadense"
"Ficus benjamina"
"Tragus berteronianus"
"Digitaria bicornis"
"Melicoccus bijugatus"
"Chrysophyllum cainito"
"Tephrosia candida"
"Terminalia catappa"
"Cyanthillium cinereum"
"Cordia dichotoma"
"Brachiaria distachya"
"Ficus elastica"
"Malpighia emarginata"
"Jasminum fluminense"
"Thunbergia fragrans"
"Punica granatum"
"Ocimum gratissimum"
"Sorghum halepense"
"Stylosanthes hamata"
"Abutilon hirtum"
"Tamarindus indica"
"Eleusine indica"
"Clerodendrum indicum"
"Launaea intybacea"
"Leonurus japonicus"
"Swietenia mahagoni"
"Adonidia merrillii"
"Leonotis nepetifolia"
"Cocos nucifera"
"Eragrostis pilosa"
"Spondias purpurea"
"Brachiaria reptans"
"Crotalaria retusa"
"Gliricidia sepium"
"Cenchrus setaceus"
"Xanthium strumarium"
"Thymophylla tenuiloba"
"Indigofera tinctoria"
"Sphagneticola trilobata"
"Erythrina variegata"
"Crotalaria verrucosa"
"Stemodia verticillata"
"Manilkara zapota"
"Amaranthus albus"
"Symphoricarpos albus"
"Ailanthus altissima"
"Agave americana"
"Phytolacca americana"
"Senecio angulatus"
"Elaeagnus angustifolia"
"Sisyrinchium angustifolium"
"Erigeron annuus"
"Prunus armeniaca"
"Cycloloma atriplicifolium"
"Salix babylonica"
"Impatiens balfourii"
"Oenothera biennis"
"Amaranthus blitoides"
"Lepidium bonariense"
"Cuscuta campestris"
"Elodea canadensis"
"Ficus carica"
"Prunus cerasus"
"Erysimum cheiri"
"Buddleja davidii"
"Amaranthus deflexus"
"Cedrus deodara"
"Lepidium didymum"
"Paspalum distichum"
"Prunus domestica"
"Prunus domestica  subsp. insititia"
"Prunus dulcis"
"Carpobrotus edulis"
"Oenothera fallax"
"Azolla filiculoides"
"Bidens frondosa"
"Amorpha fruticosa"
"Gomphocarpus fruticosus"
"Chamaemelum fuscatum"
"Iris x germanica"
"Bougainvillea glabra"
"Eucalyptus globulus"
"Cardiospermum halicacabum"
"Inula helenium"
"Sporobolus indicus"
"Cyclospermum leptophyllum"
"Euphorbia maculata"
"Lemna minuta"
"Dysphania multifida"
"Cymbalaria muralis"
"Erucastrum nasturtiifolium"
"Acer negundo"
"Morus nigra"
"Euphorbia nutans"
"Oenothera parodiana"
"Veronica peregrina"
"Veronica persica"
"Oxalis pes-caprae"
"Pinus pinea"
"Robinia pseudoacacia"
"Physalis pubescens"
